Plot ID,1333,,Sampler(s),"MK,MO,AC",,,,,Date ,20180710,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
B2,TR,3363,,,QUEKEL,1,0,0,1,4,,,,56.6,,,0,
B1,SA,5656,146,459,UMBCAL,0,1,,,,,1.34,0,,53.9,1,0,OG DEAD NEW SA
B1,SA,5657,74,435,UMBCAL,0,1,,,,,0.69,0,,25.6,0,0,OG DEAD NEW SA
B2,SA,3388,,,UMBCAL,0,0,,,,,,,,,,1,GONE 
C1,TR,3371,,,QUEGAR,1,0,0,1,2,,,,56.4,,,0,
C1,TR,3372,,,QUEAGR,0,0,0,0,0,,,,2.33,,,0,
C1,TR,3372.1,,,QUEAGR,0,0,0,0,0,,,,,,,1,GONE 
C1,TR,3372.2,,,QUEAGR,0,0,0,0,0,,,,1.43,,,0,
C1,TR,3372.3,,,QUEAGR,0,0,0,0,0,,,,2.41,,,0,
C1,TR,3372.4,,,QUEAGR,0,0,0,0,0,,,,1.25,,,0,
C1,TR,3368,,,QUEGAR,1,0,0,1,3,,,,33.8,,,0,
C1,TR,3370,,,QUEAGR,1,1,1,1,2,,,,24.8,,,0,
C1,SA,3369,,,UMBCAL,0,0,,,,,,,,,,0,
C1,SA,3367,,,UMBCAL,0,0,,,,,,,,,,0,GONE 
D1,TR,3398,,,QUEGAR,0,1,0,0,0,,,,11.2,80.7,3,0,
D2,TR,3399,,,QUEAGR,0,1,0,0,0,,,,12.1,121.4,19,0,
D2,TR,3399.1,,,QUEAGR,0,0,0,0,0,,,,7.5,,,0,
D2,TR,3399.2,,,QUEAGR,0,0,0,0,0,,,,3.8,,,0,
D3,SA,3392,,,UMBCAL,0,1,,,,,,,,64.5,1,0,
D3,TR,3391,,,QUEGAR,1,1,0,1,2,,,,42.6,,,0,
D3,SA,3394,,,UMBCAL,0,1,,,,,,,,63.5,1,0,
D3,SA,3395,21,310,UMBCAL,0,0,,,,,,,,,,1,3393 IN DATABASE 
D3,SA,3393,,,UMBCAL,0,0,,,,,,,,,,1,
D3,SA,3396,,,UMBCAL,0,0,,,,,,,,,,1,
D3,SA,3390,,,UMBCAL,0,0,,,,,,,,,,0,GONE 
D4,TR,3386,,,QUEAGR,0,0,0,0,0,,,,12.3,,,0,
D4,TR,3386.1,,,QUEAGR,0,0,0,0,0,,,,15.4,,,0,
D4,SA,3381,,,PSEMEN,0,0,,,,,2.95,0,,,,0,
D4,TR,3382,,,PSEMEN,0,0,,,,,4.83,0,3.43,,,0,
D4,SA,5658,155,190,UMBCAL,0,1,,,,,0.94,0,,87.5,1,0,"OG DEAD, NEW SA "
D4,SA,3384,,,UMBCAL,0,0,,,,,,,,,,1,GONE
D4,SA,3383,,,UMBCAL,0,0,,,,,,,,,,1,GONE
D4,SA,3380,,,UMBCAL,0,0,,,,,0.72,0,,,,1,GONE
D4,SA,3389,,,UMBCAL,0,0,,,,,,,,,,0,"GONE, TAG NOT FOUND"
D4,SA,3385,,,UMBCAL,0,0,,,,,1.67,0,,,,1,GONE
D4,SA,5659,455,485,UMBCAL,0,1,,,,,0.91,0,,51,1,0,"OG DEAD, NEW SA "
D4,SA,3387,,,UMBCAL,0,0,,,,,1.14,0,,,,1,GONE
C4,SA,3353,,,UMBCAL,0,0,,,,,0.91,0,,,,0,
C4,SA,3379,,,UMBCAL,0,1,,,,,,,,41.3,0,0,OG DEAD
C4,SA,5660,305,500,UMBCAL,1,0,,,,50.1,0.43,0,,,,0,NEW SA
C3,SA,3378,,,UMBCAL,0,0,,,,,,,,,,1,GONE
B4,SA,999.2,,,UMBCAL,0,0,,,,,1.09,0,,,,0,
B4,SA,3352,,,UMBCAL,0,1,,,,,1.39,0,,58.2,1,0,OG DEAD
B4,SA,3351,,,UMBCAL,0,1,,,,,1.37,0,,84.3,1,0,OG DEAD
B4,TR,3350,,,QUEAGR,1,0,1,1,,,,,43.6,,,0,
B4,SA,5665,478,464,UMBCAL,0,1,,,,,0.93,0,,23.5,0,0,OG DEAD
B3,SA,3356,,,UMBCAL,0,0,,,,,,,,,,1,GONE
B3,SA,3354,,,UMBCAL,0,1,,,,,1.18,0,,34.5,0,,OG DEAD- was typo tag pulled- mkqc2022
C2,SA,3373,,,UMBCAL,0,0,,,,,,,,,,1,gone
B3,SA,3358,,,UMBCAL,0,1,,,,,,,,58.4,1,0,OG DEAD
B3,SA,3359,,,UMBCAL,0,1,,,,,0.66,0,,46.9,0,,
B3,SA,3360,,,UMBCAL,0,0,,,,,,,,,,1,GONE
B3,SA,3355,,,UMBCAL,0,1,,,,,,,,25.6,0,0,
B1,SA,3365,,,UMBCAL,0,0,,,,,0.95,0,,,,0,
C2,TR,3362,,,UMBCAL,1,1,1,1,3,,,,31,227.9,29,0,
C3,TR,3374,,,UMBCAL,1,1,1,1,3,,,,30.8,131,7,0,
B3,SA,5666,110,270,UMBCAL,0,1,,,,,0.5,0,,26.2,0,0,OG DEAD
C3,TR,3374.1,,,UMBCAL,0,0,0,0,0,,,,1.79,,,0,
C3,TR,3374.2,,,UMBCAL,0,0,0,0,0,,,,4.3,,,0,
C3,TS,3374.3,,,UMBCAL,0,0,,,,,2.18,0,,,,0,
C3,SA,3377,,,UMBCAL,0,0,,,,,,,,,,1,GONE
C3,SA,3376,,,UMBCAL,0,0,,,,,,,,,,1,GONE
B3,SA,999.3,,,UMBCAL,0,0,,,,,0.55,1,,,,0,
B3,SA,5667,175,210,UMBCAL,0,1,,,,,0.23,1,,18.1,0,0,OG DEAD
C3,SA,3375,,,UMBCAL,0,0,,,,,,,,,,1,GONE
C3,SA,3357,,,UMBCAL,0,0,,,,,,,,,,0,GONE
B3,SA,3361,,,UMBCAL,0,0,,,,,,,,,,0,NOT FOUND
B3,SA,5668,150,210,UMBCAL,0,1,,,,,0.43,0,,13.5,0,0,"BD @4cm /OG DEAD, NEW SA"
B3,SA,5669,115,493,UMBCAL,0,1,,,,,0.66,0,,6.6,0,0,"OG DEAD, NEW SA"
B3,SA,5670,95,420,UMBCAL,0,1,,,,,,,,20.6,0,0,"OG DEAD, NEW SA"
