Plot ID,1335,,Sampler(s),"MK,MO,AC,KO",,,,,Date ,20180716,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes,
A1,TR,2544,,,QUEGAR,1,0,0,1,2,,,,29.3,,,0,,,
A1,SA,5722,380,15,UMBCAL,0,1,,,,,0.34,0,,52.1,1,0,,og dead/new sa,
A1,SA,5723,214,320,UMBCAL,0,1,,,,,0.88,0,,52.3,1,0,,og dead/new sa,
A1,SA,99410,,,UMBCAL,0,0,,,,,0.83,0,,,,0,,,
A2,SA,5724,155,60,UMBCAL,0,1,,,,,1.07,0,,32.6,0,0,,og dead/new sa,
A2,SA,5725,220,200,UMBCAL,0,1,,,,,0.88,0,,39.2,0,0,,og dead/new sa,
A2,SA,5726,320,380,UMBCAL,0,1,,,,,1.26,0,,43.4,0,0,,og dead/new sa,
A2,SA,5727,123,105,UMBCAL,0,1,,,,,0.87,0,,35.5,0,0,,,
A3,TR,2545,,,QUEGAR,1,0,0,1,4,,,,39.9,,,0,,,
B2,TR,2569,,,QUEGAR,1,0,0,1,5,,,,48.8,,,0,,,
A3,SA,5596,28,380,UMBCAL,0,1,,,,,0.72,0,,33.2,0,0,,new sa,
B1,TR,2571,,,QUEGAR,1,1,0,1,4,,,,29.4,,,0,,,
B1,SA,2573,,,UMBCAL,0,1,,,,,0.74,0,,51.1,1,0,,og dead,
A3,SA,5739,225,95,UMBCAL,0,1,,,,,0.89,0,,45.3,0,0,,new sa,
B1,SA,2570,,,UMBCAL,0,1,,,,,0.88,0,,80.2,1,0,,og dead,
B3,TR,2566,,,QUEGAR,1,1,0,1,4,,,,39.8,,,0,,,
B3,TR,2568,,,QUEGAR,1,0,0,1,3,,,,25.6,,,0,,,
A4,SA,2565,,,PSEMEN,0,0,,,,,4.82,0,,,,0,,,
A4,SA,2564,,,UMBCAL,0,1,,,,,0.95,0,,42.2,0,0,,og dead,
A3,SA,5740,450,370,UMBCAL,0,1,,,,,0.9,2,,57.3,1,0,,og dead/new sa,
C4,TR,2583,,,QUEGAR,1,1,1,1,4,,,,35.3,,,0,,,
A4,SA,5741,5,335,UMBCAL,0,1,,,,,1.13,1,,30.8,0,0,,og dead/new sa,
C4,TR,2582,,,QUEGAR,1,0,0,1,4,,,,31.6,,,0,,,
D3,SA,2586,,,UMBCAL,0,1,,,,,0.87,1,,51.3,1,0,,og dead,
D3,TR,2587,,,QUEGAR,1,0,1,1,4,,,,42.5,,,0,,,
A4,SA,5742,240,500,UMBCAL,0,1,,,,,1.2,2,,41.6,0,0,,og dead/new sa,
C1,SA,2580,,,UMBCAL,0,0,,,,,,0,,,,1,,dead/gone,
C2,SA,2581,,,UMBCAL,0,0,,,,,,0,,,,1,,dead/gone,
C1,SA,2574,,,UMBCAL,0,1,,,,,0.71,1,,61.1,1,0,,,
C1,SA,2576,,,UMBCAL,0,0,,,,,,0,,,,1,,dead/gone,
C1,TR,2578,,,QUEGAR,1,0,1,1,3,,,,28,,,0,,,
C1,TR,2577,,,QUEGAR,1,0,1,1,4,,,,33.2,,,0,,,
B4,SA,5743,290,485,UMBCAL,0,1,,,,,0.38,0,,29.4,0,0,,og dead/new sa,
B4,SA,5744,208,490,UMBCAL,0,1,,,,,1,1,,59.5,1,0,,og dead/new sa,
D1,TR,2590,,,AESCAL,1,0,0,1,4,,,,14.4,,,0,,,
D1,TR,2590.1,,,AESCAL,1,1,0,1,4,,,,15,,,0,,,
C1,SA,2572,,,UMBCAL,0,0,,,,,,0,,,,0,,dead/gone,
C1,SA,2579,,,UMBCAL,0,1,,,,,1.07,0,,33,0,0,,og dead,
C1,SA,2575,,,UMBCAL,0,0,,,,,,0,,,,0,,dead/gone,was typo 2525 -mk2022qc
C4,SA,5745,250,288,UMBCAL,0,1,,,,,0.63,0,,22.5,0,0,,og dead/new sa,
D1,TR,2592,,,QUEGAR,1,1,0,1,2,,,,29.8,,,0,,,
D1,TR,2591,,,QUEGAR,1,0,1,1,3,,,,33.7,,,0,,,
D2,TR,2589,,,AESCAL,1,0,0,1,2,,,,21.3,,,0,,,
D2,TR,2589.1,,,AESCAL,1,1,0,1,2,,,,16,,,0,,,
D2,SA,2588,,,UMBCAL,1,0,,,,69.5,0.98,0,,,,0,,,
D4,SA,5746,465,310,UMBCAL,1,0,,,,53.4,0.82,0,,,,0,,new sa,
D4,SA,5747,498,295,UMBCAL,0,1,,,,,0.96,0,,46.8,0,0,,og dead/new sa,
D3,SA,2593,,,UMBCAL,0,1,,,,,1.51,0,,48.5,0,0,,,
D4,TR,2584,440,465,QUEGAR,1,0,0,1,3,,,,44.9,,,0,,"quedou?- nah, changed in 13db to match future yrs- mkqc2022",
B3,SA,5728,28,410,UMBCAL,0,1,,,,,0.91,1,,47.1,0,0,,og dead/new sa,
D4,SA,5748,440,465,UMBCAL,0,1,,,,,0.45,2,,31.6,0,0,,og dead/new sa,
B3,SA,5729,158,415,UMBCAL,0,1,,,,,1.19,2,,41.1,0,0,,og dead/new sa,
D3,SA,5749,60,432,UMBCAL,0,1,,,,,0.69,0,,39.1,0,0,,og dead/new sa,
D3,SA,5750,55,15,UMBCAL,0,1,,,,,0.74,0,,39.6,0,0,,og dead/new sa,
B3,SA,5730,130,40,UMBCAL,0,1,,,,,1.01,0,,41.2,0,0,,og dead/new sa,
B3,SA,5731,20,73,UMBCAL,0,1,,,,,1.17,1,,47.7,0,0,,og dead/new sa,
C3,SA,5751,255,235,UMBCAL,0,1,,,,,0.85,3,,66.6,1,0,,og dead/new sa,
B2,SA,99411,,,UMBCAL,0,0,,,,,1.18,0,,,,0,,,
B2,SA,5732,118,420,UMBCAL,0,1,,,,,0.98,0,,54.6,1,0,,og dead/new sa,
C3,SA,5752,40,300,UMBCAL,0,1,,,,,0.6,0,,34.5,0,0,,og dead/new sa,
B2,SA,99412,,,UMBCAL,0,0,,,,,0.88,1,,,,0,,,
B2,SA,5733,205,385,UMBCAL,0,1,,,,,0.75,0,,36.2,0,0,,og dead/new sa,
C2,SA,99413,,,UMBCAL,0,0,,,,,1.05,0,,,,0,,,
C2,SA,99414,,,UMBCAL,0,0,,,,,0.93,0,,,,0,,,
