Plot ID,1339,,Sampler(s),AC MO MK KO,,,,,Date ,20180725,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
B4,SA,2542,,,UMBCAL,0,0,,,,,,,,,,1,DEAD AND GONE TAG REC
A4,SA,999.1,,,ARCMAN,0,0,,,,,1.2,0,,,,0,
B4,TR,2543,,,QUEAGR,1,1,0,1,4,,,,26.7,65,1,0,
B4,TR,2543.1,,,QUEAGR,1,0,1,0,1,,,,8.24,,,0,
B4,TR,2543.2,,,QUEAGR,1,0,1,1,2,,,,27.1,,,0,
B4,SA,2563,,,UMBCAL,0,0,,,,,1.36,0,,,,0,
B4,TR,2539,,,UMBCAL,0,1,0,0,0,,2.63,0,1.31,62.3,1,0,NOW A TR
B4,SA,2540,,,UMBCAL,0,1,,,,,2.9,1,,107.8,2,0,OG DEAD
B4,TR,2541,,,UMBCAL,0,1,,,,,,,3.44,115.6,6,0,
B4,SA,5886,260,376,UMBCAL,0,1,,,,,0.64,0,,38.2,0,0,BD @ 6CM; NEW SA OG DEAD
A4,SA,2535,,,UMBCAL,0,1,,,,,2.34,0,,54.8,3,0,
B4,SA,2538,,,UMBCAL,0,1,,,,,1.2,1,,,,0,
A4,SA,2536,,,UMBCAL,0,1,,,,,1.7,0,,62,2,0,
A4,SA,2537,,,UMBCAL,0,1,,,,,1.53,0,,41.1,0,0,BD @ 6CM
A3,SA,5887,88,373,UMBCAL,0,1,,,,,0.69,2,,47.3,0,0,NEW SA OG DEAD
A2,SA,2533,,,UMBCAL,0,1,,,,,1.92,0,,63.3,2,0,OG DEAD
A2,SA,2531,,,UMBCAL,0,1,,,,,1.5,4,,56,2,0,OG DEAD
A2,SA,2532,,,PSEMEN,0,0,,,,,2.95,0,,,,0,
A2,TR,2527,,,QUEAGR,1,0,1,1,4,,,,66.6,,,0,
A1,TR,2528,,,QUEAGR,1,0,1,1,2,,,,40.9,,,0,
A2,SA,5888,280,110,UMBCAL,0,1,,,,,1.06,0,,37.8,0,0,NEW SA OG DEAD
A1,SA,5889,280,40,UMBCAL,0,1,,,,,0.98,0,,37,0,0,NEW SA OG DEAD
A2,SA,2526,,,UMBCAL,0,1,,,,,1.31,0,,40,0,0,
A1,SA,2529,,,UMBCAL,0,1,,,,,1.09,0,,,,0,
A1,SA,2524,,,UMBCAL,0,1,,,,,1.18,5,,86.9,4,0,OG DEAD
A1,SA,2525,,,UMBCAL,0,1,,,,,0.95,0,,56,2,0,OG DEAD
B2,SA,2530,,,UMBCAL,0,1,,,,,2.34,0,,104.5,4,0,
B2,SA,2546,,,UMBCAL,0,1,,,,,1.79,0,,72.5,1,0,OG DEAD
B1,TR,2547,,,UMBCAL,0,1,0,0,0,,5.02,0,1.38,167.3,10,0,OG DEAD NOW A TR
B1,SA,2548,,,PSEMEN,0,0,,,,,,,,,,1,DEAD/GONE
B2,SA,999.2,,,UNK,0,0,,,,,0.58,0,,,,0,
B1,SA,999.3,,,UNK,0,0,,,,,0.73,0,,,,0,
B1,SA,5890,275,178,UMBCAL,0,1,,,,,1.14,0,,34,0,0,"BD @4CM OG DEAD, NEW SA"
C1,SA,2549,,,UMBCAL,0,1,,,,,0.93,1,,66.5,2,0,
C1,TR,2550,,,QUEAGR,1,0,0,1,2,,,,12.1,,,0,changing from QUEGAR to match other yrs-mkqc2022
C1,TR,2551,,,QUEDOU,1,0,0,1,2,,,,29.5,,,0,
C1,TR,2551.1,,,QUEDOU,1,0,0,1,2,,,,24.2,,,0,
D1,TR,2562,,,QUEDOU,1,0,0,1,3,,,,23.1,,,0,
D1,SA,999.4,,,QUEAGR,0,0,,,,,0.68,0,,,,0,
D1,SA,5891,225,380,UMBCAL,0,1,,,,,1.23,0,,52.1,1,0,OG DEAD NEW SA
D2,TR,2561,,,QUEDOU,1,0,0,1,2,,,,34,,,0,
D2,SA,2559,,,QUEAGR,0,0,,,,,0.69,0,,,,0,
D2,SA,999.5,,,UNK,0,0,,,,,0.63,0,,,,0,
D2,SA,2560,,,UMBCAL,0,1,,,,,1.57,0,,108,3,0,OG DEAD
C2,SA,2553,,,UMBCAL,0,1,,,,,1.05,0,,60.3,1,0,OG DEAD
D2,SA,999.6,,,UMBCAL,0,0,,,,,0.9,0,,,,0,
D2,SA,5892,245,460,UMBCAL,0,1,,,,,1.23,0,,65.3,1,0,OG DEAD NEW SA
D2,SA,999.7,,,UMBCAL,0,0,,,,,0.95,0,,,,0,
C3,TR,2557,,,QUEAGR,1,1,1,1,4,,,,38.6,,,0,
C3,TR,2557.1,,,QUEAGR,1,0,1,1,2,,,,27.8,,,0,
C3,TR,2557.2,,,QUEAGR,1,0,1,1,3,,,,38,,,0,
C3,TR,2557.3,,,QUEAGR,1,0,1,1,2,,,,33.9,,,0,
D3,TR,2558,,,QUEDOU,1,0,0,1,2,,,,23.5,,,0,
C4,SA,5893,350,158,ARBMEN,0,1,,,,,2.03,0,,73.4,1,0,OG DEAD NEW SA
C4,SA,5894,350,76,ARBMEN,0,1,,,,,1.79,0,,54,1,0,OG DEAD NEW SA
C3,SA,999.8,,,PSEMEN,0,0,,,,,1.28,0,,,,0,
C3,TR,2554,,,QUEAGR,1,1,0,1,3,,,,66.8,,0,,
C3,TR,2554.1,,,QUEAGR,1,0,1,0,1,,,,3.25,,,,
C3,TR,2554.2,,,QUEAGR,0,0,0,0,0,,,,1.46,,,,
C3,TS,2554.3,,,QUEAGR,0,,,,,,2.06,,,,,,
C3,TR,2556,,,QUEAGR,0,0,0,0,0,,,,4.32,,,,
C3,TR,2556.1,,,QUEAGR,0,0,0,0,0,,,,3.99,,,,
C3,SA,2555,,,UMBCAL,0,0,,,,,1.11,,,,,,
C2,SA,2552,,,PSEMEN,0,0,,,,,2.07,,,,,,
A3,TR,2534,,,QUEDOU,0,0,0,0,0,,,,,,,,
