Plot ID,1340,,Sampler(s),AC MO MK KO,,,,,Date ,20180720,,,,,,,,,
Notes,TAG REC=tag recovered. Redundant note along with tag pulled column,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B1,TR,1660,,,QUEAGR,0,0,0,0,0,,,,26.3,,,0,,
B1,TR,1660.1,,,QUEAGR,0,0,0,0,0,,,,15.7,,,0,,
B1,TR,1658,,,ARBMEN,0,1,0,0,0,,,,4.62,99.6,2,0,,
C1,SA,5866,202,152,UMBCAL,0,1,,,,,1.8,0,,39.6,0,0,,NEW SA OG DEAD
C1,SA,1661,,,UMBCAL,0,1,,,,,1.7,0,,43.1,0,0,,OG DEAD BD@4CM
D1,TR,1709,,,NOTDEN,0,1,0,0,0,,,,11.5,109.5,19,0,,
D1,SA,1712,,,NOTDEN,0,0,,,,,,,,,,0,,DEAD/GONE TAG NOT FOUND
D1,SA,1708,,,UMBCAL,0,1,,,,,1.4,0,,25.4,0,0,,OG DEAD
D1,SA,1707,,,UMBCAL,0,0,,,,,1.18,0,,,,1,,DEAD/GONE TAG REC
D1,SA,5867,452,421,BACPIL,0,0,,,,55.9,0.55,0,,,,0,,NEW SA
D2,TR,1706,,,PSEMEN,0,0,0,0,0,,,,34.9,,,0,,
D2,TR,1704,,,QUEAGR,0,1,0,0,0,,,,14.4,,,0,,
D2,TR,1704.1,,,QUEAGR,0,0,0,0,0,,,,,,,0,,DEAD AND GONE
D2,TS,1704.2,,,QUEAGR,0,0,,,,,,,,,,1,,DEAD AND GONE TAC REC
D2,TS,1704.3,,,QUEAGR,0,1,,,,,1.01,0,,,0,0,,DEAD
D2,SA,1705,,,UMBCAL,0,1,,,,,,,,27.2,0,0,,OG DEAD/GONE
D2,SA,1710,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD AND GONE TAC REC
D2,SA,1711,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD AND GONE TAC REC
D2,SA,5868,108,115,UMBCAL,0,1,,,,,1.2,0,,24,0,0,,NEW SA
D2,SA,5869,341,376,UMBCAL,0,1,,,,,,,,38.1,0,0,,NEW SA
C2,TR,1663,,,UMBCAL,0,1,0,0,0,,,,4.04,130,12,0,,
C2,TR,1665,,,PSEMEN,0,0,0,0,0,,,,34,,,0,,
C2,SA,1664,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD/GONE TAG REC
C2,SA,1662,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD/GONE TAG REC
B2,TR,1644,,,UMBCAL,0,1,0,0,0,,,,3.29,95.2,5,0,,
C3,SA,99437,,,ARBMEN,0,0,,,,,1.13,0,,,,0,,
B3,TR,1641,,,ARBMEN,0,1,0,0,0,,,,22.7,101,13,0,,
C3,SA,1669,,,UMBCAL,0,0,,,,,1.63,0,,,,0,,BD@4CM
B2,TR,1650,,,PSEMEN,1,0,0,1,2,,,,82,,,0,,
A1,TR,1610,,,QUEAGR,1,0,1,0,1,,,,23.5,,,0,,
A1,TR,1611,,,QUEAGR,1,0,1,0,1,,,,25.5,,,0,,
A1,SA,1612,,,UMBCAL,0,1,,,,,1.5,0,,48.8,1,0,,OG DEAD BD@7
A1,SA,1613,,,UMBCAL,0,1,,,,,1.85,0,,76.6,2,0,,OG DEAD BD@7
A1,SA,5826,56,140,UMBCAL,0,1,,,,,3.4,3,,115.8,3,0,,OG DEAD NEW SA
A1,SA,1614,,,UMBCAL,0,0,,,,,,,,,,,,NEW TAG
A1,SA,1615,,,UMBCAL,0,1,,,,,1.45,1,,24.8,0,0,,OG DEAD
A1,SA,1616,,,UMBCAL,0,1,,,,,1.41,0,,52.5,1,0,,OG DEAD BD@8
A1,TR,1617,,,UMBCAL,0,1,0,0,0,,,,4,125,16,,,"NEW TAG, OG DEAD"
A1,SA,1618,,,UMBCAL,0,0,,,,,,,,,,1,,GONE TAG REC
A1,SA,1619,,,UMBCAL,0,0,,,,,,,,,,1,,GONE TAG REC
A2,SA,1622,,,PSEMEN,0,0,,,,,0.45,0,,,,1,,BD@7 GONE TAG REC
A2,TR,1621,,,ARBMEN,0,1,0,0,0,,,,6.2,101,9,0,,OG DEAD
A2,SA,1646,,,PSEMEN,0,0,,,,,0.52,0,,,,1,,TAG REC
A2,SA,1620,,,PSEMEN,0,0,,,,,1.61,0,,,,1,,TAG REC
A2,TR,1625,,,ARBMEN,0,1,0,0,0,,,,,51.8,4,0,,OG DEAD
A2,SA,1623,,,PSEMEN,0,0,,,,,,,,,,1,,GONE TAG REC
A2,SA,1624,,,UMBCAL,0,0,,,,,,,,,,1,,GONE TAG REC
A3,SA,1628,,,PSEMEN,0,0,,,,,0.95,0,,,,0,,
A2,SA,1643,,,PSEMEN,0,0,,,,,,,,,,1,,GONE TAG REC
A3,SA,1631,,,PSEMEN,0,0,,,,,,,,,,1,,GONE TAG REC
A3,SA,1632,,,PSEMEN,0,0,,,,,,,,,,1,,GONE TAG REC
A3,TR,1633,,,UMBCAL,0,1,0,0,0,,,,5.5,203,9,0,,
A3,TR,1633.1,,,UMBCAL,0,1,0,0,0,,,,2.8,179.5,9,0,,
A3,TR,1633.3,,,UMBCAL,0,1,0,0,0,,,,1.2,57.7,1,0,,
A3,TR,1633.4,,,UMBCAL,0,1,0,0,0,,,,1.9,,,0,,
A3,TR,1633.5,,,UMBCAL,0,0,0,0,0,,,,1,,,0,,WAS LABELED .4 CHANGED TO .5
C3,SA,1696,,,PSEMEN,0,0,,,,,0.89,0,,,,,,BD@8CM
C3,SA,1695,,,BACPIL,0,0,,,,,,,,,,1,,DEAD AND GONE TAC REC
C3,SA,1666,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD AND GONE TAC REC
C3,SA,1667,,,PSEMEN,0,0,,,,,1.12,0,,,,,,"DEAD AND GONE (except then a living bay in 2019…and how did I have a BD if its ""gone"") gone was prob a field typo"
C3,SA,1675,,,PSEMEN,0,0,,,,,0.79,0,,,,,,BD@6
C3,SA,1672,,,PSEMEN,0,0,,,,,0.87,0,,,,,,
C3,SA,1674,,,PSEMEN,0,0,,,,,0.71,0,,,,,,BD@4
C3,SA,1673,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD AND GONE TAG REC
C3,SA,1668,,,PSEMEN,0,0,,,,,,,,,,,,DEAD AND GONE TAG NOT FOUND
C3,SA,1670,,,PSEMEN,0,0,,,,,,,,,,,,DEAD AND GONE TAG NOT FOUND
D3,SA,1697,,,PSEMEN,0,0,,,,,0.84,0,,,,,,
D3,SA,1640,,,BACPIL,0,0,,,,,,,,,,,,DEAD AND GONE TAG NOT FOUND
D3,SA,1699,,,PSEMEN,0,0,,,,,,,,,,,,DEAD AND GONE TAG NOT FOUND
D3,SA,1701,,,PSEMEN,0,0,,,,,,,,,,,,DEAD AND GONE TAG NOT FOUND
D3,SA,1703,,,PSEMEN,0,0,,,,,,,,,,,,DEAD AND GONE TAG NOT FOUND
D3,SA,1702,,,UMBCAL,0,0,,,,,,,,,,,,DEAD AND GONE TAG NOT FOUND
D3,SA,99438,,,ARBMEN,0,0,,,,,1.2,0,,,,,,
D4,SA,99439,,,PSEMEN,0,0,,,,,1.04,0,,,,,,
D4,SA,1690,,,BACPIL,0,0,,,,,,,,,,,,DEAD/GONE TAG NOT FOUND
D4,SA,1689,,,PSEMEN,0,0,,,,,,,,,,,,DEAD/GONE TAG NOT FOUND
D4,SA,1691,,,BACPIL,0,1,,,,,0.95,0,,57,1,,,OG DEAD
D4,SA,1686,,,BACPIL,0,0,,,,,,,,,,1,,DEAD/GONE TAG REC
D4,SA,1685,,,ARCMAN,0,0,,,,,,,,,,1,,DEAD/GONE TAG REC
C4,SA,1681,,,PSEMEN,0,0,,,,,1.01,0,,,,,,
C4,SA,1678,,,PSEMEN,0,0,,,,,0.84,0,,,,,,
C4,SA,1677,,,UMBCAL,0,1,,,,,1.01,0,,44.5,0,,,
C4,SA,99440,,,UMBCAL,0,0,,,,,0.96,0,,,,,,
C4,SA,99441,,,UMBCAL,0,0,,,,,0.61,0,,,,,,
