Plot ID,1345,,Sampler(s),"MK, KO, MO, AC",,,,,Date ,"20180628, 20180629",,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
D1,TR,1945,,,QUEGAR,1,0,0,1,3,,,,17.1,,,0,QUEDOU?
D1,TR,1947,,,QUEAGR,1,1,1,1,2,,,,6.1,,,0,
D1,TR,1946,,,QUEAGR,0,1,0,0,0,,,,21.5,,0,0,"dead, trunk burned out"
D1,SA,1948,,,HETARB,0,1,,,,,1.04,0,,35.4,0,0,og dead
C1,SA,1933,,,HETARB,0,1,,,,,0.76,0,,29.5,0,0,og dead
D1,TR,1950,,,HETARB,0,1,0,0,0,,3.65,0,1.41,100.4,12,0,became tree but og died
D1,TR,1951,,,HETARB,0,1,0,0,0,,,,2.35,99,5,0,
D1,TR,1951.1,,,HETARB,0,0,0,0,0,,,,2.17,,,0,
D1,TR,1951.2,,,HETARB,0,1,0,0,0,,,,2.25,105.1,12,0,should be a separate tree
D1,TR,1951.3,,,HETARB,0,0,0,0,0,,,,1.64,,,0,
D1,TR,1951.4,,,HETARB,0,1,0,0,0,,,,1.5,77,6,0,
D1,TR,1954,,,HETARB,0,1,0,0,0,,,,3.7,74.9,7,0,
D1,TR,1954.1,,,HETARB,0,1,0,0,0,,,,2.9,112.6,24,0,should have been their own tree. Separate from 1954.0
D1,TR,1954.2,,,HETARB,0,1,0,0,0,,,,2.9,,,0,should have been their own tree. Separate from 1954.0
D1,SA,1953,,,QUEAGR,0,0,,,,,,,,,,0,"dead and gone, tag not found"
D2,TR,1952,,,QUEGAR,1,0,0,1,4,,,,19.2,,,0,in 2019 confirm this didn't die in fire 
C2,SA,1916,,,HETARB,0,1,,,,,0.81,0,,36.6,0,0,
D2,SA,1949,,,QUEAGR,0,0,,,,,,,,,,0,"dead and gone, tag not found"
D3,TR,1955,,,QUEGAR,1,0,0,1,3,,,,28.1,,,0,
D3,TR,1957,,,ARCMAN,0,0,0,0,0,,,,3.4,,,0,dead
D3,TR,1957.1,,,ARCMAN,0,0,0,0,0,,,,1.9,,,0,
C4,TR,1941,,,ARCMAN,0,0,0,0,0,,,,2.4,,,0,
C4,TR,1942,,,ARCMAN,0,0,0,0,0,,,,5.6,,,0,
D3,TR,1942.1,,,ARCMAN,0,0,0,0,0,,,,3.4,,,0,
D4,SA,1943,,,HETARB,0,1,,,,,0.73,0,,44.8,0,0,og dead
D3,SA,1956,,,BACPIL,0,0,,,,,,,,,,0,"dead and gone, tag not found"
D4,SA,1917,,,HETARB,0,1,,,,,1.13,0,,53.9,1,0,og dead
D4,SA,1918,,,HETARB,0,0,,,,,1.01,0,,,0,0,dead
A1,SA,2266,,,QUEAGR,0,1,,,,,0.63,0,,19.4,0,0,og dead
A1,SA,2267,,,HETARB,0,1,,,,,1.46,0,,81.3,4,0,og dead
A2,SA,2268,,,UMBCAL,0,1,,,,,0.71,0,,110.6,1,0,og dead
A2,TR,2265,,,HETARB,0,1,0,0,0,,,,1.14,81,4,0,og dead
A2,TS,2265.1,,,HETARB,0,0,0,0,0,,,,,,,0,couldn't find tag
A2,SA,2272,,,HETARB,0,0,0,0,0,,,,,,,0,gone
A2,SA,2270,,,QUEAGR,0,0,0,0,0,,0.87,0,,,,0,
A2,TR,2262,,,UMBCAL,1,1,1,1,2,,,,6.79,73.2,7,0,
A2,TR,2263,,,HETARB,1,1,0,1,3,,,,4.66,79.8,6,0,
A2,TR,2263.1,,,HETARB,0,0,0,0,0,,,,4.57,,,0,
A2,TR,2263.2,,,HETARB,0,0,0,0,0,,,,1.89,,,0,
A2,TR,2263.3,,,HETARB,0,0,0,0,0,,,,1.96,,,0,
A2,TR,2263.7,,,HETARB,0,0,0,0,0,,,,2.68,,,0,
A2,TR,2263.5,,,HETARB,0,0,0,0,0,,,,1.9,,,0,
A2,TR,2263.6,,,HETARB,0,0,0,0,0,,,,,,,0,
A2,TR,2263.4,,,HETARB,1,0,0,1,3,,,,4.45,,,0,
A2,TR,2264,,,HETARB,0,0,0,0,0,,,,2.26,,,0,
A2,TR,2264.2,,,HETARB,0,1,0,0,0,,,,1.74,87,3,0,og dead
A2,TR,2264.1,,,HETARB,0,1,0,0,0,,,,2.32,,,0,og dead
A2,TR,2264.3,,,HETARB,0,1,0,0,0,,,,1.45,79.5,5,0,og dead
A2,TR,2273,,,HETARB,0,1,0,0,0,,,,3.79,98.3,10,0,og dead
A2,TR,2273.1,,,HETARB,0,1,0,0,0,,,,2.21,,,0,og dead
A2,TR,2273.2,,,HETARB,0,1,0,0,0,,,,1.92,,,0,og dead
A2,TR,2273.3,,,HETARB,0,1,0,0,0,,,,1.3,,,0,og dead
A2,TR,2273.4,,,HETARB,0,1,0,0,0,,,,1.43,,,0,og dead
A2,TR,2273.5,,,HETARB,0,0,0,0,0,,,,,,,0,gone
A2,TR,2273.6,,,HETARB,0,1,0,0,0,,,,1.97,,,0,og dead
A2,TR,2273.7,,,HETARB,0,1,0,0,0,,,,1.13,,,0,og dead
A2,TR,2273.11,,,HETARB,0,1,0,0,0,,,,2.34,,,0,OG dead
A2,TR,2273.8,,,HETARB,0,1,0,0,0,,,,2.27,,,0,OG dead
A2,TR,2273.12,,,HETARB,0,1,0,0,0,,,,1.14,,,0,OG dead
A2,TR,2273.9,,,HETARB,0,1,0,0,0,,,,1.92,,,0,OG dead
A2,TR,2256,,,HETARB,0,0,0,0,0,,,,1.26,,,0,
A2,TR,2275,,,HETARB,0,1,0,0,0,,,,2.39,93,6,0,og dead
A2,SA,2269,,,UMBCAL,0,1,,,,,0.95,0,,59.7,2,0,og dead
A2,SA,2235,,,UMBCAL,0,1,,,,,1.31,0,,67.5,3,0,og dead
A2,SA,2766,,,HETARB,0,1,,,,,1.14,0,,52.6,1,0,og dead
A2,SA,2761,,,HETARB,0,1,,,,,0.91,0,,63.2,6,0,og dead
A2,SA,2271,,,QUEAGR,0,0,,,,,0.87,0,,,,0,
A3,TR,2259,,,ARCMAN,0,0,0,0,0,,,,9.13,,,0,
A3,TR,2259.1,,,ARCMAN,0,0,0,0,0,,,,6.27,,,0,
A3,TR,2259.2,,,ARCMAN,0,0,0,0,0,,,,7.35,,,0,
