Plot ID,1347,,Sampler(s),"MO,AC,MK,DK",,,,,Date ,20180806,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B1,TR,2979,,,UMBCAL,1,0,0,1,4,,,,3.45,,,0,,
A1,SA,2933,,,UMBCAL,1,0,,,,148,10.8,0,,,,0,,
A1,SA,2934,,,UMBCAL,1,0,,,,212,0.52,0,,,,0,,
A1,SA,2932,,,QUEAGR,0,0,,,,,0.4,0,,,,0,,
A1,TR,2931,,,UMBCAL,1,0,0,1,5,,2.29,0,1.28,,,0,,WAS SA
A1,TR,2930,,,UMBCAL,1,0,0,1,4,,,,8.8,,,0,,
A1,TR,2936,,,UMBCAL,1,1,0,1,5,,,,1.46,52,1,0,,
A1,TR,2938,,,QUEGAR,1,1,1,1,2,,,,2.73,,,0,,DBH TAKEN GROUND ____
A1,SA,2929,,,UMBCAL,1,0,,,,163.1,1.2,0,,,,0,,
A1,TR,2935,,,UMBCAL,1,0,0,1,5,,3.49,0,2.35,,,0,,
A1,TR,2937,,,AMOCAL,0,0,0,0,0,,,,,,,0,,"DEAD/GONE, NO TAG"
A1,SA,2939,,,UMBCAL,1,0,,,,126,1.01,2,,,,0,,
A3,SA,2943,,,UMBCAL,1,0,,,,93.5,1.79,0,,,,0,,
A1,SA,6140,398,70,AMOCAL,1,0,,,,150,0.7,0,,,,0,,NEW SA
A2,SA,2940,,,UMBCAL,1,0,,,,93.6,1.42,0,,,,0,,
A2,TR,2941,,,UMBCAL,1,0,0,1,5,,,,3.93,,,0,,
A2,TR,2941.1,,,UMBCAL,1,1,0,1,5,,,,1.18,61.7,1,0,,
A2,TR,6142,402,337,AMOCAL,1,0,0,1,3,,,,1.22,,,0,,
A3,TR,2942,,,QUEGAR,0,1,0,0,0,,,,23.5,,,0,,
A3,TR,2944,,,UMBCAL,1,0,0,1,4,,,,3.23,,,0,,
A3,TR,2945,,,UMBCAL,1,0,0,1,3,,,,1.25,,,0,,
A3,TR,2945.1,,,UMBCAL,1,0,0,1,5,,,,1.11,,,0,,NEW .1
A4,TR,2947,,,QUEGAR,1,1,0,1,2,,,,22.1,,,0,,CHANGED FROM QUEKEL
A4,TR,2946,,,UMBCAL,1,0,0,1,5,,3.37,0,2.27,,,0,,"NEW SA, TO TR"
A4,TR,2948,,,AMOCAL,0,1,0,0,0,,,,,159.8,5,0,,"OG DEAD, DBH UNAVAILABLE"
A4,TR,2951,,,UMBCAL,1,0,0,1,4,,,,2.84,,,0,,
A4,SA,6141,395,370,QUEAGR,1,0,,,,51.2,0.35,0,,,,0,,NEW SA
A4,SA,2950,,,UMBCAL,1,0,,,,160.7,1.32,0,,,,0,,
A4,TR,2949,,,AMOCAL,0,0,0,0,0,,,,,,,1,,DEAD/GONE
A4,SA,6143,81,440,AMOCAL,1,0,,,,204.3,1.05,8,,,,0,,NEW SA
A4,SA,6144,105,404,AMOCAL,1,0,,,,204.9,1.26,3,,,,0,,
B4,SA,2956,,,UMBCAL,1,0,,,,87,1.21,0,,,,0,,
B4,SA,2952,,,UMBCAL,1,0,,,,70.5,1.21,2,,,,0,,
B4,SA,2954,,,UMBCAL,1,0,,,,60.2,1.24,5,,,,0,,
B4,TR,2955,,,UMBCAL,1,0,0,1,4,,,,2.35,,,0,,
B4,SA,6145,313,56,UMBCAL,1,0,,,,54.9,1,0,,,,0,,NEW SA
B4,SA,2957,,,UMBCAL,1,0,,,,252.7,1.35,0,,,,0,,
B4,SA,2958,,,UMBCAL,1,0,,,,118.8,0.77,1,,,,0,,
B4,SA,6146,420,100,UMBCAL,1,0,,,,71.8,0.66,1,,,,0,,
B4,TR,2964,,,AMOCAL,1,0,0,1,4,,,,1.78,,,0,,
B4,SA,2953,,,UMBCAL,1,0,,,,86.7,1.18,0,,,,0,,
B4,SA,3002,,,AMOCAL,0,0,,,,,,,,,,0,,DEAD/GONE
A4,SA,6147,425,401,UMBCAL,1,0,,,,59.1,0.94,0,,,,0,,
B3,SA,2962,202,26,UMBCAL,1,0,,,,57.1,1.18,0,,,,0,,
B3,SA,6148,,,AMOCAL,1,0,,,,64.3,0.81,0,,,,0,,
B3,SA,2968,,,QUEAGR,1,0,,,,103,0.58,0,,,,0,,
B3,SA,6149,324,7,AMOCAL,1,0,,,,167.1,0.78,4,,,,0,,
B3,TR,2967,,,PSEMEN,1,0,0,1,4,,,,73.5,,,0,,
B3,SA,2966,,,UMBCAL,1,0,,,,133.6,1.1,0,,,,0,,
B3,SA,2965,,,UMBCAL,1,0,,,,20,0.78,0,,,,0,,
B3,TR,3014,,,UMBCAL,1,0,0,1,5,,,,3.75,,,0,,
B3,TR,3015,,,UMBCAL,1,0,1,1,5,,,,5.69,,,0,,
B3,TR,3015.1,,,UMBCAL,1,0,0,1,4,,,,1.41,,,0,,
B3,SA,2961,,,UMBCAL,1,0,,,,91.6,1.27,1,,,,0,,
B3,TR,2960,,,UMBCAL,1,0,0,1,4,,,,1.05,,,0,,
B3,TR,2960.1,,,UMBCAL,1,0,0,1,5,,,,1.03,,,0,,
D4,TR,3010,,,AMOCAL,1,0,0,1,4,,,,1.2,,,0,,
D4,SA,6169,120,315,AMOCAL,1,0,,,,177.2,0.83,0,,,,0,,
D4,SA,3011,,,UMBCAL,1,0,,,,68.7,1.53,0,,,,0,,
D4,SA,6170,58,123,AMOCAL,1,0,,,,147.6,0.5,2,,,,0,,
D4,SA,3059,,,AMOCAL,1,0,,,,249.4,0.8,2,,,,0,,
D4,SA,6171,130,275,AMOCAL,1,0,,,,165.2,1.04,1,,,,0,,
D4,SA,3058,,,AMOCAL,0,1,,,,,1.45,1,,79.4,1,0,,
D4,SA,3055,,,AMOCAL,1,0,,,,251,1.62,7,,,,0,,
D4,SA,3057,,,AMOCAL,1,0,,,,245.8,1.05,1,,,,0,,
D4,SA,3056,,,AMOCAL,1,0,,,,180.1,0.67,0,,,,0,,
D4,TR,3054,,,AMOCAL,1,1,0,1,2,175.6,1.72,4,1.13,192.6,3,0,,
D3,TR,3016,,,PSEMEN,1,0,0,1,4,,,,55.9,,,0,,
D3,TR,3017,,,UMBCAL,1,1,1,1,5,,,,6.8,,,0,,
