Plot ID,1348,,Sampler(s),"MK,DK,MO,AK",,,,,Date ,20180807,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
A1,TR,3103,,,PSEMEN,0,0,0,0,0,,,,2.97,,,0,
A1,TR,3102,,,HETARB,1,1,1,1,2,,,,7,88.9,16,0,
A1,TR,3102.1,,,HETARB,1,0,0,1,3,,,,1.86,,,0,
A1,TR,3102.2,,,HETARB,0,0,0,1,0,,,,3.28,,,0,
A1,TR,3102.3,,,HETARB,1,0,0,1,2,,,,4.81,,,0,
A1,TR,3102.4,,,HETARB,0,0,0,0,0,,,,,,,1,DEAD/GONE
A1,TS,3102.5,,,HETARB,0,1,,,,,1,0,,69.6,2,0,BDA ~~~ ???
A1,TR,3063,,,QUEKEL,1,1,0,1,1,,,,11.5,81.7,2,0,
A1,TS,3063.1,,,QUEKEL,0,0,,,,,,,,,,1,DEAD/GONE TAG REC.
A1,SA,3062,,,HETARB,0,0,,,,,,,,,,0,DEAD/GONE 
A2,SA,3104,,,AMOCAL,0,1,,,,,,,,116.9,7,1,OG DEAD/GONE
A2,TR,3105,,,PSEMEN,1,0,0,1,2,,,,12.9,,,0,
A2,TR,3066,,,QUEGAR,1,1,0,1,3,,,,14.7,,0,0,
A3,TR,3108,,,QUEGAR,1,1,0,1,3,,,,15.6,,0,0,
A2,TR,3067,,,AMOCAL,0,0,0,0,0,,,,,,,0,
A2,SA,3068,,,AMOCAL,0,0,,,,,1.81,0,,,,0,
A2,TR,3064,,,QUEGAR,1,0,1,1,4,,,,19.7,,,0,
A2,SA,3065,,,QUEAGRI,0,1,,,,,,,,35,0,0,
A2,SA,3107,,,AMOCAL,0,0,,,,,,,,,,0,
A2,SA,3106,,,AMOCAL,0,1,,,,,1.64,0,,66.1,1,0,
A2,SA,3071,,,AMOCAL,0,0,,,,,,,,,,0,
A2,TR,3153,,,AMOCAL,0,1,0,0,0,,,,,73.2,2,0,
A2,TS,3153.1,,,AMOCAL,0,0,,,,,,,,,,0,
A2,SA,3070,,,AMOCAL,0,1,,,,,,,,79.2,4,0,
A2,SA,3151,,,AMOCAL,0,0,,,,,,,,,,0,
A2,SA,3069,,,AMOCAL,0,0,,,,,,,,,,0,
A2,SA,6164,494,10,AMOCAL,0,1,,,,,1.21,0,,67.1,2,0,
A2,SA,6165,446,240,AMOCAL,1,0,,,,57.3,0.25,2,,,,0,
A2,SA,6166,428,340,AMOCAL,1,0,,,,60.4,0.36,3,,,,0,
A2,SA,6178,314,415,AMOCAL,1,0,,,,63.1,0.39,5,,,,0,
A3,TR,3110,,,QUEGAR,1,1,0,1,4,,,,15.7,60.5,1,0,
A3,TR,3111,,,AMOCAL,0,1,0,0,0,,,,1.49,75.3,3,0,
A3,TS,3111.1,,,AMOCAL,0,1,,,,,1.72,0,,76.6,4,0,"FALLEN TREE, DEAD"
A3,TR,3159,,,QUEGAR,0,0,0,0,0,,,,12.1,,,0,
A3,SA,3115,,,HETARB,0,1,,,,,1.58,3,,30.5,0,0,
A3,SA,3074,,,UMBCAL,0,1,,,,,1.88,0,0.75,38.6,0,0,
A3,TR,3114,,,PSEMEN,0,0,0,0,0,,,,11.5,,,0,
A3,TR,3109,,,QUEGAR,0,1,0,0,0,,,,9.4,,0,0,NOT ON LIST
A3,SA,3073,,,AMOCAL,0,1,,,,,,,,79.3,5,0,BD…(??)
A3,SA,3113,,,AMOCAL,0,0,,,,,,,,,,1,DEAD/GONE
A3,SA,3072,,,AMOCAL,0,0,,,,,,,,,,1,DEAD/GONE
A3,SA,3075,,,UMBCAL,0,1,,,,,2.11,0,,35.1,0,0,OG DEAD
A4,TR,3118,,,UMBCAL,1,1,1,1,3,,,,4,87.5,1,0,
A4,TR,3118.1,,,UMBCAL,1,0,1,1,3,,,,3.4,,,0,
A3,SA,3116,,,AMOCAL,0,0,,,,,,,,,,1,DEAD/GONE
A3,SA,3117,,,AMOCAL,0,1,,,,,1.49,0,,75.8,7,0,
A3,SA,3077,,,AMOCAL,0,1,,,,,,,,82.4,10,0,OG GONE
A3,SA,3076,,,AMOCAL,0,1,,,,,,,,130.2,16,0,OG GONE
A3,TR,3158,,,QUEKEL,0,0,0,0,0,,,,,,,0,DEAD/GONE
A3,TR,3160,,,QUEKEL,0,0,0,0,0,,,,,,,0,DEAD/GONE
A3,SA,3112,,,AMOCAL,0,0,,,,,,,,,,1,DEAD/GONE
A3,SA,3161,,,AMOCAL,0,0,,,,,,,,,,0,
A4,TR,3123,,,UMBCAL,0,1,0,0,0,,3.04,1,1.57,68.2,3,0,
A4,TR,3128,,,UMBCAL,0,1,0,0,0,,,,4.98,123.6,8,0,
A4,TR,3124,,,AMOCAL,0,1,0,0,0,,,,1.77,144.8,13,0,
A4,TR,3124.1,,,AMOCAL,0,0,0,0,0,,,,1.18,,,0,
D4,SA,3227,,,UMBCAL,1,0,,,,183.4,1.83,0,,,,0,
D4,SA,3228,,,AMOCAL,1,0,,,,196.6,1.17,11,,,,0,
D3,TR,3230,,,QUEGAR,1,1,1,1,3,,,,19.1,,0,0,
D4,TR,3179,,,PSEMEN,1,0,0,1,2,,,,2.3,,,0,
D4,TR,3226,,,QUEKEL,0,0,,,,,,,,,,0,DEAD/GONE TAG NOT FOUND
C4,SA,6188,499,250,UMBCAL,0,1,,,,,,,,,,0,OG DEAD
C4,TR,3223,,,HETARB,0,1,0,0,0,,,,3.9,87.2,12,0,
C4,TR,3223.1,,,HETARB,0,0,0,0,0,,,,1.16,,,0,
C4,TS,3223.2,,,HETARB,0,0,,,,,1.24,2,,,,0,
C4,SA,3221,,,PSEMEN,0,0,,,,,2.13,0,,,,0,
C4,TR,3220,,,PSEMEN,0,0,0,0,0,,2.52,0,1.24,,,0,
C4,SA,3178,,,UMBCAL,0,1,,,,,1.31,1,,31.4,0,0,OG DEAD
C4,SA,3176,,,HETARB,0,0,,,,,,,,,,1,DEAD/GONE
C4,TR,3174,,,QUEGAR,1,1,1,1,3,,,,11.6,,,0,
C4,TR,3225,,,HETARB,0,1,0,0,0,,,,1.8,,,0,
C4,TR,3225.1,,,HETARB,0,0,0,0,0,,1.61,0,1.2,,,0,
