DATE,PLOT,INITALS,SPECIES,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,A1_cover,A1_pheno,NOTES
20190427,1344,"MK,MO",ACHMIL,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",ACMPAR,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",ANIMAD,,,,,,,,,,,,,,,,,,,,,,,,,TALL ASTER ON DS
20190427,1344,"MK,MO",AVEBAR,,,,,1,V,1,FL,,,2,FL,3,FL,2,V,,,,,1,FR,1,FL,
20190427,1344,"MK,MO",BRADIS,3,FL,,,6,FL,4,FL,3,FL,3,FL,2,FL,,,,,1,FL,,,2,FL,
20190427,1344,"MK,MO",BRIMAX,45,FL,,,1,FL,3,FL,7,FL,22,FL,2,FL,4,FL,,,,,45,FL,2,FL,
20190427,1344,"MK,MO",BROCAR,5,FL,3,V,3,FL,3,FL,28,FL,5,FL,21,FL,18,FL,19,FL,55,FL,10,FL,7,FL,"VERY ERECT, BROCAR?"
20190427,1344,"MK,MO",BRODIA,2,FL,,,2,FL,10,FL,4,FL,4,FL,,,,,2,FL,1,FL,,,5,FL,
20190427,1344,"MK,MO",BROHOR,5,FL,,,,,,,,,,,3,FL,,,,,,,8,FL,3,FL,
20190427,1344,"MK,MO",CARPYC,,,,,,,,,,,2,V,,,,,,,,,,,2,V,
20190427,1344,"MK,MO",CARTUM,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",CYNECH,2,FR,,,1,FR,1,FR,1,FR,1,FR,,,,,,,1,FR,,,1,FR,
20190427,1344,"MK,MO",DICCAP,,,,,,,,,2,FL,,,,,1,V,1,V,1,V,1,FL,,,
20190427,1344,"MK,MO",DICCON,,,,,,,,,,,,,,,,,,,1,V,,,,,
20190427,1344,"MK,MO",ELYGLA,3,FL,,,,,,,,,,,,,,,,,,,,,1,V,
20190427,1344,"MK,MO",FESBRO,,,,,,,,,,,,,,,1,FL,,,,,,,,,
20190427,1344,"MK,MO",GAL_SP,,,,,,,,,1,V,2,V,,,,,,,2,V,1,V,1,V,ANOTHER GALIUM! NOT ONE LISTED 
20190427,1344,"MK,MO",GALAPA,,,,,,,,,,,2,V,,,,,,,,,,,,,
20190427,1344,"MK,MO",GALPAR,3,V,,,,,1,V,1,V,,,,,,,,,,,1,V,,,
20190427,1344,"MK,MO",GALPOR,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",GERDIS,2,FR,,,,,,,,,,,,,,,,,,,5,FR,8,FR,
20190427,1344,"MK,MO",GERMOL,1,FR,,,,,,,,,,,,,,,,,,,,,2,V,
20190427,1344,"MK,MO",HYPGLA,,,,,,,,,2,FL,2,V,3,V,,,,,,,,,,,
20190427,1344,"MK,MO",TAXOFF,,,,,,,,,,,2,V,,,,,,,,,,,2,V,"TALL HAIRY STEM/LEAF, LF WIDER AT TIP. SINE LIKE HAIRS RED AT BASE, 2 RANKED"
20190427,1344,"MK,MO",LATANG,,,,,,,,,,,,,,,,,,,1,FR,,,,,
20190427,1344,"MK,MO",LUPBIC,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",LUZCOM,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",LYSARV,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",MAD_SP,,,,,,,,,4,V,,,2,V,,,,,,,,,,,DIFFERENT THAN MADGRA
20190427,1344,"MK,MO",MEDPOL,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",PETDRY,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",PETDUB,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",RANOCC,,,,,,,,,,,,,,,,,,,2,V,,,,,
20190427,1344,"MK,MO",SANCRA,,,,,,,1,V,3,V,,,4,V,,,,,,,,,,,
20190427,1344,"MK,MO",SANLAC,,,,,,,,,,,,,,,,,,,,,5,FR,,,
20190427,1344,"MK,MO",STILEP,,,,,,,,,,,,,,,,,1,FL,,,,,,,
20190427,1344,"MK,MO",STIPUL,,,,,,,,,,,,,,,,,3,FL,,,,,,,
20190427,1344,"MK,MO",TORARV,3,V,,,1,V,8,V,3,V,4,V,5,V,,,,,9,V,4,V,8,V,
20190427,1344,"MK,MO",TRICIL,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",TRIHIR,,,,,,,,,,,,,,,5,V,2,V,,,,,,,
20190427,1344,"MK,MO",TRIMICCEP,,,,,,,,,,,,,,,,,,,,,3,FL,5,FL,
20190427,1344,"MK,MO",TRIMICDON,,,,,,,,,,,,,,,,,,,2,FL,,,,,
20190427,1344,"MK,MO",TRISUB,,,,,,,,,,,1,FL,,,18,FL,,,,,,,,,
20190427,1344,"MK,MO",TRIWIL,,,,,,,,,,,,,,,,,,,,,,,,,
20190427,1344,"MK,MO",VICSAT,7,V,,,,,,,,,3,V,1,FL,6,FR,3,FL,5,FR,7,FL,12,FR,
