DATE,PLOT,INITALS,SPECIES,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,A1_cover,A1_pheno,NOTES 
20190425,1332,"MO,MK,TT",ADIJOR,,,,,,,,,,,,,,,,,,,1,V,,,,,
20190425,1332,"MO,MK,TT",ANIMAD,,,,,,,,,,,,,,,,,,,1,V,,,,,
20190425,1332,"MO,MK,TT",BRADIS,,,,,,,,,,,1,FL,,,,,,,3,FL,,,,,
20190425,1332,"MO,MK,TT",CARCAL,,,,,,,,,,,,,,,,,5,V,1,V,2,V,,,
20190425,1332,"MO,MK,TT",CHLPOM,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",CLAPAR,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",COLHET,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",CALPUR,,,,,,,,,,,,,,,,,,,,,,,,,CALYSTEGIA SPECIES
20190425,1332,"MO,MK,TT",CYNGRA,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",DICCON,,,,,,,,,,,,,,,,,3,FR,,,,,,,
20190425,1332,"MO,MK,TT",DICCAP,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",DRYARG,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",FESCAL,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",GALAPA,8,FR,1,V,6,FR,,,1,V,,,,,,,3,V,3,FR,3,FR,3,FR,
20190425,1332,"MO,MK,TT",IRIFER,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",LATVES,,,,,,,,,,,,,,,,,,,30,FR,,,,,
20190425,1332,"MO,MK,TT",LIT_SP,,,,,,,,,,,,,,,,,,,,,2,V,,,NOT FLOWERING 
20190425,1332,"MO,MK,TT",LITAFF,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",LITHET,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",MELGEY,,,,,,,,,,,,,,,,,,,,,,,2,FL,
20190425,1332,"MO,MK,TT",NEMHET,,,,,,,,,,,,,,,,,1,V,5,FR,10,FR,3,FR,
20190425,1332,"MO,MK,TT",OSMBER,,,,,1,V,,,,,1,V,,,1,V,4,V,1,V,,,,,
20190425,1332,"MO,MK,TT",PENTRI,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",POLYPOCAL,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",RANOCC,,,,,,,,,,,,,,,,,,,4,FR,2,V,1,V,
20190425,1332,"MO,MK,TT",SANCRA,2,V,1,V,2,V,,,,,,,,,,,5,V,,,5,FR,,,
20190425,1332,"MO,MK,TT",STARIG,4,V,,,,,,,,,,,,,2,V,,,,,1,V,,,
20190425,1332,"MO,MK,TT",MADGRA,,,,,,,,,,,,,,,,,,,,,,,,,
20190425,1332,"MO,MK,TT",TORARV,4,V,,,5,V,8,V,2,V,1,V,,,,,3,V,4,V,4,V,9,V,
20190425,1332,"MO,MK,TT",TOXDIV,,,,,,,,,,,,,,,2,V,,,,,,,,,
20190425,1332,"MO,MK,TT",VICSAT,,,,,,,,,,,,,,,,,,,,,,,1,V,
