Plot: 1304,Date,20191112,,Surveyors:,"MK, CVH",Severity:,MOD/LOW
,,,,,,,
Dominant Species,% Leaf Scorch,Living < 1m?   ,,Fire-induced  Mortality?,New Wounds?,Post-Fire Seeds Present?   ,B-sprouts
QUEGAR,0,N,,N,N,N,NA
AESCAL,NA,N,,N,Y,N,S G
QUEAGR,5,N,,N,Y,N,S A
,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
,,,,,,,
% Ground Charred:,4/ 25,,,H'wood Trunk Char Height (m):,,,0.25
,,,,Doug Fir Trunk Char Height (m):,,,NA
Leaf Freeze Direction: SOUTH,,,,Doug Fir Needle Scorch Height (m):,,,NA
,,,,,,,
Hobo Damaged: N,,,,Hobo Downloaded: Y,,,
,,,,,,,
Notes: ,,,,,,,FOR MH:
,,,,,,,N
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
