Plot: 1313,Date,20191111,,Surveyors:,"MK,MO,DA,KR,LB",Severity:,MOD/MOD
,,,,,,,
Dominant Species,% Leaf Scorch,Living < 1m?   ,,Fire-induced  Mortality?,New Wounds?,Post-Fire Seeds Present?   ,B-sprouts
ARBMEN,40,N,,Y,Y,Y,S A
HETARB,100,N,,Y,Y,N,S A D
AQUEAGRI,10,N,,N,N,N,S
QUEKEL,10,N,,N,Y,N,S
UMBCAL,100,Y,,Y,Y,N,S
,,,,,,,
% Ground Charred:,2/70,,,H'wood Trunk Char Height (m):,,3,
,,,,Doug Fir Trunk Char Height (m):,,,
Leaf Freeze Direction: SE,,,,Doug Fir Needle Scorch Height (m):,,,
,,,,,,,
Hobo Damaged: Y,,,,Hobo Downloaded: Y,,,
,,,,,,,
"Notes: SHIELD MELTED, LOGGER OKAY. ARBMEN W OAK BRANCH PRECARIOUSLY PLACED",,,,,,,FOR MH:
,,,,,,,YES
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
