Plot:1335,Date,20191118,,Surveyors:,"MO, TT",Severity:,LOW/LOW
,,,,,,,
Dominant Species,% Leaf Scorch,Living < 1m?   ,,Fire-induced  Mortality?,New Wounds?,Post-Fire Seeds Present?   ,B-sprouts
AESCAL,NA,N,,N,N,N,A G
QUEGAR,0,N,,N,Y,Y,A G
,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
,,,,,,,
% Ground Charred:,2/65,,,H'wood Trunk Char Height (m):,,0.5,
,,,,Doug Fir Trunk Char Height (m):,,,
Leaf Freeze Direction: E,,,,Doug Fir Needle Scorch Height (m):,,,
,,,,,,,
Hobo Damaged: N,,,,Hobo Downloaded: N,,,
,,,,,,,
Notes: GREEN UMBCAL SAP ,,,,,,,FOR MH:
,,,,,,,NO
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
