Plot: 1344,Date,20191111,,Surveyors:,"MK,MO,DA,KR,LB",Severity:,LOW/HIGH
,,,,,,,
Dominant Species,% Leaf Scorch,Living < 1m?   ,,Fire-induced  Mortality?,New Wounds?,Post-Fire Seeds Present?   ,B-sprouts
QUEKEL,5,N,,Y,Y,Y        N,NA
QUEDOU,5,N,,N,Y,Y        N,NA
QUEGAR,10,N,,N,N,Y        N,NA
UMBCAL,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
PSEMEN,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
,,,,,,,
% Ground Charred:,3/95,,,H'wood Trunk Char Height (m):,,4,
,,,,Doug Fir Trunk Char Height (m):,,NA,
Leaf Freeze Direction:,,,,Doug Fir Needle Scorch Height (m):,,NA,
,,,,,,,
Hobo Damaged: N,,,,Hobo Downloaded: Y,,,
,,,,,,,
Notes: ,,,,,,,FOR MH:
,,,,,,,YES
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
