Plot: 1319,Date,20191113,,Surveyors:,"MK, CVH",Severity:,
,,,,,,,
Dominant Species,% Leaf Scorch,Living < 1m?   ,,Fire-induced  Mortality?,New Wounds?,Post-Fire Seeds Present?   ,B-sprouts
UMBCAL,20,N,,N,Y,N,SAG
PSEMEN,35,N,,N,Y,N,NA
QUEAGRI,50,N,,N,Y,N,S
QUEGAR,5,N,,N,N,N,NA
,,Y        N,,Y        N,Y        N,Y        N,S  A  D  G  NA
,,,,,,,
% Ground Charred:,3/70,,,H'wood Trunk Char Height (m):,,1.5,
,,,,Doug Fir Trunk Char Height (m):,,0.5,
Leaf Freeze Direction:S,,,,Doug Fir Needle Scorch Height (m):,,3,
,,,,,,,
Hobo Damaged: N,,,,Hobo Downloaded: Y,,,
,,,,,,,
Notes: 2876 QUEGAR,,,,,,,FOR MH:
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
