Plot ID,   PPW1321,Date,20190717,,Samplers,"MO, GH",,
Notes,ORIGINAL CORNER TAG,,,,,,,
Hobos downloaded? ,,Old Hobo:,1,New Hobo:,1,Tennis Balls,1,Photo
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"N21, E7, S3, W14",B4SW-,"N29, E20, S2, W12",D2SW-,"N22, E20, S2, W7",,D4SW-,"N20, E14, S2, W13"
C3SW(center)- ,"N77, E28, S4, W9",,,,,,,
Enviromental Notes: ,,COUNTS OPEN,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,10,0,5,50,35,100,
A2,0,15,0,15,45,25,100,
A3,0,5,1,10,55,29,100,
A4,0,10,0,15,30,45,100,
B1,0,10,1,15,44,30,100,
B2,0,0,0,3,60,37,100,
B3,0,5,0,7,43,45,100,
B4,0,5,0,10,45,40,100,
C1,0,15,0,20,35,30,100,
C2,0,2,0,4,65,29,100,
C3,0,0,0,2,68,30,100,
C4,0,5,0,15,45,35,100,
D1,0,13,2,20,30,35,100,
D2,0,5,0,5,70,20,100,
D3,0,2,0,5,68,25,100,
D4,0,2,0,8,55,35,100,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
