Plot ID,   PPW1303,Date,20190725,,Samplers,"MO, TT, MK",,
Notes,,,,,,,,
Hobos downloaded? ,,Old Hobo:,0,New Hobo:,0,Tennis Balls,,Photo
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Soil Depth (cm),,,,,,,,
B2SW-,"S25, E89, N27, W15",B4SW-,"S26, E47, N29, W27",D2SW-,"S88, E25, N32, W34",,D4SW-,"S25, W21, N28, E2"
C3SW(center)- ,"S7, W5, N25, E7",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1,0,10,0,0,45,45,100,
A2,0,5,0,0,45,50,100,
A3,0,1,2,0,60,37,100,
A4,0,5,0,1,45,49,100,
B1,0,3,0,2,30,65,100,
B2,0,5,0,0,40,55,100,
B3,0,20,0,0,55,25,100,
B4,0,15,0,0,50,35,100,
C1,0,5,0,1,44,50,100,
C2,0,0,0,0,85,15,100,
C3,0,10,0,0,35,45,90,
C4,0,10,12,2,50,26,100,
D1,0,0,2,0,78,20,100,
D2,0,0,0,0,85,15,100,
D3,0,2,2,0,66,30,100,
D4,0,10,2,8,15,65,100,
