Plot ID,   PPW1301,,,,Sampler(s),"MO, MK, MF",,,Date ,20190703
Notes,"A4,C4 NONE",,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D4,ARCMAN,1,,0,,0,,,,
D3,QUEGAR,0,,3,,0,,,,
D2,QUEGAR,1,,6,,0,,,,
D2,QUEDOU,0,,2,,0,,,,
D1,QUEDOU,1,,0,,0,,,,
D1,QUEGAR,0,,2,,0,,,,
C1,QUEGAR,0,,4,,0,,,,
C1,ARCMAN,0,,4,,0,,,,
C2,QUEGAR,0,,6,,0,,,,
C2,ARCMAN,0,,2,,0,,,,
C3,ARCMAN,0,,1,,0,,,,
B4,QUEGAR,0,,2,,0,,,,
B3,QUEGAR,1,,0,,0,,,,
A3,AESCAL,0,,2,,0,,,,
A3,QUEGAR,0,,1,,0,,,,
A2,AESCAL,0,,2,,0,,,,
A2,ARCMAN,1,,6,,0,,,,
B2,ARCMAN,0,,1,,0,,,,
B2,QUEGAR,1,,1,,0,,,,
B1,BACPIL,0,,1,,0,,,,
B1,ARCMAN,0,,2,,0,,,,
A1,ARCMAN,0,,2,,0,,,,
