Plot ID,   PPW1312,,,,Sampler(s),"MK, TT, MO, GH",,,Date ,20190611
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,UMBCAL,,,5,,,,,,
A1,QUEGAGRI,,,5,,,,,,
A2,UMBCAL,,,,,,,,,
A2,QUEAGRI,,,,,,,,,
A2,FRALAT,,,,,,,,,
A2,QUEKEL,,,,,,,,,
D4,HETARB,3,,1,,,,,,
D4,UMBCAL,1,,8,,,,,,
D4,QUEKEL,,,4,,,,,,
D4,QUEAGRI,,,1,,,,,,
D4,FRALAT,35,,,,,,,,
D3,UMBCAL,,,16,,,,,,
D3,FRALAT,37,,,,,,,,
D3,QUEAGRI,,,1,,,,,,
D3,QUEKEL,,,1,,,,,,
B1,QUEAGRI,1,,8,,,,,,
B1,UMBCAL,,,8,,,,,,
B1,FRALAX,3,,,,,,,,
B1,QUEKEL,1,,1,,,,,,
B1,ARBMEN,2,,,,,,,,
C4,UMBCAL,1,,10,,,,,,
C4,QUEAGRI,,,6,,,,,,
C4,QUEKEL,,,4,,,,,,
C4,FRALAX,75,,2,,,,,,
C4,HETARB,1,,2,,,,,,
B1,HETARB,,,2,,,,,,
C3,FRALAC,60,,,,,,,,
C3,HETARB,17,,,,,,,,
C3,QUEAGRI,,,5,,,,,,
C3,UMBCAL,,,7,,,,,,
B2,UMBCAL,,,11,,,,,,
B2,QUEAGRI,,,12,,,,,,
B2,FRALAT,39,,3,,,,,,
B2,QUEKEL,,,4,,,,,,
B2,HETARB,15,,1,,,,,,
B2,ARBMEN,,,1,,,,,,
C2,FRALAT,30,,1,,,,,,
C2,HETARB,30,,1,,,,,,
C2,UMBCAL,,,3,,,,,,
C2,QUEAGRI,,,4,,,,,,
C2,HETARB,,,5,,,,,,
C2,QUEKEL,,,1,,,,,,
D2,UMBCAL,,,15,,,,,,
D2,FRALAT,12,,,,,,,,
D2,QUEAGRI,1,,8,,,,,,
D2,QUEKEL,,,4,,,,,,
D2,HETARB,,,1,,,,,,
D1,FRALAT,1,,,,,,,,
D1,QUEAGRI,,,8,,,,,,
D1,UMBCAL,,,7,,,,,,
D1,QUEKEL,,,8,,,,,,
D1,HETARB,2,,,,,,,,
C1,FRALAT,5,,1,,,,,,
C1,UMBCAL,,,13,,,,,,
C1,QUEAGRI,,,11,,,,,,
C1,QUEKEL,,,2,,,,,,
C1,HETARB,1,,,,,,,,
A2,HETARB,,,1,,,,,,
A2,PSEMEN,,,1,,,,,,
A3,QUEAGRI,6,,39,,,,,,
A3,FRALAT,10,,2,,,,,,
A3,UMBCAL,,,6,,,,,,
A3,HETARB,8,,11,,,,,,
A3,QUEKEL,,,1,,,,,,
A4,QUEAGRI,1,,17,,,,,,
A4,HETARB,2,,1,,,,,,
A4,FRALAT,21,,,,,,,,
A4,QUEKEL,,,3,,,,,,
A4,UMBCAL,,,3,,,,,,
B4,QUEAGRI,1,,21,,,,,,
B4,HETARB,5,,5,,,,,,
B4,FRALAT,40,,14,,2,,,,
B4,PSEMEN,,,1,,,,,,
B4,UMBCAL,,,4,,,,,,
B4,QUEKEL,,,1,,,,,,
A3,HETARB,4,,3,,,,,,
A3,QUEAGRI,,,14,,,,,,
A3,FRALAT,19,,12,,2,,,,
A3,UMBCAL,1,,4,,,,,,
A3,ARBMEN,,,1,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
