Plot ID,   PPW1314,,,,Sampler(s),"MO, MF, GH",,,Date ,20190614/ 20190617
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
C1,QUEDOU,4,,18,,,,,,
C1,UMBCAL,,,1,,,,,,
C1,FRALAT,9,,,,,,,,
C1,QUEAGRI,,,1,,,,,,
C1,ARCMAN,9,,,,,,,,
D1,QUEDOU,,,40,,,,,,
D1,UMBCAL,,,1,,,,,,
D1,FRALAT,27,,,,,,,,
D1,QUEDOU,,,12,,,,,,
D1,ARCMAN,6,,3,,,,,,
D3,ARCMAN,15,,,,,,,,
D3,UMBCAL,1,,4,,,,,,
D3,QUEDOU,6,,8,,,,,,
D3,QUEAGRI,3,,1,,,,,,
D2,ARCMAN,35,,,,,,,,
D2,QUEDOU,2,,40,,,,,,
D2,FRALAT,4,,,,,,,,
D2,QUEDOU,,,11,,,,,,
A4,QUEDOU,3,,3,,,,,,
A3,QUEDOU,,,4,,,,,,
A3,ARCMAN,13,,51,,1,,,,
A2,UMBCAL,,,1,,,,,,
A2,ARCMAN,,,2,,,,,,
A2,BACPIL,,,1,,,,,,
A2,QUEDOU,,,3,,,,,,
A1,UMBCAL,,,1,,,,,,
A1,BACPIL,1,,17,,,,,,
A1,FRALAT,2,,,,,,,,
A1,QUEDOU,,,1,,,,,,
B1,UMBCAL,1,,,,,,,,
B1,ARCMAN,,,1,,,,,,
B1,QUEDOU,,,8,,,,,,
B1,BACPIL,1,,9,,,,,,
B1,FRALAT,3,,,,,,,,
B1,ARBMEN,2,,,,,,,,
B4,QUEGAR,2,,4,,,,,,
B4,QUEDOU,7,,5,,,,,,
B4,QUEAGRI,1,,,,,,,,
B3,QUEDOU,3,,4,,,,,,
B3,UMBCAL,,,1,,,,,,
B3,ARCMAN,20,,1,,,,,,
B3,BACPIL,1,,,,,,,,
B3,FRALAT,1,,,,,,,,
B3,QUEGAR,,,1,,,,,,
B2,ARCMAN,7,,,,,,,,
B2,QUEDOU,,,5,,,,,,
B2,QUEAGRI,,,1,,,,,,
C4,QUEDOU,13,,9,,,,,,
C4,ARCMAN,1,,,,,,,,
C4,QUEGAR,,,1,,,,,,
C3,ARCMAN,6,,,,,,,,
C3,QUEAGRI,1,,,,,,,,
C3,QUEDOU,,,2,,,,,,
C3,HETARB,1,,,,,,,,
C3,UMBCAL,,,1,,,,,,
C2,HETARB,1,,,,,,,,
C2,ARCMAN,10,,1,,,,,,
C2,QUEGAR,,,1,,,,,,
C2,QUEDOU,,,5,,,,,,
C2,FRALAT,2,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
