Plot ID,   PPW1853,,,,Sampler(s),"MK, MO, GH, TT",,,Date ,20190815
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,CEACUN,,,55,,,,,,
A1,CEATHY,,,1,,,,,,
B1,ARCMAN,,,1,,,,,,
B1,CEACUN,21,,358,,,"B1 CEACUN LISTED ON 3 LINES TO ACCOMODATE 358 COUNT, ALL COMBINED ON LINE 8 ",,,
C1,CEACUN,5,,238,,2,"C1 CEACUN LISTED ON 3 LINES TO ACCOMODATE 238 COUNT, ALL COMBINED ON LINE 9 ",,,
C1,BACPIL,,,3,,,,,,
C1,CEATHY,,,1,,,,,,
D1,CEACUN,6,,182,,,"D1 CEACUN LISTED ON 2 LINES TO ACCOMODATE 182 COUNT, ALL COMBINED ON LINE 12",,,
D1,UMBCAL,,,1,,,,,,
D1,BACPIL,,,4,,,,,,
D1,ARCMAN,,,2,,,,,,
A2,CEACUN,6,,122,,,,,,
A2,BACPIL,,,1,,,,,,
B2,CEACUN,14,,503,,,"B2 CEACUN LISTED ON 4 LINES TO ACCOMODATE 503 COUNT, ALL COMBINED ON LINE 18",,,
B2,BACPIL,,,1,,,,,,
B2,ARCMAN,,,9,,,AT LEAST 10 OVER 50CM CHOULD BE SA,,,
C2,CEACUN,,,298,,,"C2 CEACUN LISTED ON 3 LINES TO ACCOMODATE 298 COUNT, ALL COMBINED ON LINE 21",,,
D2,CEACUN,1,,79,,,,,,
D2,BACPIL,,,3,,,,,,
D3,CEACUN,,,12,,,,,,
C3,CEACUN,1,,48,,1,,,,
C3,BACPIL,,,2,,,,,,
B3,ARCMAN,,,1,,,,,,
B3,BACPIL,,,5,,,,,,
B3,CEACUN,2,,171,,,"B3 CEACUN LISTED TWICE ON ORIGINAL  TO ACCOMODATE 171 COUNT, ALL COMBINED ON LINE 39",,,
B3,CEATHY,,,2,,,,,,
A3,CEATHY,,,6,,,,,,
A3,ARCMAN,,,2,,,,,,
A3,CEACUN,2,,49,,,,,,
A3,BACPIL,,,3,,,,,,
A3,UMBCAL,,,1,,,WITH SOD,,,
A4,UMBCAL,,,1,,,,,,
A4,CEACUN,,,96,,,,,,
A4,BACPIL,,,4,,,,,,
B4,CEACUN,1,,18,,,,,,
C4,CEATHY,,,2,,,,,,
C4,CEACUN,3,,46,,,,,,
D4,CEACUN,,,54,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
