Plot ID,PPW1302,,Sampler(s),"GH, TT, MO",,,,,Date ,20190716,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
C4,TR,1032,,,PSEMEN,0,0,0,0,0,,,,7.2,,,,,
C4,SA,1025,,,QUEAGRI,1,0,,,,46,0.42,1,,,,,,BD OF BSPRT
C4,SA,1033,,,QUEAGRI,0,0,,,,,,,,,,1,,tag pulled
C4,SA,5989,,,QUEAGRI,1,0,,,,43.1,0.47,0,,,,,,BD OF BSPRT
C4,SA,5960,,,QUEAGRI,1,0,,,,38.5,0.39,0,,,,,,BD OF BSPRT
B4,SA,5987,,,QUEAGRI,1,0,,,,59.2,0.43,1,,,,,,BD OF BSPRT
A4,SA,1030,,,UMBCAL,1,0,,,,48.5,0.48,0,,,,,,
A4,TR,1071,,,QUEAGRI,1,1,1,1,3,,,,22.9,65.3,2,,,
A4,TR,1039,,,QUELOB,1,0,1,1,4,,,,42.6,,,,,
B3,TR,1061,,,PSEMEN,0,0,0,0,0,,,,7,,,,,BD OF BSPRT
B2,SA,5988,,,UMBCAL,1,0,,,,45.1,0.51,0,,,,,,
B2,TR,1094,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,was typo 1044
B2,TR,1082,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,"*NO TAG, XY CORRECT/ BD OF BSPRT"
B2,SA,5604,,,BACPIL,1,0,,,,56.2,0.39,6,,,,,,"BD OF BSPRT-  Using 9998 as placeholder until incorrect handmade tag 1067 is removed (this is a bay in 1305)-mkqc2022, REPLACED IN 2023MK"
B1,SA,1013,,,UMBCAL,1,0,,,,71.5,0.69,1,,,,,,BD OF BSPRT
B1,SA,1016,,,UMBCAL,1,0,,,,49.5,0.64,0,,,,,,
A1,TR,1027,,,UMBCAL,0,1,0,0,0,,,,,60.5,3,,,BD OF BSPRT
A1,SA,1028,,,UMBCAL,1,0,,,,97.6,1.09,3,,,,,,
A1,SA,1024,,,UMBCAL,0,0,,,,,,,,,,,,
A2,TR,1029,,,QUEAGRI,1,0,1,1,4,,,,69,,,,,
A2,TR,1029.1,,,QUEAGRI,1,0,1,1,4,,,,50.2,,,,,
A2,TR,1029.2,,,QUEAGRI,1,0,1,1,5,,,,66.1,,,,,
C3,TR,1097,,,QUEAGRI,1,0,1,1,5,,,,98.8,,,,,
C3,TR,1097.1,,,QUEAGRI,1,0,1,1,3,,,,19,,,,,
C3,SA,1023,,,QUEAGRI,0,0,,,,,,,,,,1,,
C3,SA,1031,,,QUEAGRI,1,0,,,,40.1,0.42,0,,,,,,
C3,SA,1026,,,UMBCAL,1,0,,,,54.9,0.65,5,,,,,,BD OF BSPRT
C2,SA,1019,,,UMBCAL,1,0,,,,70.6,0.74,3,,,,,,BD OF BSPRT
C1,TR,1096,,,QUEAGRI,1,0,1,1,4,,,,62.5,,,,,
C1,TR,1096.1,,,QUEAGRI,1,0,1,1,3,,,,39.3,,,,,
C1,TR,1096.2,,,QUEAGRI,1,0,1,1,4,,,,57.8,,,,,
C1,SA,1073,,,UMBCAL,0,0,,,,,,,,,,1,,
C1,SA,1081,,,UMBCAL,1,0,,,,46.2,0.65,0,,,,,,BD OF BSPRT
D1,TR,1044,,,UMBCAL,0,1,0,0,0,,,,NA,NA,0,,,
D1,TR,1044.1,,,UMBCAL,0,1,0,0,0,,,,NA,NA,0,,,
D1,TR,1044.2,,,UMBCAL,0,1,0,0,0,,,,NA,73.9,1,,,
D1,SA,5991,,,UMBCAL,1,0,,,,34.2,0.56,0,,,,,1,BD OF BSPRT
D1,SA,1043,,,UMBCAL,1,0,,,,85.4,1.09,6,,,,,,BD OF BSPRT
D1,SA,1041,,,QUEAGRI,1,0,,,,37.1,0.43,0,,,,,,
D1,SA,1042,,,QUEAGRI,1,0,,,,96,0.77,6,,,,,,
D1,SA,1045,,,UMBCAL,1,0,,,,46,0.81,0,,,,,,
D1,SA,5990,365,454,QUEAGRI,1,0,,,,60,0.52,1,,,,,,BD OF BSPRT
D2,SA,1037,,,UMBCAL,1,0,,,,58.1,0.61,1,,,,,,BD OF BSPRT
D2,SA,1036,,,QUEAGRI,1,0,,,,59.5,0.5,5,,,,,,BD OF BSPRT
D2,SA,1040,,,QUEAGRI,1,0,,,,64.6,0.7,7,,,,,,BD OF BSPRT
D2,SA,5992,,,QUEAGRI,1,0,,,,39.5,0.36,0,,,,,,BD OF BSPRT
D2,SA,5993,,,QUEAGRI,1,0,,,,91,0.87,2,,,,,,BD OF BSPRT
D2,SA,1038,,,QUEAGRI,1,0,,,,66.3,0.56,9,,,,,,BD OF BSPRT
D2,SA,5994,,,QUEAGRI,1,0,,,,76.1,0.63,4,,,,,,BD OF BSPRT
D3,SA,5995,,,QUEAGRI,0,0,,,,,,,,,,,,TAG NOT FOUND
D4,SA,5966,,,QUEAGRI,1,0,,,,38.9,0.51,0,,,,,,BD OF BSPRT
D4,SA,5968,,,QUEAGRI,1,0,,,,50,0.46,5,,,,,,BD OF BSPRT
D4,SA,5967,,,QUEAGRI,1,0,,,,42,0.39,0,,,,,,BD OF BSPRT
D4,SA,5965,,,QUEAGRI,1,0,,,,48.1,0.55,0,,,,,,BD OF BSPRT
D4,SA,5964,,,QUEAGRI,1,0,,,,29.2,0.42,0,,,,,,BD OF BSPRT
D4,SA,5963,,,QUEAGRI,1,0,,,,60.5,0.56,0,,,,,,BD OF BSPRT
D4,SA,5962,,,QUEAGRI,1,0,,,,42.1,0.33,0,,,,,,BD OF BSPRT
D4,SA,5961,,,QUEAGRI,1,0,,,,43.9,43.9,0,,,,,,BD OF BSPRT
D4,SA,5997,285,265,QUEAGRI,1,0,,,,32.3,32.3,0,,,,,,BD OF BSPRT
D4,SA,5998,365,345,QUEAGRI,1,0,,,,27.6,27.6,0,,,,,,BD OF BSPRT
D4,SA,5969,,,QUEAGRI,0,0,,,,,,,,,,,,not found- but alive in 2020-mkadded qc2023
D4,SA,5999,,,QUEAGRI,0,0,,,,,,,,,,,,not found- but alive in 2020-mkadded qc2023
D4,SA,5996,,,QUEAGRI,0,0,,,,,,,,,,,,not found- but alive in 2020-mkadded qc2023
