Plot ID,1303,,Sampler(s),"MO, TT, MK",,,,,Date ,20190725,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D4,SA,4047,,,QUEAGR,0,1,,,,,0.45,0,,49.9,,0,,BD BSPROUT
D4,SA,5831,,,QUEAGR,0,1,,,,,0.38,0,,37.1,,0,,BD BSPROUT
D4,SA,4048,,,QUEAGR,0,1,,,,,0.32,0,,37.1,,0,,"BD BSPROUT, 4048 IN 2018 DB"
D4,SA,5864,,,UMBCAL,0,1,,,,,0.19,0,,25.8,,0,0,BD BSPROUT
C4,TR,4046,,,QUEAGR,1,1,1,1,4,,,,63.7,65.7,1,0,,
C4,SA,4045,,,PSEMEN,0,0,,,,,,,,,,0,,NOT FOUND
A4,TR,4041,,,QUEDOU,1,1,1,1,4,,,,25.4,59.1,3,0,,
A2,TR,4040,,,QUEDOU,1,0,1,1,2,,,,37.5,,,0,,CHANGE SP. IN 2018 DB
B2,SA,5863,,,QUEAGR,0,1,,,,,0.26,,,32.7,,0,,
B3,SA,5834,,,QUEAGR,1,0,,,,54.1,0.42,7,,,,0,,BD BSPROUT
C3,SA,4044,,,QUEAGR,0,1,,,,,0.22,,,34,,0,,BD BSPROUT
C2,SA,4043,,,QUEAGR,1,0,,,,65.5,0.38,5,,,,0,,
D1,SA,5832,,,QUEDOU,0,1,,,,,0.54,,,40.9,,0,,CHANGE IN 2018 DB 
D2,SA,4049,,,QUEAGR,1,0,,,,86.6,0.89,12,,,,0,,
A4,SA,5833,,,QUEAGR,0,1,,,,,0.31,,,25.5,,0,,
A4,SA,4042,,,QUEDOU,0,0,,,,,,,,,,0,,"SNAPPED OFF, TAG LEFT"
