Plot ID,1306,,Sampler(s),"MO, MK, MF",,,,,Date ,20190708,,,,,,,,,
Notes,"ROB TAGS 1217=135, 1218=134, 1219=132, 1220=124/  NO LIST FOR D",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,SA,1201,,,PSEMEN,0,0,,,,,,,,,,1,,
A2,SA,5802,,,UMBCAL,0,1,,,,,0.84,0,,35,,,,"RESPROUT BD, {NBBLED}?"
A2,TR,1204,,,ARBMEN,1,1,1,1,2,,,,46.8,270,18,,,
A2,TR,1204.1,,,ARBMEN,1,1,1,1,2,,,,28.4,250,19,,,2104.1 IN 18
A2,TR,1204.2,,,ARBMEN,0,1,0,0,0,,,,,149.8,5,,,
A2,SA,1202,,,PSEMEN,0,0,,,,,,,,,,1,,
A2,SA,1203,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
A3,SA,1205,,,PSEMEN,0,0,,,,,,,,,,,,CONFIRMED PSEMEN
A3,TR,1206,,,QUEKEL,1,1,1,1,3,,,,30.8,71.6,15,,,198- ROB'S TAG
A4,SA,1207,,,PSEMEN,0,0,,,,,,,,,,,,CONFIRMED PSEMEN
B4,SA,1210,,,PSEMEN,0,0,,,,,,,,,,1,,
B4,SA,1208,,,PSEMEN,0,0,,,,,,,,,,,,NOT FOUND
B4,SA,1209,,,UMBCAL,0,0,,,,,,,,,,1,,
D4,TR,1217,,,QUEKEL,0,1,0,0,0,,,,20.7,NA,0,,,"NOT ON LIST, 135"
D4,TR,1218,,,QUEKEL,0,1,0,0,0,,,,20.2,NA,0,,,BARK EFFECTS DBH
D4,TR,1219,,,QUEKEL,1,0,1,1,3,,,,40,,,,,NOT ON LIST/ CHANGED FROM QUEGAR?
D1,TR,1220,,,QUEKEL,0,1,0,0,0,,,,26.8,,,,,NOT ON LIST
D1,SA,6464,200,30,UMBCAL,1,0,,,,50.8,0.71,5,,,,,,"OG BD 2.6 @ 4CM...NEW SA, OG DEAD"
B1,TR,1214,,,QUEKEL,0,1,0,0,0,,,,NA,50.1,1,,,ROB TAG=119
B1,TR,1215,,,QUEKEL,0,1,0,0,0,,,,40.2,60.2,3,,,"BARK EFFECTS DBH, ROB TAG=1"
B2,SA,5803,,,UMBCAL,1,0,,,,54,0.53,1,,,,,,RESPROUT BD
B2,SA,5805,499,30,UMBCAL,1,0,,,,50.1,0.98,3,,,,,,"NOT ON LIST, RESPROUT BD"
C3,TR,1216,,,QUEKEL,0,1,0,0,0,,,,NA,,0,,,
B3,SA,1212,,,UMBCAL,1,0,,,,64,1.25,7,,,,,,RESPROUT BD
B3,TR,1211,,,UMBCAL,0,1,0,0,0,,,,,66.6,4,,,
