Plot ID,1312,,Sampler(s),"MK, MO, TT, GH, MF",,,,,Date ,"20190611, 20190612",,,,,,,,,
Notes,CHECK IF ANY BSPROUTS UNDER 50 W/0 OG DEAD- SHOULD PROBABLY MOVE TO STEM #/ * DENOTES LINE NOTATION IN NOTE SECTION OF ORIGINAL DATA SHEET,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,SA,1292,,,UMBCAL,1,0,,,,141.1,1.64,0,,,,,1,
A1,SA,1291,,,AESCAL,1,0,,,,107.8,1.09,0,,,,,,
A1,TR,1293,,,UMBCAL,1,0,0,1,4,,,,2,,,,1,
A1,SA,1288,,,PSEMEN,1,0,,,,175.5,1.48,0,,,,,,
A1,SA,6361,460,130,UMBCAL,1,0,,,,78.8,0.57,3,,,,,1,NEW SA
A1,TR,1287,,,QUEAGRI,1,0,1,1,3,,,,5.4,139,1,,,
A1,TR,1290,,,AESCAL,1,1,0,1,5,,,,1,,,,,
A1,SA,5555,,,UMBCAL,1,0,,,,74.4,0.67,1,,,,,,*
A1,SA,6360,240,50,UMBCAL,1,0,,,,63.1,0.53,0,,,,,1,
A1,SA,1295,,,UMBCAL,1,0,,,,91.5,1.63,0,,,,,1,
A1,TR,1294,,,UMBCAL,1,0,0,1,4,,,,1.6,,,,,*
A1,TR,1278,,,UMBCAL,1,0,0,1,4,,,,1.4,,,,1,
A1,TR,1279,,,UMBCAL,1,0,1,1,4,,,,1.2,,,,1,
A1,SA,1280,,,UMBCAL,1,0,,,,175.3,1.3,3,,,,,,*
A1,TR,1275,,,HETARB,1,0,0,1,5,,,,1.3,143.2,2,,,WILL BE .2 and .3 eventually
A1,TR,1275.1,,,HETARB,1,1,0,1,5,,,,1.5,,,,,NEW .1 ADDED
A1,TR,1274,,,UMBCAL,1,0,1,1,4,,,,2.2,,,,1,
A1,SA,1283,,,UMBCAL,1,0,,,,169.4,0.94,0,,,,,1,
A1,SA,5561,,,UMBCAL,1,0,,,,119.6,0.86,0,,,,,1,
A1,TR,1289,,,UMBCAL,1,0,0,1,4,,,,2.6,,,,,*
A1,TR,1286,,,UMBCAL,1,0,1,1,4,,,,1.8,,,,1,
A1,TR,1333,,,UMBCAL,1,0,1,1,3,,,,1,,,,1,
A1,SA,5559,,,UMBCAL,1,0,,,,87.9,0.78,0,,,,,1,
