Plot ID,PPW1321,,Sampler(s),"MO, GH",,,,,Date ,20190717,,,,,,,,,
Notes,deleted a dup 2472 umbcal ( wrong sp- with no data) nobody missing from 2018/2020,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,SA,2350,,,UMBCAL,1,0,,,,111.3,1.3,2,,,,,,BD OF BSPRT
A1,SA,5957,,,UMBCAL,1,0,,,,44,0.6,0,,,,,,BD OF BSPRT
A1,SA,2353,,,CERBET,1,0,,,,57.4,0.49,5,,,,,,BD OF BSPRT
A1,SA,5850,,,FRACAL,1,0,,,,69.3,0.4,3,,,,,,BD OF BSPRT
B1,TR,2403,,,QUEGAR,1,0,1,1,4,,,,26.6,,,,,
B1,SA,5855,,,UMBCAL,1,0,,,,78.3,0.62,2,,,,,,BD OF BSPRT
C1,SA,2406,,,UMBCAL,1,0,,,,75.6,1.14,4,,,,,1,BD OF BSPRT
B1,SA,5857,,,UMBCAL,0,1,,,,NA,0.5,0,,37.2,,,,BD OF BSPRT
B1,SA,2404,,,FRACAL,0,0,,,,NA,NA,NA,,,,1,,GONE
B1,SA,5856,,,FRACAL,0,1,,,,NA,0.51,0,,36.8,,,,BD OF BSPRT
B1,SA,6437,300,400,FRACAL,1,0,,,,62.6,0.44,0,,,,,,
C1,TR,2405,,,QUEGAR,1,1,1,1,5,,,,30.5,70.5,1,,,
C1,TR,2407,,,QUEGAR,1,0,0,1,5,,,,30.9,,,,,
C2,SA,5978,,,UMBCAL,1,0,,,,65.8,0.74,2,,,,,,BD OF BSPRT
C1,SA,2408,,,FRACAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
C1,SA,6438,175,237,FRACAL,1,0,,,,51,0.41,4,,,,,,
C1,SA,6439,132,462,FRACAL,1,0,,,,66.2,0.4,2,,,,,,
D1,SA,2476,,,UMBCAL,1,0,,,,57.1,0.73,2,,,,,,BD OF BSPRT
D1,TR,2475,,,QUEKEL,1,0,1,1,2,,,,15.2,,,,,
D1,SA,2474,,,UMBCAL,1,0,,,,74,0.6,0,,,,,,BD OF BSPRT
D1,SA,5945,,,UMBCAL,1,0,,,,51.1,0.56,1,,,,,,BD OF BSPRT
D1,SA,2477,,,FRACAL,0,1,,,,NA,0.28,0,,30.6,,,,
D1,SA,2483,,,FRACAL,0,0,,,,NA,NA,NA,,,,,,TAG NOT FOUND
D1,SA,2482,,,AMOCAL,1,0,,,,102.5,0.82,20,,,,,,BD OF BSPRT
D1,SA,2481,,,AMOCAL,1,0,,,,119.9,0.88,19,,,,,,BD OF BSPRT
D1,SA,2480,,,AMOCAL,1,0,,,,94.5,0.74,8,,,,,,BD OF BSPRT
A2,TR,2356,,,QUEGAR,1,1,1,1,5,,,,26.6,62.7,1,,,
A2,SA,2358,,,UMBCAL,1,0,,,,103.7,0.92,2,,,,,,
A3,SA,2359,,,UMBCAL,1,0,,,,96.2,0.97,6,,,,,,BD OF BSPRT
A3,SA,2365,,,ARBMEN,1,0,,,,48.2,0.6,2,,,,,,BD OF BSPRT
A2,SA,2354,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
A2,TR,2357,,,QUEGAR,0,1,0,0,0,,,,,59.1,1,,,BURNED DOWN/ STUMP/*
A2,SA,5851,,,UMBCAL,1,0,,,,75.4,0.57,2,,,,,,BD OF BSPRT
B2,SA,5858,,,FRACAL,1,0,,,,79.4,0.7,5,,,,,,
B2,SA,2401,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
B2,SA,2402,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,
C2,TR,2418,,,QUEGAR,1,0,1,1,4,,,,26.1,,,,,
C2,SA,2415,,,UMBCAL,1,0,,,,92.3,0.9,2,,,,,,BD OF BSPRT
C2,SA,2416,,,UMBCAL,1,0,,,,86,1,8,,,,,,BD OF BSPRT
C2,SA,2417,,,UMBCAL,1,0,,,,85.7,1.02,6,,,,,,BD OF BSPRT
C2,SA,5976,,,UMBCAL,1,0,,,,60.6,0.9,0,,,,,,BD OF BSPRT
C2,SA,5977,,,UMBCAL,1,0,,,,64.4,0.81,2,,,,,,BD OF BSPRT
C2,SA,2412,,,UMBCAL,1,0,,,,63.6,0.56,2,,,,,,BD OF BSPRT
C2,SA,2411,,,FRACAL,1,0,,,,73.2,0.63,3,,,,,,BD OF BSPRT
C2,SA,2410,,,UMBCAL,1,0,,,,122.8,0.97,3,,,,,,BD OF BSPRT
C2,SA,2413,,,UMBCAL,1,0,,,,94.9,1.11,4,,,,,,BD OF BSPRT
D2,TR,2462,,,QUEKEL,1,0,1,1,2,,,,16.6,,,,,
D2,SA,2461,,,AMOCAL,1,0,,,,117.3,1.01,24,,,,,,BD OF BSPRT
D2,SA,2455,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
D2,TR,2450,,,UMBCAL,0,1,0,0,0,,,,NA,81.1,11,,,
D2,SA,2449,,,UMBCAL,1,0,,,,86.6,0.8,3,,,,,,BD OF BSPRT
D2,TR,2448,,,QUEKEL,0,1,0,0,0,,,,NA,118.8,4,,,TREE FELL
D2,SA,5948,,,UMBCAL,1,0,,,,66.4,0.63,1,,,,,,BD OF BSPRT
D2,SA,5949,,,AMOCAL,1,0,,,,84.5,0.84,6,,,,,,BD OF BSPRT
D2,SA,2470,,,AMOCAL,1,0,,,,96.6,0.71,22,,,,,,BD OF BSPRT
D2,SA,2479,,,UMBCAL,0,1,,,,84.5,0.52,NA,,49.2,,,,BD OF BSPRT
D2,SA,2468,,,AMOCAL,1,0,,,,110.3,0.78,22,,,,,,BD OF BSPRT
D2,TR,2463,,,UMBCAL,0,1,0,0,0,,,,NA,138.8,3,,,
D2,SA,2467,,,AMOCAL,0,1,,,,NA,0.69,NA,,96.7,2,,,BD OF BSPRT/  OG DEAD
D2,SA,2473,,,AMOCAL,1,0,,,,100.7,0.66,18,,,,,,BD OF BSPRT
D2,SA,2471,,,UMBCAL,1,0,,,,97.4,0.73,0,,,,,,BD OF BSPRT
D2,SA,2458,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,
D2,SA,2478,,,AMOCAL,1,0,,,,97.8,0.67,3,,,,,,BD OF BSPRT
D2,SA,2459,,,AMOCAL,1,0,,,,119.5,0.78,17,,,,,,BD OF BSPRT
D2,SA,2465,,,UMBCAL,0,1,,,,NA,0.35,0,,34.8,,,,BD OF BSPRT
D2,SA,2460,,,AMOCAL,1,0,,,,99,0.78,12,,,,,,BD OF BSPRT
D2,TR,2457,,,AMOCAL,0,1,0,0,0,,,,NA,147.3,19,,,
D2,SA,5947,212,280,UMBCAL,1,0,,,,62.2,0.58,1,,,,,,BD OF BSPRT
D2,SA,2444,,,AMOCAL,1,0,,,,135.9,1.08,19,,,,,,BD OF BSPRT
