Plot ID,1322,,Sampler(s),"MO, GH, TT",,,,,Date ,20190716,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,2453,,,QUEDOU,1,0,1,1,4,,,,41.4,,,,,
A1,TR,2487,,,QUEDOU,1,0,1,1,3,,,,19.8,,,,,
A1,SA,2488,,,QUEAGRI,0,0,,,,NA,NA,NA,,,,1,,DEAD
A2,SA,5895,,,QUEDOU,1,0,,,,56.7,0.39,2,,,,,,
A3,TR,2489,,,QUEDOU,1,0,1,1,4,,,,40.9,,,,,
B4,TR,2000,,,QUEDOU,1,0,1,1,4,,,,31.7,,,,,TOXDIV IN DBH
B3,TR,2490,,,QUEDOU,1,0,1,1,4,,,,33.2,,,,,
B2,TR,2491,,,QUEDOU,1,0,1,1,4,,,,34.9,,,,,
B2,TR,2492,,,QUEAGRI,1,0,1,1,4,,,,43.4,,,,,was quedou- changed to match other yrs -mkqc2022
B2,TR,2493,,,QUEDOU,1,0,1,1,4,,,,28.2,,,,,
B1,TR,2494,,,QUEDOU,1,0,1,1,3,,,,27.7,,,,,
B1,TR,2496,,,QUEDOU,1,0,1,1,3,,,,28.8,,,,,
B1,TR,2495,,,BACPIL,0,1,0,0,0,,,,NA,201.6,73,1,,
B1,TR,2495.1,,,BACPIL,0,0,0,0,0,,,,NA,,,1,,DEAD
B1,TR,2495.2,,,BACPIL,0,0,0,0,0,,,,NA,,,1,,DEAD
B1,TR,2495.3,,,BACPIL,0,0,0,0,0,,,,NA,,,1,,DEAD
B1,TR,2495.4,,,BACPIL,0,0,0,0,0,,,,NA,,,1,,DEAD
B1,TR,2495.5,,,BACPIL,0,0,0,0,0,,,,NA,,,1,,DEAD
B1,TR,2495.6,,,BACPIL,0,0,0,0,0,,,,NA,,,1,,DEAD
B1,TR,2495.7,,,BACPIL,0,0,0,0,0,,,,NA,,,1,,DEAD
B1,TR,2495.8,,,BACPIL,0,0,0,0,0,,,,NA,,,1,,DEAD
B1,TS,2495.9,,,BACPIL,0,0,0,0,0,,,,NA,,,1,,DEAD
C2,TR,2497,,,QUEDOU,1,0,1,1,3,,,,36.8,,,,,
C2,TR,2497.1,,,QUEDOU,1,0,1,1,3,,,,32,,,,,
D3,SA,2502,,,QUEAGRI,1,0,,,,67.1,0.52,12,,,,,,BDBSPT
D4,SA,5897,,,QUEAGRI,1,0,,,,55.3,0.44,5,,,,,,BDBSPT
D3,TR,2505,,,QUEDOU,1,0,1,1,4,,,,35.6,,,,,TOXDIV IN DBH
D3,SA,2506,,,QUEGARI,1,0,,,,77.4,0.69,4,,,,,,
D3,SA,2503,,,QUEAGRI,1,0,,,,79.3,0.9,8,,,,,,BDBSPT
D3,SA,2504,,,QUEAGRI,1,0,,,,69.2,0.6,1,,,,,,BDBSPT
D3,SA,5896,,,QUEAGRI,0,1,,,,NA,0.34,0,,49.2,,,,BDBSPT
D2,SA,2507,,,ARBMEN,1,0,,,,94,0.77,10,,,,,,BDBSPT
C2,SA,6436,90,499,QUEDOU,1,0,,,,62.2,0.55,3,,,,,,NEW SA
