Plot ID,1325,,Sampler(s),"MO, MF",,,,,Date ,20190703,,,,,,,,,
Notes,TP= TAG PULLED,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,3940,,,QUEDO,1,0,1,1,3,,,,52,,,,,DBH NOT AT BH
A1,TR,3941,,,QUEDO,1,0,1,1,3,,,,25,,,,,
A2,TR,3942,,,QUEGARI,1,0,0,1,4,,,,27.2,,,,,
A2,TR,3942.1,,,QUEGARI,1,0,0,1,4,,,,21.3,,,,,
A2,TR,3943,,,QUEDOU,1,0,0,1,4,,,,10.5,,,,,
A2,TR,3950,,,ARCMAN,0,0,0,0,0,,,,NA,,,1,,DEAD ON GROUND
A3,TR,3951,,,ARCMAN,0,0,0,0,0,,,,14.3,,,,,
A3,TR,3951.1,,,ARCMAN,1,0,0,1,2,,,,13.2,,,,,
A4,TR,3952,,,QUEDOU,1,0,1,1,4,,,,27.6,,,,,
A4,TR,3952.1,,,QUEDOU,1,0,1,1,4,,,,28.6,,,,,
A4,TR,4001,,,QUEDOU,1,0,1,1,3,,,,19.9,,,,,
B4,TR,4002,,,QUEGAR,1,1,1,1,4,,,,20.2,NA,0,,,
B3,TR,4003,,,ARCMAN,1,0,0,1,2,,,,16.3,,,,,
B3,TR,4003.1,,,ARCMAN,1,0,0,1,3,,,,12.8,,,,,
B3,TR,4004,,,ARCMAN,0,0,0,0,0,,,,NA,,,,,DEAD ON GROUND
B3,TR,4005,,,ARCMAN,0,0,0,0,0,,,,NA,,,,,DEAD ON GROUND
C2,TR,4008,,,QUEDOU,1,0,1,1,4,,,,42.8,,,,,
B2,TR,4006,,,QUEDOU,1,0,1,1,3,,,,17.9,,,,,EPI IN DBH
C2,TR,4007,,,QUEDOU,1,0,1,1,3,,,,28.2,,,,,
C2,TR,4009,,,QUEGAR,1,1,1,1,4,,,,16.2,NA,0,,,
C2,TR,4009.1,,,QUEGAR,1,0,1,1,3,,,,11.9,,,,,
D2,TR,4012,,,QUEDOU,1,0,1,1,3,,,,29.2,,,,,
D1,TR,4013,,,QUEDOU,1,0,0,1,4,,,,22,,,,,
D1,TR,4014,,,QUEGAR,1,0,1,1,4,,,,35.3,,,,,
D3,TR,4011,,,QUEDOU,1,0,1,1,3,,,,24.7,,,,,
C4,TR,4010,,,QUEDOU,1,0,1,1,4,,,,41.2,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
