Plot ID,PPW1327,,Sampler(s),"MO, MK, TT, CVH",,,,,Date ,20190806,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,4347,,,PSEMEN,1,0,0,1,4,,,,14.4,,,,,
A1,TR,4352,,,PSEMEN,1,0,0,1,4,,,,4.2,,,,,
A1,TR,4357,,,PSEMEN,1,0,0,1,4,,,,4.6,,,,,
A1,TR,4358,,,PSEMEN,1,0,0,1,4,,,,2.4,,,,,
A1,TR,4359,,,PSEMEN,1,0,0,1,4,,,,6.2,,,,,
A1,TR,4356,,,PSEMEN,1,0,0,1,4,,,,3.5,,,,,
A1,TR,4363,,,PSEMEN,1,0,0,1,4,,,,4.2,,,,,
A1,TR,4354,,,QUEAGRI,1,0,1,1,4,,,,81,,,,,was typo quegar- mkqc2022
A1,TR,4354.1,,,QUEGAR,1,0,1,1,4,,,,63.2,,,,,
A1,SA,4361,,,HETARB,1,0,,,,185.8,1.12,8,,,,,,
A1,SA,4362,,,HETARB,1,0,,,,158.6,1.28,16,,,,,,
A1,SA,4351,,,HETARB,1,0,,,,167.1,1.15,3,,,,,,
A1,SA,4360,,,QUEBERGAR,1,0,,,,70.9,0.39,2,,,,,,
A1,SA,4348,,,HETARB,1,0,,,,162.1,1.33,5,,,,,,
A1,TR,4350,,,HETARB,0,1,0,0,0,,,,,72.6,2,,,
A1,TR,4350.1,,,HETARB,0,1,,,,,,5,4.1,,,,,
A1,TR,4350.2,,,HETARB,0,0,0,0,0,,,,,,,,,
A1,TS,4350.3,,,HETARB,0,0,,,,,,,,,,,,
A1,SA,4353,,,HETARB,1,0,,,,108.4,0.47,3,,,,,,
A1,TR,6129,,,PSEMEN,1,0,0,1,4,,,,17.9,,,,,
B1,TR,4411,,,PSEMEN,1,0,0,1,4,,,,8.5,,,,,
B1,TR,4412,,,PSEMEN,1,0,0,1,4,,,,11.9,,,,,
B1,TR,4413,,,HETARB,1,1,0,1,5,,,,1.56,83.3,7,,,
B1,TS,4413.1,,,HETARB,1,0,,,,175.1,1.69,1,,,,,,
B1,TR,4414,,,PSEMEN,1,0,0,1,4,,,,50.4,,,,,
C1,SA,4415,,,HETARB,1,0,,,,34,0.64,3,,,,,,
C1,SA,6130,,,HETARB,1,0,,,,60.3,0.41,0,,,,,,
C1,TR,4416,,,SEMEN,1,0,0,1,4,,,,14.6,,,,,
C1,TR,4417,,,ARBMEN,1,0,0,1,4,,,,24.7,,,,,was typo 4917 - mkqc2022
D1,SA,4418,,,QUEBER,1,0,,,,58.5,0.69,3,,,,,,changed from bergar to match other years-mkqc2022
D1,SA,4480,,,ADEFAS,1,0,,,,108.6,0.48,2,,,,,,
D1,SA,4495,,,RHACRO,1,0,,,,179.8,1,6,,,,,,
D1,TR,4499,,,ADEFAS,1,0,0,1,2,,,,3.7,,,,,
D1,SA,4494,,,QUEBER,1,0,,,,150.5,1.38,2,,,,,,changed from bergar to match other years 
D1,SA,4491,,,BACPIL,0,0,,,,,,,,,,1,,
D1,TR,4487,,,PSEMEN,1,0,1,1,5,,,,3.2,,,,,
D1,SA,4489,,,PSEMEN,1,0,,,,151.5,1.44,0,,,,,,
D1,SA,4490,,,PSEMEN,1,0,,,,123.2,1.05,0,,,,,,
D1,SA,6150,,,RHACRO,1,0,,,,77.6,0.52,1,,,,,,
D1,SA,4481,,,SEMEN,1,0,,,,70.2,0.78,0,,,,,,
D1,SA,6837,,,RHACRO,1,0,,,,91.6,0.52,0,,,,,,
D1,TR,4496,128,120,QUEWIZ,1,0,1,1,4,,,,5.55,,,,,WHIZ
D1,TR,4496.1,,,QUEWIZ,1,0,1,1,4,,,,5.6,,,,,
D1,SA,4486,,,RHACRO,1,0,,,,94.2,0.55,9,,,,,,
D1,SA,4498,,,RHACRO,1,0,,,,143.7,1.13,1,,,,,,
D1,SA,6152,,,RHACRO,1,0,,,,78.6,0.59,2,,,,,,
D1,SA,4497,,,RHACRO,1,0,,,,184.8,0.4,6,,,,,,
D1,SA,6151,294,119,RHACRO,1,0,,,,227,0.52,3,,,,,,
D1,SA,4493,,,QUEBER,1,0,,,,38.4,0.26,2,,,,,,chnaged from bergar to match 2018- mkqc2022
D1,SA,6153,,,QUEBER,1,0,,,,47,0.92,0,,,,,,chnaged from bergar to match 2018- mkqc2022
D1,SA,6838,250,157,QUEBER,1,0,,,,159.3,1.01,0,,,,,,
D1,TR,4492,,,QUEBER,1,1,0,1,3,,,,1.32,NA,0,,,
D1,SA,4488,,,QUEBER,1,0,,,,69.5,0.79,10,,,,,,
D1,SA,6856,428,465,FRACAL,1,0,,,,90.7,0.33,3,,,,,,was misid'd as RHACRO- changed based on 2020 note- mkqc2022
D1,SA,6839,394,186,RHACRO,1,0,,,,135.1,0.46,1,,,,,,
D1,SA,6840,414,156,RHACRO,1,0,,,,56.9,0.43,0,,,,,,
D1,SA,6841,499,100,QUEBEGA,1,0,,,,75.5,0.57,2,,,,,,
D2,SA,4477,,,HETARB,1,0,,,,147.1,0.87,2,,,,,,
D2,SA,4478,,,QUEBER,1,0,,,,105.6,0.75,7,,,,,,
D2,TR,4479,,,QUEBER,1,1,,,,,,,3,113.5,1,,,
D2,TR,4479.1,,,QUEBER,1,0,0,1,4,,,,2.5,,,,,
D2,TR,4479.2,,,QUEBER,1,1,0,1,4,,,,2.1,71,2,,,
D2,TS,4479.3,,,QUEBER,1,0,,,,220,7.76,0,,,,,,
D2,TR,4479.4,,,QUEBER,1,1,0,1,4,,,,1.7,69.2,2,,,
D2,TR,4472,,,QUEBER,1,0,0,1,4,,,,2.8,75.7,2,,,
D2,TR,4476,,,QUEBEGA,1,0,0,1,4,,,,3.03,,,,,CHANGED FROM QUEAGKE MKQC2022
D2,TR,4476.1,,,QUEBEGA,1,0,0,1,2,,,,1.1,,,,,CHANGED FROM QUEAGKE MKQC2023
D2,SA,4475,,,HETARB,1,0,,,,178.8,0.85,0,,,,,,
D2,SA,4471,,,QUEBER,1,0,,,,88.2,0.84,2,,,,,,
D2,SA,4470,,,QUEBER,1,0,,,,102,0.68,1,,,,,,
D2,TR,4469,,,FRACAL,1,0,0,1,5,,,,1.48,,,,,
