Plot ID,PPW1330,,Sampler(s),"MO, GH, TT",,,,,Date ,20190618/ 20190620/20190621,,,,,,,,,
Notes,3429 NOT ON LIST (mkqc2022- bc it was marekd as tag pulled- fixed it/ 3441 IS OG DEAD SA W/ # .1 2018 DATA POSSIBLY MIXED-UP WITH 3445 (3445 IS FRACAL W/ .1 TAG),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,3454,,,QUEGAR,1,0,1,1,4,,,,32.3,,,,,
A1,SA,3453,,,UMBCAL,1,0,,,,59.1,0.39,NA,,,,,,BD FROM RESPROUT
A1,SA,3447,,,UMBCAL,1,0,,,,86.1,0.72,NA,,,,,,BD FROM RESPROUT
A1,SA,5701,,,UMBCAL,1,0,,,,48.5,0.42,NA,,,,,,BD FROM RESPROUT
A1,SA,3412,,,UMBCAL,1,0,,,,107.4,0.79,NA,,,,,,BD FROM RESPROUT
A1,SA,5702,,,AMOCAL,1,0,,,,143.4,0.74,NA,,,,,,BD FROM RESPROUT
A1,SA,3416,,,AMOCAL,1,0,,,,99.5,1.09,4,,,,,,OG DEAD- moving 5 over 50cm to 4 under 10
A1,TR,3415,,,AMOCAL,0,1,0,0,0,,0.53,NA,,115.6,,,,RESPROUT BD- was a tree
A1,TR,3414,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A1,SA,3458,,,UMBCAL,0,1,,,,59.4,0.31,NA,,,,,,"OG DEAD/ RESPROUT BD- (was dead in 2018, mkqc2023)"
A2,SA,3799,,,UMBCAL,0,1,,,,117.9,0.78,3,,,,,,3789 IN '18 DB/ RESPROUT OF BD- FIXED DUP IN 18 BD but no 2018 data bc not found so appears here as new to respout-MKQC2022
A1,TR,3459,,,UMBCAL,0,1,0,0,0,,,,NA,149.7,8,,,
A1,TR,3459.1,,,UMBCAL,0,1,0,0,0,,,,NA,129.5,6,,,
A1,SA,3475,,,UMBCAL,1,0,,,,35.9,0.27,1,,,,,,RESPROUT BD
A2,SA,5689,,,UMBCAL,1,0,,,,37.5,0.28,0,,,,,,RESPROUT BD
A1,SA,5703,,,UMBCAL,1,0,,,,102.5,0.46,1,,,,,,RESPROUT BD
A1,SA,3429,,,UMBCAL,1,0,,,,53.9,0.3,1,,,,,,"OG DEAD BD 1.14/ B-SPROUT BD 0.3 (dleted 2 over 50cm, assumed 1 under 10- kqc2023"
A1,SA,5700,,,UMBCAL,1,0,,,,33.9,0.26,0,,,,,,
A1,TR,3418,,,UMBCAL,0,1,0,0,0,,,,,120,5,,,
A1,SA,3421,,,UMBCAL,1,0,,,,59.6,0.44,2,,,,,,RESPROUT BD
A1,TR,3455,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,
A1,TR,3419,,,UMBCAL,0,1,0,0,0,,,,NA,105.5,7,,,
A1,SA,3413,,,QUEAGRI,1,0,,,,43.4,0.29,3,,,,,,RESPROUT BD
A1,SA,3462,,,UMBCAL,1,0,,,,72.7,0.49,1,,,,,,RESPROUT BD
A1,SA,3463,,,UMBCAL,1,0,,,,116.8,0.58,2,,,,,,RESPROUT BD
A1,TR,3468,,,UMBCAL,0,1,0,0,0,,,,NA,128.1,9,,,
A1,TR,3467,,,AMOCAL,0,1,0,0,0,,,,,176.1,1,,,
A1,SA,3469,,,UMBCAL,1,0,,,,60.4,0.43,1,,,,,,RESPROUT BD
A1,TR,3428,,,FRACAL,0,1,0,0,0,,,,NA,120.1,9,,,
A1,SA,3727,,,QUEAGRI,1,0,,,,22.1,0.18,1,,,,,,RESPROUT BD
A1,SA,3473,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,GONE
A1,SA,3461,,,UMBCAL,1,0,,,,64.1,0.31,5,,,,,,RESPROUT BD
A2,TR,3474,,,QUEGAR,1,1,0,1,2,,,,21.4,NA,0,,,
A2,TR,3420,,,UMBCAL,0,1,0,0,0,,,,6,195.5,17,,,
A2,SA,3475,,,AMOCAL,1,0,,,,143.1,0.71,6,,,,,,RESPROUT BD
A2,TR,3425,,,UMBCAL,0,1,0,0,0,,,,NA,84.4,1,,,
A2,SA,3434,,,AMOCAL,1,0,,,,143.3,0.69,14,,,,,,RESPROUT BD
A2,SA,3488,,,UMBCAL,1,0,,,,86.7,0.78,3,,,,,,RESPROUT BD
A3,TR,3487,,,UMBCAL,0,1,0,0,0,,,,NA,202,21,,,was hetarb- changing to match prev yrs- mkqc22
A3,TR,3487.1,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
A3,TR,3487.2,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
A3,TR,3487.3,,,UMBCAL,0,0,0,0,0,,,,NA,,,,,
A3,TR,3489,,,HETARB,1,1,1,1,2,,,,7.3,152.2,24,,,
A3,TR,3489.1,,,HETARB,0,1,0,0,0,,,,NA,120.2,1,,,
A2,SA,3436,,,UMBCAL,1,0,,,,129.4,0.77,2,,,,,,RESPROUT BD
A2,SA,3435,,,UMBCAL,1,0,,,,54.9,,4,,,,,,RESPROUT BD
