Plot ID,1333,,Sampler(s),"MO, MF, GH, TT",,,,,Date ,"20190710, 20190711",,,,,,,,,
Notes,,,,"MO,GH,TT",,,,,,20190711,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,3344,,,QUEKEL,0,1,0,0,0,,,,28.4,138.8,13,,,TRUNK BROKEN OFF BASE
A1,TR,3342,,,UMBCAL,1,1,1,1,4,,,,22.5,128,44,,,
A1,TR,3342.1,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
A1,TR,3342.2,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
A1,TR,3343,,,QUEKEL,1,0,1,1,4,,,,22.6,,,,,
A1,SA,3339,,,UMBCAL,1,0,,,,78.9,1,1,,,,,,BDBSPRT
A1,SA,5681,,,UMBCAL,0,1,,,,,0.2,0,,22.2,,,,BDBSPRT
A1,SA,3340,,,UMBCAL,1,0,,,,66.4,0.5,1,,,,,,BDBSPRT
A1,SA,3345,,,UMBCAL,0,1,,,,,0.56,0,,41,,,1,BDBSPRT
A1,SA,3327,,,PSEMEN,0,0,,,,,,,,,,,,TAG NOT FOUND
B1,TR,3364,,,UMBCAL,1,1,1,1,4,,,,32,136,59,,,
B1,TR,3366,,,QUEGAR,1,1,0,1,4,,,,30.7,,0,,,
B1,SA,5657,,,UMBCAL,0,1,,,,,0.46,0,,41,,,,BDBSPRT
B1,SA,5656,,,UMBCAL,1,0,,,,65.2,0.72,3,,,,,,BDBSPRT
B1,SA,3365,,,UMBCAL,0,0,,,,,,,,,,,1,
B2,TR,3363,,,QUEKEL,1,0,0,1,4,,,,56.2,,,,,
A2,SA,5677,,,UMBCAL,0,1,,,,,0.34,0,,31.5,,,,BDBSPRT
A2,SA,5680,,,UMBCAL,1,0,,,,52.9,0.53,5,,,,,,BDBSPRT
A2,SA,5679,,,UMBCAL,0,1,,,,,0.47,0,36.2,,,,,BDBSPRT
A2,SA,5678,,,UMBCAL,0,1,,,,,0.52,0,,44.9,,,,BDBSPRT
A2,SA,5676,,,UMBCAL,0,1,,,,,0.35,0,,24.7,,,,BDBSPRT
A2,SA,5675,,,UMBCAL,0,1,,,,,0.19,0,,19.2,,,,BDBSPRT
A2,SA,3347,,,UMBCAL,0,1,,,,51.8,0.55,0,,,,,,BDBSPRT/ OG DEAD [was a 1/0 but bc of note changed to 0/1 mkqc2022]
A3,TR,3348,,,QUEKEL,1,0,0,1,4,,,,48.2,,,,,
A3,SA,5673,,,UMBCAL,0,1,,,,,0.32,0,,28.2,,,,
A3,SA,5674,,,UMBCAL,0,1,,,,,0.14,0,,15.6,,,,BDBSPRT TAKEN AT 9CM
A4,SA,3349,,,UMBCAL,0,0,,,,,,,,,,,,GONE/ TAG NOT FOUND
B4,SA,3358,,,UMBCAL,0,1,,,,,0.64,,,42.3,,,,BDBSPRT
D1,TR,3398,,,QUEGAR,0,1,0,0,0,,,,,106.1,4,,,BSPRT HERBIVON2'ED
D2,TR,3399,,,QUEAGRI,0,1,0,0,0,,,,,,,,,
D2,TR,3399.1,,,QUEAGRI,0,0,0,0,0,,,,,138,12,,,
D2,TR,3399.2,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,
D3,SA,3394,,,UMBCAL,1,0,,,,72,0.57,0,,,,,,BDBSPRT
D3,TR,3391,,,QUEGAR,1,1,1,1,4,,,,43.1,,0,,,
D3,SA,3392,,,UMBCAL,1,0,,,,70.5,0.69,1,,,,,,BDBSPRT
D3,SA,3390,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
D4,SA,5659,,,UMBCAL,1,0,,,,53,0.75,1,,,,,,BDBSPRT
D4,TR,3386,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
D4,TR,3386.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,BROKEN OFF TREE
D4,SA,5658,,,UMBCAL,1,0,,,,92.6,1.47,4,,,,,,BDBSPRT
D4,TR,3382,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
D4,SA,3381,,,PSEMEN,0,0,,,,,,,,,,1,,
D4,SA,3389,,,UMBCAL,0,0,,,,,,,,,,,,GONE/ TAG NOT FOUND
C4,SA,5660,,,UMBCAL,1,0,,,,48.3,0.61,0,,,,,,
C1,TR,3370,,,QUEAGRI,1,1,1,1,2,,,,24.3,72.6,1,,,
C1,SA,3369,,,UMBCAL,0,0,,,,,,,,,,,,
C1,TR,3368,,,QUEGAR,1,0,1,1,3,,,,34.1,,,,,
C1,TR,3372,,,QUEAGRI,0,0,0,0,0,,,,,,,,,
C1,TR,3372.2,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,DEAD
C1,TR,3372.3,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,DEAD
C1,TR,3372.4,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,DEAD
C1,SA,6440,,,BACPIL,1,0,,,,58.2,0.37,1,,,,,,
B3,SA,3359,,,UMBCAL,0,1,,,,,0.4,0,,44.9,,,,BDBSPRT/ NOT ON LIST IN [2018 DB?]
B3,SA,5671,,,UMBCAL,1,0,,,,57.8,0.66,0,,,,,,BDBSPRT
B3,SA,3354,,,UMBCAL,0,1,,,,,0.67,0,,36.7,,,,BDBSPRT/ NOT ON LIST IN [2018 DB?]
B3,SA,3355,,,UMBCAL,0,1,,,,,0.4,0,,24.5,,,,BDBSPRT
B3,SA,3360,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND
B3,SA,5667,,,UMBCAL,0,1,,,,,0.25,0,,24.3,,,,BDBSPRT
B3,SA,5666,,,UMBCAL,0,1,,,,,0.38,0,,33,,,,BDBSPRT
B3,SA,5671,,,UMBCAL,1,0,,,,57.6,0.68,2,,,,,,BDBSPRT
B3,SA,5670,,,UMBCAL,0,1,,,,,0.25,0,,25.8,,,,BDBSPRT
