Plot ID,PPW1334,,Sampler(s),"MO, GH, TT",,,,,Date ,20190711,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,TR,2635,,,QUEGAR,1,0,0,1,4,,,,24.6,,,,,
A4,TR,2636,,,QUEGAR,0,0,0,0,0,,,,21.7,,,,,
B4,TR,2637,,,QUEGAR,1,0,1,1,3,,,,15.7,,,,,
B4,TR,2638,,,QUEGAR,1,0,0,1,4,,,,26.9,,,,,
B4,TR,2638.1,,,QUEGAR,1,0,0,1,2,,,,18.1,,,,,
B4,TR,2638.2,,,QUEGAR,1,0,0,1,4,,,,26.1,,,,,
C4,TR,2645,,,QUEGAR,1,0,0,1,2,,,,23.3,,,,,
C4,TR,2644,,,QUEGAR,1,1,0,1,4,,,,24.8,NA,0,,,
D4,TR,2646,,,QUEGAR,1,0,1,1,4,,,,20.3,,,,,
D4,TR,2647,,,QUEGAR,1,0,1,1,4,,,,20.2,,,,,
D3,TR,2649,,,QUEGAR,1,1,1,1,3,,,,22.0,NA,0,,,
D3,TR,2650,,,QUEGAR,1,0,1,1,3,,,,24.0,,,,,
D3,TR,2648,,,QUEGAR,1,0,0,1,4,,,,23.3,,,,,
D3,SA,5679,,,QUEGAR,0,1,,,,NA,0.45,0,,45.9,,,,BD OF BSPRT
D3,SA,5696,,,QUEGAR,0,1,,,,NA,32.5,0,,32.5,,,,BD OF BSPRT
D3,SA,5695,,,QUEGAR,0,1,,,,NA,0.44,0,,43.0,,,,BD OF BSPRT
D2,TR,2651,,,QUEGAR,1,0,0,1,5,,,,18.9,,,,,
D2,TR,2653,,,QUEGAR,1,0,1,1,4,,,,29.5,,,,,
D2,TR,2652,,,QUEGAR,1,1,1,1,4,,,,19.8,NA,0,,,
D1,TR,2654,,,QUEGAR,1,0,1,1,4,,,,37.9,,,,,
D1,TR,2655,,,AESCAL,1,1,0,1,4,,,,16.1,147.1,20,,,
D1,TR,2655.1,,,AESCAL,0,1,0,0,0,,,,7.9,126.5,3,,,
D1,TR,2658,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,
D1,TR,2657,,,QUEGAR,1,0,1,1,3,,,,34.3,,,,,
D1,TR,2659,,,QUEGAR,1,0,1,1,5,,,,33.5,,,,,
D1,TR,2656,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,DEAD ON GROUND
C2,TR,2641,,,QUEGAR,1,0,1,1,4,,,,24.6,,,,,ACORN GRAINERY
C2,TR,2642,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,DEAD ON GROUND
C3,TR,2643,,,QUEGAR,1,0,1,1,5,,,,22.0,,,,,
B3,TR,2639,,,AESCAL,1,1,0,1,4,,,,15.4,154.0,18,,,DECIDUOUS DYING LEAVES
B3,TR,2639.1,,,AESCAL,0,0,0,0,0,,,,NA,,,1,,
B3,TR,2640,,,QUEGAR,1,0,1,1,4,,,,42.2,,,,,
B3,TR,2640.1,,,QUEGAR,1,1,1,1,4,,,,27.6,NA,0,,,
B3,TR,2640.2,,,QUEGAR,1,1,1,1,3,,,,23.2,60.5,2,,,
B1,SA,5698,,,QUEGAR,0,1,,,,NA,0.15,0,,21.5,,,,"BD OF BSPRT, IN B?"
A2,TR,2632,,,QUEGAR,0,0,0,0,0,,,,NA,,,,,SNAG
A2,TR,2631,,,QUEGAR,1,1,1,1,3,,,,38.0,NA,0,,,
A2,TR,2633,,,UMBCAL,1,0,,,,76.8,0.71,0,,,,,,
A2,TR,2634,,,QUEGAR,1,0,1,1,5,,,,37.2,,,,,
A2,TR,2634.1,,,QUEGAR,1,0,1,1,4,,,,30.7,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
