Plot ID,PPW1340,,Sampler(s),"MO, MF, MK, GH",,,,,Date ,20190605,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B1,TR,1659,,,PSEMEN,1,0,0,1,2,,,,91.3,,,,,
B1,TR,1660,,,QUEAGRI,0,0,0,0,0,,,,26.2,,,,,
B1,TR,1660.1,,,QUEAGRI,0,0,0,0,0,,,,15.4,,,,,
B1,TR,1658,,,ARBMEN,0,1,0,0,0,,,,,117.6,2,,,
B2,TR,1645,,,ARBMEN,0,1,0,0,0,,,,6.6,139,10,,,
B2,TR,1650,,,PSEMEN,1,0,0,1,2,,,,82.7,,,,,
B2,TR,1651,,,ARBMEN,0,1,0,0,0,,,,8.7,122.7,8,,,
B2,TR,1644,,,UMBCAL,0,1,0,0,0,,,,3.25,129.5,6,,,
B2,TR,1642,,,UMBCAL,0,1,0,0,0,,,,3.83,144.6,21,,,
B2,TR,1642.1,,,UMBCAL,0,0,0,0,0,,,,3.5,,,,,
B2,TS,1642.2,,,UMBCAL,0,0,0,0,0,,3,,,,,,,BD ABOVE THICK BOTTOM @ 10 CM
B3,TR,1641,500,250,ARBMEN,0,1,0,0,0,,,,22.2,180.1,18,,,
B3,SA,1693,,,PSEMEN,0,0,,,,,,,,,,1,,GONE
B3,SA,1694,,,UMBCAL,0,0,,,,,,,,,,1,,GONE
B4,SA,5827,,,QUEAGRI,0,1,,,,,,,,44.8,,,,CHECK DBH 2018 37.8/ OG DEAD
B4,SA,1636,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD
B4,SA,1638,,,UMBCAL,1,0,,,,50.1,0.79,1,,,,,,
C4,SA,5870,,,QUEAGRI,0,1,,,,,,,,49.7,,,,
C4,SA,5871,,,QUEAGRI,0,1,,,,,,,,32.4,,,,
C4,SA,1682,,,PSEMEN,0,0,,,,,,,,,,1,,DEAD
C4,SA,1681,,,UMBCAL,0,0,,,,,,,,,,1,,
C4,SA,1671,,,UMBCAL,0,1,,,,,,,,46.8,,,,OG DEAD
C4,SA,1684,,,PSEMEN,0,0,,,,,,,,,,1,,
C4,SA,1679,,,PSEMEN,0,0,,,,,,,,,,1,,GONE
C4,SA,1680,,,UMBCAL,0,0,,,,,,,,,,1,,GONE
C4,SA,1683,,,PSEMEN,0,0,,,,,,,,,,1,,GONE
C3,SA,1669,,,UMBCAL,0,0,,,,,,,,,,1,,COULD BE 1696 IN '18 DB
C4,SA,1676,,,PSEMEN,0,0,,,,,,,,,,1,,
A1,TR,1611,,,QUEAGRI,1,0,1,0,2,,,,25.8,,,,,
A1,TR,1610,,,QUEAGRI,1,0,1,0,1,,,,24,,,,,
A1,SA,1613,,,QUEAGRI,1,0,,,,97.1,1.48,2,,,,,,
A1,SA,5826,,,UMBCAL,1,0,,,,145,1.81,4,,,,,,
A1,SA,1612,,,UMBCAL,0,1,,,,NA,NA,NA,,49.5,0,,,
A1,SA,1614,,,UMBCAL,0,0,,,,,,,,,,1,,DEAD AND GONE
A1,SA,1616,,,UMBCAL,1,0,,,,61.5,0.87,2,,,,,,
A1,SA,1615,,,UMBCAL,0,1,,,,,,,,31.4,0,,,
A2,TR,1617,,,UMBCAL,0,1,0,0,0,,,,4.1,134.9,18,,,WASNT ON LIST (AND 1614)
A2,TR,1621,,,ARBMEN,0,1,0,0,0,,,,5.8,161.6,9,,,
A2,TR,1625,,,ARBMEN,0,1,0,0,0,,,,7.4,91.4,6,,,
A3,SA,1628,,,PSEMEN,0,0,,,,NA,0.93,0,,,,1,,
A4,SA,1635,,,PSEMEN,0,0,,,,NA,1.14,0,,,,1,,SEE LIST
A4,SA,5872,,,UMBCAL,0,1,,,,NA,NA,,,17,0,,,OG DEAD AND GONE
A4,TR,1629,,,PSEMEN,0,0,0,0,0,,,,,,,,,NOT FOUND
A3,TR,1633,,,UMBCAL,0,1,0,0,0,,,,5.6,,,,,
A3,TR,1633.1,,,UMBCAL,0,1,0,0,0,,,,2.8,220.6,10,,,
A3,TR,1633.2,,,UMBCAL,0,1,0,0,0,,,,1.3,165.9,3,,,
A3,TR,1633.3,,,UMBCAL,0,0,0,0,0,,,,,,,1,,DEAD AND GONE
A3,TR,1633.4,,,UMBCAL,0,1,0,0,0,,,,2,66.1,2,,,
A3,TR,1633.5,,,UMBCAL,0,0,0,0,0,,,,,,,1,,DEAD AND GONE
A3,TR,1633.6,,,UMBCAL,0,1,0,0,0,,,,1.7,125.5,2,,,
A3,TR,1633.7,,,UMBCAL,0,1,0,0,0,,,,2.5,208.4,8,,,
A3,TR,1633.8,,,UMBCAL,0,0,0,0,0,,,,,,,,,BROKEN OFF BELOW DBH
A3,TR,1633.9,,,UMBCAL,0,1,0,0,0,,,,1,232.6,8,,,TALLEST BSPRT DBH = 1.1 !
A3,TS,1633.01,,,UMBCAL,0,0,0,0,0,,,,,,,,,NO TAG/ IS 1633.01 IN DB
A3,TR,1630,,,UMBCAL,0,1,0,0,0,,,,,302.2,104,,,
A3,TR,1630.1,,,UMBCAL,0,0,0,0,0,,,,,,,,,
A3,TR,1630.2,,,UMBCAL,0,1,0,0,0,,,,,311,23,,,
A3,TR,1630.3,,,UMBCAL,0,1,0,0,0,,,,,332,9,,,
A3,TR,1630.4,,,UMBCAL,0,0,0,0,0,,,,,,,,,
A3,TR,1630.5,,,UMBCAL,0,1,0,0,0,,,,,284.2,12,,,
A3,TR,1630.6,,,UMBCAL,0,0,0,0,0,,,,,,,1,,BROKEN OFF BELOW DBH
A3,TR,1630.7,,,UMBCAL,0,0,0,0,0,,,,,,,1,,BROKEN OFF BELOW DBH
A3,TR,1630.9,,,UMBCAL,0,1,0,0,0,,,,,277.6,2,,,
A3,TR,1630.01,,,UMBCAL,0,1,0,0,0,,,,,154.2,5,,,.01 REPRESENTS .10 TAG in field
A3,TR,1630.12,,,UMBCAL,0,0,0,0,0,,,,,,,,,
A3,TR,1630.14,,,UMBCAL,0,1,0,0,0,,,,,277.6,22,,,
A3,TR,1630.15,,,UMBCAL,0,0,0,0,0,,,,,,,,,
A3,TR,1630.16,,,UMBCAL,0,1,0,0,0,,,,,241,20,,,
