Plot ID,PPW1343,,Sampler(s),"MK, GH, MO, TT",,,,,Date ,20190606,,,,,,,,,,
Notes,"PSEMEN TREE IN D2 W/OUT TAG 2.3  60, 470",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes,
D1,TR,2220,,,QUEKEL,0,0,0,0,0,,,,31,,,,,,
D1,SA,2189,,,UMBCAL,0,0,,,,,,,,,,1,,,
D1,SA,2190,,,PSEMEN,0,0,,,,,,,,,,1,,,
D1,SA,2208,,,PSEMEN,0,0,,,,,,,,,,1,,,
D1,SA,2217,,,ARBMEN,0,0,,,,,,,,,,1,,,
D1,SA,2210,,,PSEMEN,0,0,,,,,,,,,,1,,,
D1,SA,2209,,,PSEMEN,0,0,,,,,,,,,,1,,,
D1,SA,2194,,,UMBCAL,1,0,,,,75,0.37,3,,,,,,,
D1,SA,2230,,,PSEMEN,0,0,,,,,,,,,,1,,,
D1,TR,2218,,,PSEMEN,0,0,0,0,0,,,,1.47,,,,,,
D1,TR,2212,,,PSEMEN,0,0,0,0,0,,,,1.01,,,,,,
D1,TR,2219,,,PSEMEN,1,0,0,1,2,,,,3.12,,,,,,
D1,TR,2221,,,PSEMEN,1,0,0,1,3,,,,8.1,,,,,,
D1,TR,2205,,,PSEMEN,0,0,0,0,0,,,,,,,,,dead in 18,
D1,TR,2206,,,PSEMEN,1,0,0,1,3,,,,5,,,,,,
D1,TR,2200,,,PSEMEN,1,0,0,1,2,,,,8.1,,,,,dbh is 18 is way off- fixed it,
D1,TR,2197,,,ARBMEN,0,0,0,0,0,,,,1.53,,,,,,
D1,TR,2223,,,PSEMEN,0,0,0,0,0,,,,1.26,,,,,,
D1,SA,2224,,,PSEMEN,0,0,,,,,0.84,0,,,,1,,,
D1,SA,2196,,,ARBMEN,0,0,,,,,1.42,0,,,,1,,,
D1,TR,2198,,,PSEMEN,0,0,0,0,0,,,,5.9,,,,,,
D1,SA,2211,,,PSEMEN,0,0,,,,,1.34,0,0.8,,,,,,
D1,TR,2199,,,PSEMEN,1,0,0,1,3,,,,8.5,,,,,,
D1,TR,2202,,,PSEMEN,0,0,0,0,0,,,,,,,,,,
D1,SA,2193,,,UMBCAL,1,0,,,,50.8,0.42,1,,,,,,,
D1,TR,2222,,,PSEMEN,1,0,0,1,4,,,,,,,,,,
D1,TR,2100,,,PSEMEN,0,0,0,0,0,,,,,,,,,,
D1,SA,2191,,,ARBMEN,0,0,,,,,,,,,,1,,,
D1,SA,2192,,,UMBCAL,0,0,,,,NA,NA,NA,,,,1,,,
D1,TR,2204,,,PSEMEN,1,0,0,1,3,,,,8.1,,,,,,
D1,SA,2185,,,UMBCAL,0,1,,,,,,,,41,0,,,,
D1,TR,2186,,,QUEKEL,1,0,0,1,3,,,,35.1,,,,,,
D1,SA,2187,,,PSEMEN,0,0,,,,NA,0.85,0,,,,1,,,
D1,TR,2207,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,,
D1,SA,2195,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,,
D1,TR,2203,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,,
D1,SA,2188,,,ARBMEN,0,0,,,,NA,NA,NA,,,,1,,,
D1,SA,2225,,,ARBMEN,0,0,,,,NA,NA,NA,,,,1,,,
D1,TR,2183,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D1,SA,2214,,,PSEMEN,0,0,,,,,NA,NA,NA,,,1,,,
D1,SA,2215,,,PSEMEN,0,0,,,,,NA,NA,NA,,,1,,,
D1,TR,2201,,,PSEMEN,1,0,0,1,2,,,,6.8,,,,,,
D2,TR,2174,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D2,TR,2176,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D2,TR,2182,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D2,TR,2181,,,PSEMEN,1,0,0,1,3,,,,21.9,,,,,,
D2,TR,2170,,,PSEMEN,1,0,0,1,3,,,,12.8,,,,,,
D2,TR,2169,,,PSEMEN,1,0,0,1,3,,,,8.6,,,,,,
D2,TR,2168,,,PSEMEN,0,0,0,0,0,,,,3.2,,,,,,
D2,SA,2167,,,UMBCAL,0,1,,,,,,,,43.8,0,,,,
D2,TR,2177,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D2,TR,2178,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D2,TR,2179,,,PSEMEN,0,0,0,0,0,,,,NA,,,,,,
D2,TR,2180,,,PSEMEN,0,0,0,0,0,,,,4.7,,,,,,
D2,SA,2175,,,UMBCAL,0,0,,,,,,,,,,,,DEAD IN '18/ TAG NOT FOUND,
A1,TR,1780,,,PSEMEN,1,0,0,1,3,,,,3.11,,,,,,
A1,TR,1792,,,PSEMEN,0,0,0,0,0,,,,1.96,,,,,DEAD,
A1,SA,1782,,,ARBMEN,0,0,,,,NA,1.31,0,,,,,,DEAD,
A1,TR,1783,,,PSEMEN,0,0,0,0,0,,,,1.11,,,,,DEAD,
A1,TR,1800,,,PSEMEN,0,0,0,0,0,,,,1.62,,,,,DEAD,
A1,TR,1793,,,PSEMEN,1,0,0,1,2,,,,2.14,,,,,,
A1,TR,1788,,,PSEMEN,1,0,0,1,2,,,,6.5,,,,,,
A1,TR,1795,,,PSEMEN,1,0,0,1,1,,,,5.3,,,,,,
A1,TR,1794,,,QUEKEL,1,0,1,1,3,,,,29,,,,,,
A1,SA,1781,,,ARBMEN,0,0,,,,,NA,NA,,,,,,,
A1,SA,1789,,,CEACUN,0,0,,,,,0.56,2,,,,,,,
A1,TR,1787,,,PSEMEN,0,0,0,0,0,,,,0.77,,,,,,
A1,SA,1797,,,PSEMEN,0,0,,,,,1.08,0,,,,,,,
A1,TR,1778,,,PSEMEN,0,0,0,0,0,,,,NA,,,1,,GONE,
A1,TR,1801,,,PSEMEN,1,0,0,1,1,,,,5.1,,,,,,
A1,TR,1805,,,PSEMEN,1,0,0,1,1,,,,4.4,,,,,,
A1,SA,1796,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1784,,,ARBMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,TR,1814,,,PSEMEN,1,0,0,1,2,,,,10.3,,,,,,
A1,SA,1786,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1828,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,SA,1830,,,PSEMEN,0,0,,,,NA,NA,NA,,,,1,,GONE,
A1,TR,1815,,,QUEKEL,1,0,1,1,4,,,,29.1,,,,,,
A1,TR,1806,,,PSEMEN,0,0,0,0,0,,,,3.5,,,,,,
A1,TR,1807,,,PSEMEN,1,0,0,1,1,,,,5.4,,,,,,
A1,SA,1893,,,UMBCAL,0,0,,,,,0.64,0,,,,,,,
A1,TR,1809,,,PSEMEN,1,0,0,1,2,,,,4.5,,,,,,
