Plot ID,   PPW1331,Date,20201111,,Samplers,"MO, MF, RF, CM",,
Notes,,,,,,,,
Hobos downloaded? Y/N,Y,,,New Battery? Y/N,Y,Tennis Balls,,Photo
GPS Coordinates - Plot Corners,,,,,,,,
Southwest Reference,,Northwest Reference,,Northeast Reference,,,  Southeast Reference,
UTM-E:,,UTM-E:,,UTM-E:,,,UTM-E:,
UTM-N:,,UTM-N:,,UTM-N:,,,UTM-N:,
Pictures? (check if complete),,,Slope,,,Aspect ,,
Quads Completed: ,,,,,,,,
,Start Tag: ,,End Tag:,,,,,
Counts OPEN/CLOSED:,OPEN,,,,,,,
B2SW-,"N27, E26, S10, W13, ",B4SW-,"N24, E17, S14, W12",D2SW-,"N20, E31, S24, W16",,D4SW-,"N22, E54, S25, W11"
C3SW(center)- ,"N21, E31, S24, W9",,,,,,,
Enviromental Notes: ,,,,,,,,
,,,,,,,,
,,,,,,,,
Quad ,% Bedrock ,% Soil,% Boulder,% Fine,% Herb ,% Litter,Total,Notes
A1, ,,,,,,,
A2,,,,,,,,
A3,,,,,,,,
A4,,,,,,,,
B1,,,,,,,,
B2,,,,,,,,
B3,,,,,,,,
B4,,,,,,,,
C1,,,,,,,,
C2,,,,,,,,
C3,,,,,,,,
C4,,,,,,,,
D1,,,,,,,,
D2,,,,,,,,
D3,,,,,,,,
D4,,,,,,,,
