Plot ID,   PPW1308,,,,Sampler(s),"MO, CM, MF, RF",,,Date ,20201104
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
B2,QUEGAR,3,,20,,,,,,
B2,QUEDOU,2,,1,,,,,,
B2,QUEDEC,1,,,,,,,,
B1,QUEGAR,2,,5,,,,,,
B1,QUEDOU,,,1,,,,,,
A1,QUEGAR,,,17,,,,,,
A1,QUEDOU,,,1,,,,,,
A1,QUEDEC,,,1,,,,,,
A2,QUEGAR,,,5,,,,,,
A2,QUEDEC,,,3,,,,,,
A3,QUEDEC,,,2,,,,,,
C3,QUEGAR,3,,1,,,,,,
C3,QUEDOU,,,1,,,,,,
C3,QUEDEC,,,5,,,,,,
C3,ARCMAN,3,,,,,,,,
A4,,,,,,,,,,
D4,QUEGAR,,,2,,,,,,
C4,QUEGAR,,,2,,,,,,
C4,QUEDEC,,,2,,,,,,
C4,QUEDOU,,,1,,,,,,
B4,QUEGAR,,,2,,,,,,
B4,QUEAGRI,,,1,,,,,,
B3,QUEGAR,,,2,,,,,,
B3,ARCMAN,,,,,3,,,,
B3,QUEDEC,,,2,,,,,,
D2,QUEGAR,,,8,,,,,,
D2,ARCMAN,1,,,,,,,,
C2,ARCMAN,1,,,,,,,,
C2,QUEGAR,2,,2,,,,,,
C1,ARCMAN,3,,1,,,,,,
C1,QUEGAR,1,,3,,,,,,
D1,QUEGAR,,,8,,,,,,
D1,ARCMAN,,,1,,,,,,
D3,QUEGAR,,,4,,,,,,
