Plot ID,   PPW1313,,,,Sampler(s),"MK, TT, RF, CM",,,Date ,20201106
Notes,VERY STEEP,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D2,UMBCAL,,,1,,,,,,
C2,QUEAGRI,,,1,,,,,,
B2,QUEAGRI,,,3,,,,,,
B2,QUEGAR,,,1,,,,,,
A2,QUEGAR,,,1,,,,,,
A2,QUEAGRI,,,3,,1,,,,
A1,BACPIL,,,1,,,,,,
A1,QUEAGRI,,,1,,1,,,,
A1,QUEGAR,,,1,,,,,,
A1,QUEKEL,,,1,,,,,,
B1,QUEAGRI,,,1,1,,,,,
B1,UMBCAL,,,1,,,,,,
C1,QUEGAR,,,3,,,,,,
C1,HETARB,,,1,,,,,,
C1,QUEAGRI,,,2,,,,,,
D4,ARBMEN,,,1,,,,,,
D4,UMBCAL,,,1,,,,,,
D4,QUEGAR,,,1,,,,,,
D1,UMBCAL,,,1,,,,,,
C4,QUEAGRI,,,1,,,,,,
B4,ARBMEN,1,,,,,,,,
A3,PSEMEN,1,,,,,,,,
A3,QUEAGRI,,,4,,1,,,,
A3,QUEGAR,,,2,,,,,,
A4,HETARB,,,1,,,,,,
B4,HETARB,,,1,,,,,,
C3,HETARB,,,1,,,,,,
D3,QUEGAR,,,1,,,,,,
B3,QUEAGRI,1,,2,,,,,,
