Plot ID,   PPW1315,,,,Sampler(s),MK MF CM,,,Date ,20201112
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A1,QUEGAR,,,4,,,,,,
A4,QUEGAR,,,3,,,,,,
B1,QUEGAR,1,,3,,,,,,
B4,QUEGAR,,,13,,,,,,
C1,QUEGAR,1,,2,,,,,,
B4,UMBCAL,,,1,,,,,,
D1,QUEGAR,,,8,,,,,,
C4,QUEGAR,1,,6,,,,,,
D4,QUEGAR,,,5,,,,,,
D2,QUEGAR,,,12,,,,,,
D3,QUEGAR,3,,10,,,,,,
C2,QUEGAR,,,6,,,,,,
B2,QUEGAR,,,3,,,,,,
A2,QUEGAR,,,8,,,,,,
A3,QUEGAR,,,5,,,,,,
B3,QUEGAR,,,13,,,,,,
C3,QUEGAR,,,5,,,,,,
