Plot ID,   PPW1326,,,,Sampler(s),"MK, MF, RF, BM",,,Date ,20201116
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A4,QUEGAR,,,3,,,,,,
A3,UMBCAL,,,3,,,,,,
B3,UMBCAL,,,3,,,,,,
B3,QUEGAR,,,3,,,,,,
B4,ARBMEN,,,1,,,,,,
B4,QUEGAR,,,4,,,,,,
B4,UMBCAL,,,1,,,,,,
C4,UMBCAL,,,2,,,,,,
C4,QUEGAR,,,2,,,,,,
D4,QUEGAR,,,1,,,,,,
D3,UMBCAL,,,1,,,,,,
D3,ARBMEN,1,,,,,,,,
D3,QUEGAR,,,1,,,,,,
C3,UMBCAL,,,1,,,,,,
C3,QUEGAR,,,1,,,,,,
C2,UMBCAL,,,1,,,,,,
D2,QUEGAR,,,5,,,,,,
C1,UMBCAL,,,1,,,,,,
C1,ARBMEN,,,1,,,,,,
D1,QUEGAR,,,4,,,,,,
A1,QUEGAR,,,1,,,,,,
A1,QUEAGRI,,,1,,,,,,
B2,UMBCAL,,,1,,,,,,
B2,QUEGAR,,,2,,,,,,
B1,,,,,,,,,,
A2,QUEAGRI,,,2,,,,,,
