Plot ID,   PPW1333,,,,Sampler(s),"CM, RF, MF",,,Date ,20201203
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A2,UMBCAL,,,2,,,,,,
A2,QUEDEC,,,1,,,,,,
A3,QUEGAR,,,1,,,,,,
A3,UMBCAL,,,4,,,,,,
D4,QUEGAR,,,1,,,,,,
B2,UMBCAL,,,1,,,,,,
B3,QUEGAR,,,1,,,,,,
B3,UMBCAL,,,3,,,,,,
C3,UMBCAL,,,2,,,,,,
C3,QUEAGR,,,1,,,,,,
C2,,,,,,,,,,
C4,QUEGAR,,,2,,,,,,
D3,UMBCAL,,,2,,,,,,
D2,QUEGAR,,,1,,,,,,
C1,,,,,,,,,,
D1,,,,,,,,,,
B4,QUEGAR,,,5,,,,,,
B4,UMBCAL,,,3,,,,,,
B1,,,,,,,,,,
A1,UMBCAL,,,3,,,,,,
A1,QUEAGR,,,1,,,,,,
A4,,,,,,,,,,
