Plot ID,   PPW1343,,,,Sampler(s),"MK, MF, RF, CM",,,Date ,20201102
Notes,"NOTHING IN D1, C1, D2, C2, D3, A1, A2, B2",,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
D1,,,,,,,,,,
C1,,,,,,,,,,
D2,,,,,,,,,,
C2,,,,,,,,,,
D3,,,,,,,,,,
C3,UMBCAL,1,,,,,,,,
C4,UMBCAL,,,4,,,,,,
B3,UMBCAL,,,1,,,,,,
B3,QUEAGR,,,1,,,,,,
B1,UMBCAL,,,2,,,,,,
A1,,,,,,,,,,
A2,,,,,,,,,,
B2,,,,,,,,,,
A3,QUEAGR,,,1,,,,,,
A4,UMBCAL,,,1,,,,,,
A4,QUEWIZ,,,1,,,"NO HAIRY PITS, PHOTO IN M.K.'S PHONE",,,
B4,HETARB,,,1,,,,,,
B4,UMBCAL,,,6,,,,,,
D4,UMBCAL,,,6,,,SOD ON JUV,,,
