Plot ID,   PPW1347,,,,Sampler(s),"MF, RF, BM, CM",,,Date ,20201201
Notes,,,,,,,,,,
,,,,,,,,,,
Quadrant,Species,No. SE <10cm,,No. JU 10-50cm,,No. SE +JU Dead,Comments,,,
A4,HOLDIS,0,,4,,0,,,,
B4,QUEAGR,0,,5,,0,,,,
C4,HOLDIS,0,,1,,0,,,,
C4,QUEAGR,0,,5,,1,,,,
C4,AMOCAL,0,,1,,0,,,,
D4,,0,,0,,0,,,,
D3,BACPIL,0,,1,,0,,,,
D3,QUEAGR,0,,1,,0,,,,
C3,QUEAGR,0,,1,,0,,,,
C3,UMBCAL,0,,1,,0,,,,
B3,QUEAGR,0,,1,,0,,,,
A3,QUEAGR,0,,1,,0,,,,
A2,AMOCAL,0,,1,,0,,,,
A2,QUEAGR,0,,1,,0,,,,
B2,QUEAGR,0,,1,,0,,,,
B2,QUEGAR,0,,1,,0,,,,
C2,QUEAGR,0,,1,,0,,,,
C2,BACPIL,0,,1,,0,,,,
D2,,0,,0,,0,,,,
D1,PRUCER,0,,1,,0,,,,
D1,AMOCAL,0,,1,,0,,,,
C1,UMBCAL,0,,1,,0,,,,
C1,AMOCAL,0,,1,,0,,,,
B1,QUEAGR,0,,1,,0,,,,
A1,PRUCER,0,,1,,0,,,,
