Plot ID,1304,,Sampler(s),"MK, TT, CM",,,,,Date ,20210115,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,1101,,,QUEGAR,1,0,1,1,99,,,,,,,,,.1 says tag pulled- confirmed typo
A1,TR,1101.1,,,QUEGAR,1,0,1,1,99,,,,,,,,,Big split in trunk
B3,SA,1103,,,QUEAGRI,0,1,,,,94.9,1.09,3,,,,,,
B4,TR,1102,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C2,TR,1104,,,AESCAL,0,1,0,0,0,,,,,,,,,
C2,TR,1104.1,,,AESCAL,0,1,0,0,0,,,,,213,3,,,
C2,SA,1105,,,QUEAGRI,0,1,,,,21,0.17,5,,,,,,Wrong quad listed in 19
D1,SA,5865,,,QUEAGRI,1,0,,,,36.2,0.59,2,,,,,,
C1,SA,5829,,,QUEAGRI,0,1,,,,35.1,0.31,2,,,,,,"Says tag pulled, typo? Yes typo"
D3,TR,1107,,,QUEAGRI,0,0,0,0,0,,,,,,,,,Dead Basal
D4,TR,1106,,,AESCAL,1,1,1,1,99,,,,,,0,,,
D4,TR,1106.1,,,AESCAL,1,1,0,1,99,,,,,,,,,
A4,SA,6525,475,90,QUEGAR,0,1,,,,43.9,0.44,1,,,,,,Could be dead
B3,SA,5830,,,QUEDOU,0,0,,,,,,,,,,,,BF'd
