Plot ID,1307,,Sampler(s),"MF, CM,MK, ",,,,,Date ,12/4/20,,,,,,,,,
Notes,1140 WAS PULLED IN '19 BUT XY WAS 120/160 NOT 110/80 also…3265 TAG FOUND W/ LOOP IN A1 WTF? PULLED? FROM ANOTHER PLOT? Not in DB in any other year ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D4,SA,5808,,,UMBCAL,0,1,,,,27,0.34,0,,,,,,
D4,SA,6465,,,QUEAGRI,0,1,,,,25.8,0.15,0,,,,,,
D4,SA,5806,,,ARBMEN,0,1,,,,23.7,0.4,5,,,,,,
D4,SA,1167,,,UMBCAL,0,1,,,,36.8,0.42,6,,,,,,
D4,SA,5807,,,ARBMEN,0,1,,,,25.4,0.3,8,,,,,,
D4,SA,1155,,,UMBCAL,0,1,,,,52.3,0.4,2,,,,,,
D3,SA,5809,,,UMBCAL,0,1,,,,31.1,0.42,1,,,,,,
D3,SA,5811,,,UMBCAL,0,1,,,,19,0.28,3,,,,,,
D3,SA,5812,,,QUEAGRI,0,1,,,,15.9,0.18,1,,,,,,NOT ON LIST FROM '19
D3,TR,1168,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
D3,TR,1169,,,PSEMEN,1,0,0,1,3,,,,,,,,,
D3,SA,1171,,,UMBCAL,0,1,,,,18.5,0.42,4,,,,,,
D3,SA,5810,,,UMBCAL,0,1,,,,28.5,0.26,2,,,,,,
D2,TR,1173,,,PSEMEN,1,0,0,1,2,,,,,,,,,
D1,TR,1176,,,QUEAGRI,0,1,0,0,0,,0.53,,,33.6,0,,,
D1,TR,1175,,,QUEAGRI,0,1,0,0,0,,0.42,,,70.5,7,,,
D1,TR,1179,,,UMBCAL,0,0,0,0,0,,,,,,,1,,FOUND ON GROUND was typo psemen- mkqc2022
D1,TR,1179.1,,,UMBCAL,0,0,0,0,0,,,,,,,1,,TAG PULLED
D1,TR,1178,,,UMBCAL,0,1,0,0,0,,0.65,,,95.5,10,,,
D1,TR,1200,,,QUEAGRI,0,1,0,0,0,,0.74,,,121,1,,,NEW TAG
C1,TR,1159,,,QUEAGRI,0,1,0,0,0,,0.45,,,93.6,12,,,
C1,TR,1159.1,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,TAG PULLED
C1,TR,1158,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,TAG PULLED
C1,TR,1160,,,QUEGAR,0,1,0,0,0,,0.6,,,66.8,1,,,CM SAYS QUEGAR!!
C1,SA,6466,,,BACPIL,0,0,,,,,,,,,,,,BLUE FLAGGED
C1,TR,1134,,,QUEAGRI,0,1,0,0,0,,0.47,6,,,54.1,1,,measured as an SA so data is weird- changed to a TR-mkqc2023
C4,SA,5817,,,UMBCAL,0,1,,,,20.2,0.22,2,,,,,,
C4,SA,5816,,,UMBCAL,0,1,,,,25.5,0.32,2,,,,,,
C4,SA,5815,,,ARBMEN,0,1,,,,19.3,0.35,1,,,,,,
C4,TR,1166,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
C2,TR,1164,,,QUEAGRI,0,1,0,0,0,,0.37,,,38.4,0,,,MECHANICALLY CUT AT 65MCM
C2,SA,1152,,,UMBCAL,0,1,,,,52.9,0.52,1,,,,,,
B4,TR,1126,,,QUEKEL,0,0,0,0,0,,,,,,,,,MF SAYS GAR!! (OR KEL) BURNED
C2,SA,5813,,,QUEAGRI,0,1,,,,42.6,0.44,4,,,,,,
B4,SA,5818,,,ARBMEN,0,1,,,,27.9,0.26,2,,,,,,
A4,SA,5819,,,ARBMEN,0,0,,,,,,,,,,1,,TAG PULLED
C3,SA,5814,,,UMBCAL,0,1,,,,44.2,0.51,3,,,,,,
C3,SA,6408,,,QUEAGRI,0,1,,,,23,0.22,3,,,,,,was 5812?- says s0 in 19 db
B4,SA,6447,,,ARBMEN,0,1,,,,23.5,0.29,2,,,,,,
B4,SA,6445,,,ARBMEN,0,1,,,,28.1,0.32,3,,,,,,
B3,SA,6444,,,ARBMEN,0,1,,,,23,0.26,0,,,,,,
B1,SA,6442,,,BACPIL,0,0,,,,,,,,,,,,"BLUE FLAGGED, AND KINDA IN B2"
B2,TR,1131,,,ARBMEN,1,1,1,1,2,,,,,135.4,12,,,BURNED- was typo 1331
B2,TR,1131.2,,,ARBMEN,0,0,0,0,0,,,,,,,1,,NOT FOUND IN '19 OR '20 was typo 1331
A3,SA,5825,,,ARBMEN,0,1,,,,27.2,0.42,1,,,,,,
A3,SA,5824,,,ARBMEN,0,1,,,,30.8,0.36,2,,,,,,
B1,SA,1147,,,QUEAGRI,0,1,,,,104.7,0.82,3,,,,,,
A3,SA,5823,,,ARBMEN,0,1,,,,33.6,0.37,6,,,,,,
B2,SA,1128,,,QUEAGRI,0,1,,,,41.4,0.25,7,,,,,,
A3,SA,5821,,,ARBMEN,0,1,,,,25.4,0.29,2,,,,,,
B2,SA,1130,,,QUEAGRI,0,1,,,,69.4,0.47,4,,,,,,
A3,SA,1116,,,ARBMEN,0,0,,,,,,,,,,1,,TAG PULLED
A3,TR,1112,,,ARBMEN,0,1,0,0,0,,1.35,,,,,1,8,"TAG NOT PULLED, CHANGE IN '19 DB"
B1,SA,1141,,,QUEAGRI,0,1,,,,30.6,0.3,2,,,,,,
B1,SA,1149,,,QUEAGRI,0,1,,,,133.1,0.71,5,,,,,,
A3,SA,6443,,,ARBMEN,0,1,,,,29.9,0.3,0,,,,,,
B1,SA,1146,,,QUEAGRI,0,0,,,,,,,,,,1,,TAG PULLED
B1,TR,1165,,,QUEAGRI,0,1,0,0,0,,0.54,,,70,4,,,.1 NOT FOUND
B1,TR,1165.1,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,TAG PULLED
B1,TR,1154,,,QUEAGRI,0,1,0,0,0,,0.74,,,106.3,5,,,
B1,SA,6467,,,QUEAGRI,0,1,,,,63.1,0.55,0,,,,,,
B2,TR,1132,,,QUEAGRI,0,0,0,0,0,,,,,,,,,TAGS BURIED UNDER DEBRIS PILE
B2,TR,1132.1,,,QUEAGRI,0,0,0,0,0,,,,,,,,,TAGS BURIED UNDER DEBRIS PILE
B1,SA,1144,,,QUEAGRI,0,0,,,,,,,,,,,,BLUE FLAGGED
B1,TR,1143,,,ARBMEN,0,0,0,0,0,,,,,,,,,NOT FOUND
A1,SA,6441,,,BACPIL,0,0,,,,,,,,,,1,,TAG PULLED
A1,SA,5820,,,QUEAGRI,0,0,,,,,,,,,,1,,TAG PULLED
A2,TR,1110,,,ARBMEN,1,1,1,1,2,,,,,116.4,5,,,
A2,TR,1110.1,,,ARBMEN,1,1,0,1,2,,,,,118.3,5,,,
A2,TR,1110.2,,,ARBMEN,1,1,0,1,1,,,,,146.4,9,,,MISSING ITS TAG
A4,SA,1125,,,ARBMEN,0,1,,,,23.4,0.29,1,,,,,,
A4,SA,5905,,,ARBMEN,0,1,,,,20.2,0.24,3,,,,,,
A4,SA,5902,,,ARBMEN,0,1,,,,15.1,0.29,1,,,,,,"averaged 15.2 and 15 and .28 and .3 from two dups, deleted originals - mkqc2022"
A4,TR,1123,,,QUEKEL,1,1,1,1,99,,,,,,0,,,CHANGE SP IN DB DEF BULLSHIT -MAKAYLA 
A4,SA,6450,,,ARBMEN,0,1,,,,31,0.31,3,,,,,,
A4,SA,6446,,,QUEGAR,0,1,,,,23.8,0.36,7,,,,,,
A4,SA,1119,,,ARBMEN,0,1,,,,25.4,0.24,0,,,,,,
A4,TR,1124,,,QUEGAR,1,1,0,1,99,,0.6,,,69,7,,,BURN SCAR
