Plot ID,1315,,Sampler(s),MK CM MF,,,,,Date ,20201112,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,2797,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A1,TR,2799,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A1,TR,2800,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A1,TR,2687,,,QUEGAR,1,1,0,1,99,,,,,,0,,,
B1,TR,2815,,,UMBCAL,1,1,1,1,3,,,,,79,6,,,
B1,TR,2815.1,,,UMBCAL,0,0,0,0,0,,,,,,,,,
B1,TR,2815.2,,,UMBCAL,0,0,0,0,0,,,,,,,,,
B1,TR,2815.3,,,UMBCAL,1,0,1,0,1,,,,,,,,,
C1,TR,2816,,,UMBCAL,1,1,1,1,2,,,,,103.5,21,,,
C1,TR,2818,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C1,TR,2817,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C1,SA,5612,,,ARBMEN,0,1,,,,16.5,0.2,0,,,,,,
A2,TR,2804,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A2,TR,2805,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D2,TR,2834,,,QUEGAR,1,1,0,1,99,,,,,,,,,missing bsprout dtat- is the basal a typo?
D2,TR,2835,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A3,TR,2806,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A3,TR,2806.1,,,QUEGAR,1,0,1,1,99,,,,,,,,,
A4,TR,2809,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D2,TR,2836,,,QUEGAR,1,0,0,1,99,,,,,,,,,
D2,TR,2837,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D2,TR,2838,,,QUEGAR,1,1,1,1,99,,0.43,,,,0,,,"CRISPY FROM FIRE, COULD BE DEAD TOOk BD"
B4,TR,2811,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C4,TR,2825,,,QUEGAR,1,1,1,1,99,,,,,,0,,,
C3,TR,2821,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C3,TR,2822,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C3,TR,2820,,,QUEGAR,0,0,0,0,0,,,,,,,,,
C3,TR,2823,,,QUEGAR,0,0,0,0,0,,,,,,,,,HAZARD TREE
B3,TR,2812,,,QUEGAR,1,0,1,1,99,,,,,,,,,
B3,TR,2813,,,QUEGAR,0,0,0,0,0,,,,,,,,,
B3,TR,2814,,,QUEGAR,1,0,0,1,99,,,,,,,,,
D4,TR,2827,,,QUEGAR,0,0,0,0,0,,,,,,,,,
D4,TR,2828,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D4,TR,2829,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D1,SA,5613,,,ARBMEN,0,1,,,,11.2,0.14,2,,,,,,TOO SHORT BD @ 5 CM
B4,TR,2811,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D3,SA,2831,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
D3,TR,2832,,,QUEGAR,1,0,1,1,99,,,,,,,,,
D3,TR,2833,,,QUEGAR,1,0,1,1,99,,,,,,,,,
