Plot ID,1323,,Sampler(s),MK MF RF CM,,,,,Date ,20201105,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D1,TR,1965,,,QUEDOU,1,0,1,1,99,,,,,,,,,
B2,TR,1925,,,QUEDOU,1,0,1,1,99,,,,,,,,,
C2,TR,1964,,,QUEAGRI,1,0,1,1,3,,,,,,,,,"POSSIBLY QUEWIZ, NO HAIRY PITS"
C2,TR,1964.1,,,QUEAGRI,1,0,1,1,4,,,,,,,,,
C3,TR,1964.2,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
B2,TR,1924,,,QUEDOU,1,0,0,1,2,,,,,,,,,
B2,TR,1931,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
A2,TR,1909,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
A2,TR,1909.1,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
A2,TR,1907,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
C3,TR,1922,,,QUEDOU,1,0,1,1,3,,,,,,,,,HYPOX
C3,TR,1923,,,QUEAGRI,1,0,1,1,3,,,,,,,,,Q.WIZ??
C1,TR,1963,,,QUEDEC,0,0,0,0,0,,,,,,,,,GONE IN 19
