Plot ID,1329,,Sampler(s),"MO,MF, RF, CM",,,,,Date ,20201111,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
B2,TR,2887,,,QUEAGR,1,0,0,1,4,,,,,,,,,
B2,TR,2888,,,QUEAGR,1,0,1,1,3,,,,,,,,,
B2,TR,2888.1,,,QUEAGR,1,0,1,1,4,,,,,,,,,
B3,TR,2886,,,QUEAGR,1,0,1,1,4,,,,,,,,,
B3,TR,2886.1,,,QUEAGR,1,0,1,1,3,,,,,,,,,
A3,TR,2882,,,QUEAGR,1,1,0,1,4,,,,,,0,,,
A3,TS,5627,,,QUEAGR,1,0,,,,50.5,0.63,1,,,,,,
A1,TR,2881,,,QUEAGR,1,0,0,1,4,,,,,,,,,
A1,TR,2881.1,,,QUEAGR,1,0,1,1,4,,,,,,,,,
A1,TR,2881.2,,,QUEAGR,1,0,1,1,4,,,,,,,,,
A1,TR,2881.3,,,QUEAGR,1,0,1,1,4,,,,,,,,,
A4,TR,2883,,,QUEAGR,1,0,0,1,4,,,,,,,,,
A4,TR,2883.1,,,QUEAGR,0,0,0,0,0,,,,,,,,,
A4,TR,2883.2,,,QUEAGR,0,0,0,0,0,,,,,,,,,
A4,TR,2884,,,HETARB,0,1,0,0,0,,0.91,,,,0,,,
A4,TR,2884.1,,,HETARB,0,0,0,0,0,,,,,,,1,,
A4,TR,2884.2,,,HETARB,0,0,0,0,0,,,,,,,1,,
A4,TR,2885,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C2,TR,2889,,,QUEAGR,1,0,0,1,4,,,,,,,,,
C2,TR,2889.1,,,QUEAGR,1,0,0,1,4,,,,,,,,,
C3,TR,2891,,,QUEGAR,1,0,1,1,99,,,,,,,,,
C4,TR,2892,,,QUEGAR,1,0,0,1,99,,,,,,,,,
C3,SA,5625,,,UMBCAL,0,1,,,,10.9,,1,,,,,,
C4,SA,5626,,,UMBCAL,0,1,,,,11.3,,1,,,,,,
D4,TR,2893,,,QUEAGR,1,0,1,1,4,,,,,,,,,
D4,TR,2895,,,QUEAGR,1,0,1,0,3,,,,,,,,,
D4,TR,2895.1,,,QUEAGR,1,0,1,1,3,,,,,,,,,
D4,TR,2896,,,QUEAGR,1,0,0,1,4,,,,,,,,,
D3,TR,2897,,,QUEAGR,1,1,1,1,4,,,,,,0,,,TOO SMALL FOR BD
D3,TR,2897.1,,,QUEAGR,1,0,1,1,4,,,,,,,,,
D2,SA,5624,,,UMBCAL,0,1,,,,19.1,0.25,0,,,,,,
D1,TR,2898,,,QUEAGR,1,0,0,1,4,,,,,,,,,
D1,TR,2898.1,,,QUEAGR,1,0,0,1,3,,,,,,,,,
D1,TR,2899,,,QUEAGR,1,0,1,1,2,,,,,,,,,
D1,TR,2900,,,QUEAGR,1,0,0,1,4,,,,,,,,,
