Plot ID,1333,,Sampler(s),"MF, CM, RF",,,,,Date ,20201203,,,,,,,,,
Notes,deleted 5661- bc was listed as typo 3361 in 2019 data qc- had no data ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D1,TR,3398,,,QUEGAR,0,1,0,0,0,,0.59,,,60.5,1,,,
C1,TR,3370,,,QUEAGR,0,1,0,0,0,,1.14,,,77.3,2,,,TAG MOVED TO BASE
C1,SA,3369,,,UMBCAL,0,0,,,,,,,,,,1,,
C1,TR,3368,,,QUEGAR,1,1,0,1,99,,,,,,,,,
C1,TR,3371,,,QUEGAR,1,0,0,1,99,,,,,,,,,
C1,TR,3372,,,QUEAGR,0,0,0,0,0,,,,,,,1,,fallen- base not found
B1,TR,3366,,,QUEGAR,1,1,0,1,99,,,,,,,,,
B1,SA,3364,,,UMBCAL,1,1,1,1,4,,,,,137.5,29,,,
B1,SA,5657,,,UMBCAL,0,1,,,,26.6,0.24,2,,,,,,
B1,SA,5656,,,UMBCAL,0,1,,,,35.2,0.29,2,,,,,,
D2,TR,3399,,,QUEAGR,0,0,0,0,0,,,,,,,,,fallen- basal also dead
A1,TR,3344,,,QUEKEL,0,0,0,0,0,,,,,,,,,
D2,TR,3399.1,,,QUEAGR,0,0,0,0,0,,,,,,,,,fallen with .0
A2,SA,3339,,,UMBCAL,0,1,,,,39.6,0.54,2,,,,,,
C2,TR,3362,,,UMBCAL,1,1,1,1,2,,,,,52.9,1,,,
A1,SA,3340,,,UMBCAL,0,1,,,,20.3,0.23,2,,,,,,
C2,SA,3373,,,UMBCAL,0,0,,,,,,,,,,,,NOT found in 19 or 20
A1,TR,3343,,,QUEKEL,1,0,0,1,99,,,,,,,,,changed from quegar to match other yrs- mkqc2022
A1,TR,3342,,,UMBCAL,1,1,1,1,4,,,,,115.8,1,,,
A1,SA,3345,,,UMBCAL,0,1,,,,33,0.26,1,,,,,,
A1,TR,3327,,,PSEMEN,0,0,0,0,0,,,,,,,1,,
B2,TR,3363,,,QUEKEL,1,0,1,1,99,,,,,,,,,
A2,SA,5676,,,UMBCAL,0,1,,,,16.8,0.23,0,,,,,,
A2,SA,5679,,,UMBCAL,0,1,,,,21.5,0.11,2,,,,,,
A2,SA,5680,,,UMBCAL,0,1,,,,25.9,0.2,2,,,,,,
A2,SA,5678,,,UMBCAL,0,1,,,,18.1,0.11,1,,,,,,
A2,SA,5677,,,UMBCAL,0,1,,,,17.8,0.12,0,,,,,,
A3,TR,3348,,,QUEKEL,1,0,0,1,99,,,,,,,,,
A2,SA,3347,,,UMBCAL,0,1,,,,28.2,0.26,0,,,,,,
A3,SA,5673,,,UMBCAL,0,1,,,,16.9,0.31,1,,,,,,
A2,SA,5675,,,UMBCAL,0,1,,,,15,0.07,0,,,,,,
A3,SA,5674,,,UMBCAL,0,1,,,,10.2,0.14,0,,,,,,BD @ 5CM
B3,SA,5671,,,UMBCAL,0,1,,,,24.2,0.21,3,,,,,,
B3,SA,3359,99,144,UMBCAL,0,1,,,,17,0.11,5,,,,,,"was typo dup 3354- but based on xy and size, made this one 3359 mkqc2022"
B3,SA,3358,,,UMBCAL,0,1,,,,26,0.37,5,,,,,,IN B3 NOT B4
B3,SA,5670,,,UMBCAL,0,1,,,,17.3,0.06,1,,,,,,
B3,SA,5667,,,UMBCAL,0,1,,,,25.7,0.2,0,,,,,,
B3,SA,3354,,,UMBCAL,0,1,,,,46,0.48,4,,,,,,
B3,SA,3355,410,416,UMBCAL,0,1,,,,24.9,0.2,2,,,,,,
B3,SA,5666,,,UMBCAL,0,1,,,,20,0.18,0,,,,,,
B3,SA,3360,,,UMBCAL,0,0,,,,,,,,,,,,TAG NOT FOUND
B3,SA,5669,,,UMBCAL,0,0,,,,,,,,,,,,DEAD IN 19 NOT FOUND was typo 5667 dup - mkqc2022
B3,SA,5668,165,425,UMBCAL,0,0,,,,,,,,,,,,BF
C3,TR,3374,,,UMBCAL,1,1,1,1,2,,,,,,,,,
C3,TR,3374.1,,,UMBCAL,0,0,0,0,0,,,,,66.4,2,,,
C3,TR,3374.2,,,UMBCAL,0,0,0,0,0,,,,,,,,,
C3,SA,3357,,,UMBCAL,0,0,,,,,,,,,,1,,
D3,TR,3391,,,QUEGAR,1,1,0,1,99,,,,,,,,,
D3,SA,3392,,,UMBCAL,0,1,,,,25.8,0.31,2,,,,,,
D3,SA,3394,,,UMBCAL,0,0,,,,,,,,,,,,BF
D3,SA,3390,,,UMBCAL,0,0,,,,,,,,,,1,,
D4,SA,5658,,,UMBCAL,0,1,,,,58.6,0.5,6,,,,,,
C4,SA,3379,,,UMBCAL,0,0,,,,,,,,,,,,BF
C4,SA,5660,,,UMBCAL,0,1,,,,39.1,0.31,0,,,,,,
V4,SA,5665,,,UMBCAL,0,1,,,,24.5,0.29,1,,,,,,
V4,SA,3350,,,QUEAGR,1,1,1,,,,,,,,,,,
D4,TR,3386,,,QUEAGR,0,0,0,0,0,,,,,,,,,FALLEN TAG NOT FOUND
D4,SA,5659,,,UMBCAL,0,1,,,,25.9,0.41,3,,,,,,
B4,SA,3351,,,UMBCAL,0,1,,,,56.4,0.48,4,,,,,,
B4,SA,6410,,,UMBCAL,0,1,,,,19.4,0.13,2,,,,,,
D4,SA,3389,,,UMBCAL,0,0,,,,,,,,,,1,,
B4,SA,3352,,,UMBCAL,0,1,,,,28.8,0.36,3,,,,,,
C1,SA,6440,,,BACPIL,0,0,,,,,,,,,,,,NOT FOUND NO XY
A4,SA,3349,,,UMBCAL,0,0,,,,,,,,,,,,BF
