Plot ID,1337,,Sampler(s),"MF, CM, TT, MK ",,,,,Date ,20210114,,,,,,,,,
Notes,6339 AND 6340 TAGS FOUND IN B2. On seedlings sheet is a list of DBH's for resprouts that are now technically trees- not entered anywhere,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D4,TR,3321,,,PSEMEN,0,0,0,0,0,,,,,,,,,
D4,SA,6394,,,BACPIL,1,0,,,,117.1,1.72,0,,,,,,
D3,TR,3298,,,ARBMEN,0,0,0,0,0,,,,,,,1,,DOSER KILL
D3,TR,3298.1,,,ARBMEN,0,0,0,0,0,,,,,,,1,,DOSER KILL
D3,TR,3298.2,,,ARBMEN,0,0,0,0,0,,,,,,,1,,DOSER KILL
D3,SA,3296,,,QUEAGRI,0,0,,,,,,,,,,1,,DOSER KILL
D3,TR,3337,,,PSEMEN,0,0,0,0,0,,,,,,,,,
D2,SA,6398,,,BACPIL,1,0,,,,146.5,1.45,1,,,,,,
D2,SA,5801,,,BACPIL,0,0,,,,,,,,,,,,NOT FOUND 
D2,SA,3314,,,QUEAGRI,0,0,,,,,,,,,,,,NOT FOUND 
D1,TR,3312,,,PSEMEN,1,0,0,1,2,,,,,,,,,
D1,TR,3229,352,235,PSEMEN,1,0,0,1,3,,,,,,,,,TAG TYPO IN 19DB
D1,TR,3193,,,PSEMEN,1,0,0,1,4,,,,,,,,,
D1,TR,3316,,,QUEKEL,1,0,1,1,99,,,,,,,,,
D1,TR,3313,,,PSEMEN,0,0,0,0,0,,,,,,,,,
C1,TR,3310,,,PSEMEN,0,0,0,0,0,,,,,,,,,
C2,SA,6397,,,BACPIL,1,0,,,,104.6,0.66,0,,,,,,
C2,SA,5787,,,UMBCAL,1,0,,,,116.6,1.14,0,,,,,,OG DIED IN TUBS
C2,TR,3084,,,ARBMEN,0,1,0,0,0,,2.21,,,168.2,1,,,QUAD TYPO IN 19 DB
C2,TR,3336,,,PSEMEN,1,0,1,1,2,,,,,,,,,QUAD TYPO IN 19 DB
C3,SA,5786,,,BACPIL,0,0,,,,,,,,,,,,"NOT FOUND, DOSER KILL"
C3,SA,6395,,,BACPIL,0,0,,,,,,,,,,,,"NOT FOUND, DOSER KILL"
C3,SA,6396,,,BACPIL,0,0,,,,,,,,,,,,"NOT FOUND, DOSER KILL"
C4,TR,3330,,,PSEMEN,0,0,0,0,0,,,,,,,,,
C4,TR,3329,,,PSEMEN,0,0,0,0,0,,,,,,,,,
C4,TR,3304,,,ARBMEN,1,1,1,1,4,,2.83,,2.05,,,,,"TAG MOVED TO BSPRT, DBH OF RSPRT, OG DEAD, all data is for bsprout. Note somehow that OG died - when did it die? 2019? This is problematic for database "
C4,SA,5788,,,QUEAGRI,1,0,,,,70.8,0.68,2,,,,,,
C4,SA,5789,,,BACPIL,1,0,,,,183.4,3.2,0,,,,,,
A1,SA,6984,460,280,BACPIL,1,0,,,,101,1.28,0,,,,,,NEW SA
A4,TR,3280,,,ARBMEN,0,1,0,0,0,,1.56,,,179.9,1,,,
A4,TR,3280.1,,,ARBMEN,0,0,0,0,0,,,,,,,,,NOT FOUND 
A4,TR,3285,,,PSEMEN,1,0,0,1,2,,,,,,,,,
A4,SA,3281,,,UMBCAL,1,0,,,,91.8,0.83,0,,,,,,
A4,TR,3279,,,ARBMEN,0,0,0,0,0,,,,,,,,,NOT FOUND
A4,TR,3280.2,65,246,ARBMEN,1,1,0,1,,,1.08,,2.62,145.5,,,,NEW TR
A3,SA,3276,,,QUEAGRI,0,1,,,,,0.67,4,,61.6,2,,,TYPE BLANK IN 19
A3,TR,3277,,,ARBMEN,0,0,0,0,0,,,,,,,,,"NOT FOUND, DOSER KILL?"
A3,TR,3277.1,,,ARBMEN,0,0,0,0,0,,,,,,,,,"NOT FOUND, DOSER KILL?"
A2,SA,6339,,,BACPIL,0,1,,,,37.9,0.35,4,,,,,,TAG RETURNED FROM B2
A3,SA,6340,,,BACPIL,0,1,,,,26.2,1.34,4,,,,,,TAG RETURNED FROM B2
A3,SA,3278,,,ARBMEN,0,0,,,,,,,,,,,,"NOT FOUND, DOSER KILL"
A3,SA,3322,,,ARBMEN,0,0,,,,,,,,,,,,"NOT FOUND, DOSER KILL"
A3,TR,3268,,,ARBMEN,0,0,0,0,0,,,,,,,1,,"TAG FOUND, PULLED "
A3,SA,6463,,,BACPIL,0,0,,,,,,,,,,,,"NOT FOUND, DOSER KILL (was typo arbmen- changed to match 2019-mkqc2022)"
A2,TR,3272,,,ARBMEN,0,0,0,0,0,,,,,,,1,,TAG ON FLOATING BRANCH
A2,TR,3269,,,UMBCAL,1,1,1,1,5,204.1,2.87,3,,,3,,,SA RSPRTS HAVE DBH
A2,SA,3270,,,PSEMEN,0,0,0,0,0,,,,,,,,,"DEAD ON GROUND, NO TAG"
A2,TR,3273,,,UMBCAL,0,0,0,0,0,,,,,,,,,"NOT FOUND, DOSER KILL"
A2,SA,3271,,,ARBMEN,0,0,,,,,,,,,,,,"NOT FOUND, ALSO NOT FOUND IN 19"
A2,TR,3274,,,ARBMEN,0,0,0,0,0,,,,,,,,,"DOSER KILL, PULLED FROM B2"
A1,TR,3197,,,PSEMEM,0,0,0,0,0,,,,,,,,,
A1,TR,3198,,,ARBMEN,0,1,0,0,0,,3.06,,,184.6,6,,,
A1,SA,3264,,,UMBCAL,0,1,,,,234.8,2.8,2,,,,,,
C4,TR,3302,,,ARBMEN,1,1,1,1,4,,3.08,,1.92,149.6,1,TAG MOVED TO RSPRT,,
