Plot ID,1338,,Sampler(s),,"MF, MK, CM",,,,Date ,,20210120,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,SA,5791,,,PSEMEN,0,0,,,,,,,,,,1,,
A1,TR,2501,,,PSEMEN,1,0,0,1,4,,,,,,,,,
A1,SA,5790,,,UMBCAL,0,1,,,,29.9,0.33,3,,,,,,
A2,TR,2509,,,QUEAGRI,1,0,0,1,4,,,,,,,,,
A2,TR,2509.1,,,QUEAGRI,1,0,1,0,,,,,,,,,,
A2,TR,2509.2,,,QUEAGRI,1,0,0,1,2,,,,,,,,,
A2,TR,2509.3,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
A4,SA,5793,,,UMBCAL,0,1,,,,42,0.48,5,,,,,,
A4,TR,2512,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
A4,TR,2512.1,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
A4,SA,5792,,,UMBCAL,0,1,,,,54.1,0.47,1,,,,,,
A4,TR,2513,,,PSEMEN,1,0,0,1,4,,,,,,,,,
B1,TR,2517,,,QUEAGRI,1,0,0,1,4,,,,,,,,,
B1,TR,2517.1,,,QUEAGRI,0,0,0,0,0,,,,,,,1,,
B1,TR,2517.2,,,QUEAGRI,1,0,1,1,1,,,,,,,,,
B2,SA,2516,,,PSEMEN,0,0,,,,,,,,,,1,,
B2,SA,2515,,,PSEMEN,0,0,,,,,,,,,,1,,
C2,TR,2518,,,QUEAGRI,1,0,1,1,4,,,,,,,,,
C2,TR,2518.1,,,QUEAGRI,1,0,1,0,,,,,,,,,,TOP FELL OFF
C2,SA,5795,,,PSEMEN,0,0,,,,,,,,,,,,
D1,TR,2523,,,QUEAGRI,1,0,1,1,4,,,,,,,,,
D1,TR,2523.1,,,QUEAGRI,1,0,1,1,3,,,,,,,,,
D1,SA,5796,,,UMBCAL,0,1,,,,68.9,0.6,1,,,,,,mkqc2022- changed to sA and moved bsrpout height and count to sa height and#stems
C4,SA,6988,340,225,PSEMEN,1,0,,,,51.2,0.74,0,,,,,,NEW SA
D1,SA,2522,,,UMBCAL,0,1,,,,48.1,0.5,4,,,,,,NOT ON LIST; MAYBE 2511 (yep- fixed)
D1,SA,5884,,,UMBCAL,0,1,,,,24.5,0.2,6,,,,,,
D1,SA,5885,,,UMBCAL,0,1,,,,26.2,0.39,0,,,,,,
D1,SA,2511,,,UMBCAL,0,0,,,,,,,,,,,,NOT FOUND; IS THIS 2522 TYPO OR IS THIS IN THE WRONG QUAD?
D2,SA,2521,,,UMBCAL,0,1,,,,26,0.27,3,,,,,,
D2,SA,5794,,,UMBCAL,0,1,,,,19.1,0.21,3,,,,,,
D4,SA,2519,,,UMBCAL,1,0,,,,103.4,2.33,1,,,,,,
D4,TR,2520,,,QUEAGRI,1,0,1,1,4,,,,,,,,,
