Plot ID,PPW1347,,Sampler(s),"RF, MF, CM, BM",,,,,Date ,"20201201, 20201130",,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A4,TR,2947,,,QUEGAR,1,1,1,1,3,,,,,,0,0,,
A4,TR,2946,,,UMBCAL,0,1,0,0,0,,0.53,,,59.5,2,0,,
A4,TR,2951,,,UMBCAL,0,1,0,0,0,,0.69,,,66,6,0,,
A4,SA,6143,,,AMOCAL,1,1,,,,174.6,1.2,2,,,,0,,
A4,TR,2948,,,AMOCAL,0,1,0,0,0,,0.57,,,75.2,14,0,,
A4,SA,6836,,,AMOCAL,0,1,,,,68,0.49,14,,,,0,,
A4,SA,6147,,,UMBCAL,1,0,,,,51.1,0.83,0,,,,0,,
A4,SA,6141,,,QUEAGR,0,0,,,,198.3,1.37,3,,,,0,,BF
A4,SA,6144,,,AMOCAL,1,1,,,,,,,,,,0,,
A3,SA,2950,,,UMBCAL,0,0,,,,,,,,,,0,,
A3,TR,2944,,,UMBCAL,1,1,,,,,,,,,,0,1,
A3,TR,2944.1,,,UMBCAL,1,0,1,1,4,,,,,143,15,0,1,
A3,TR,2942,,,QUEGAR,0,1,1,1,4,,0.44,,,43.4,0,0,,MIS-WRITTEN AS 2492 IN LAST YEAR DATA
B3,TR,3014,,,UMBCAL,0,1,0,0,0,,0.63,,,76.9,17,0,,
B3,TR,3015,,,UMBCAL,0,1,0,0,0,,0.82,,,126,59,0,,
B3,TR,3015.1,,,UMBCAL,0,1,0,0,0,,0.45,,,56.4,1,0,,
A3,TR,2945,,,UMBCAL,0,0,0,0,0,,,,,,,0,,
A3,TR,2945.1,,,UMBCAL,0,1,0,0,0,,0.72,,,82.6,1,0,,
A3,TR,2943,,,UMBCAL,0,0,0,0,0,,,,,,,0,,TAG NOT FOUND
A2,TR,2941,,,UMBCAL,0,1,0,0,0,,0.65,,,82.7,13,0,,
A2,TR,2941.1,,,UMBCAL,0,1,0,0,0,,0.65,,,65.1,8,0,,
A2,TR,6142,,,AMOCAL,0,1,0,0,0,,0.51,,,89.3,12,0,,
A2,SA,2940,,,UMBCAL,0,0,,,,,,,,,,0,,TAG FLOATING/ BF
A1,TR,2938,,,QUEGAR,1,1,1,1,99,,,,,,0,0,,chnaged from queagri- mkqc 2022
A1,SA,2939,,,UMBCAL,0,0,,,,,,,,,,0,,
A1,SA,2934,,,UMBCAL,0,1,,,,49.1,0.35,6,,,,0,,
A1,TR,2935,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
A1,TR,2931,,,UMBCAL,0,0,0,0,0,,,,,,,0,,
A1,TR,2930,,,UMBCAL,1,1,1,1,4,,,,,117,37,0,,
A1,SA,2936,,,UMBCAL,0,0,,,,,,,,,,0,,
A1,SA,2929,,,UMBCAL,1,0,,,,61.1,1.29,0,,,,0,,
A1,SA,2933,,,UMBCAL,0,0,,,,,,,,,,0,,no survival info noted
A1,SA,6140,,,AMOCAL,1,1,,,,68.1,0.49,4,,,,0,,
B1,TR,2983,178,113,UMBCAL,0,0,0,0,0,,,,,,,0,,
B1,TR,2981,,,UMBCAL,0,1,0,0,0,,0.81,,,118.7,26,0,,
B1,TR,2980,,,PSEMEN,1,0,0,1,3,,,,,,,0,,
B1,TR,2979,,,UMBCAL,0,1,0,0,0,,0.64,,,84.5,12,0,,
B1,TR,2984,,,UMBCAL,0,1,0,0,0,,0.48,,,88.6,16,0,,
B1,TR,2985,,,UMBCAL,0,1,0,0,0,,0.81,,,97.2,37,0,,
B1,TR,2985.1,,,UMBCAL,0,1,0,0,0,,0.59,,,102.9,6,0,,
B1,SA,2986,,,UMBCAL,0,0,,,,,,,,,,0,,
B2,SA,6852,,,AMOCAL,1,1,,,,63.7,0.33,3,,,,0,,
B1,SA,6159,,,UMBCAL,0,0,,,,,,,,,,1,,FLOATING
B2,TR,2975,,,UMBCAL,0,1,0,0,0,,0.66,,,101.8,28,0,,
B2,TR,2975.1,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
B2,TR,2976,,,UMBCAL,0,1,0,0,0,,0.74,,,83.9,7,0,,
B2,SA,2977,,,QUEWIZ,0,0,,,,,,,,,,0,,BF
B2,TR,2978,,,UMBCAL,0,1,0,0,0,,0.82,,,128.2,21,0,,
B2,SA,6850,,,AMOCAL,0,1,,,,75,0.39,13,,,,0,,
B2,SA,2972,,,UMBCAL,0,0,,,,,,,,,,0,,BF
B3,TR,2967,,,PSEMEN,1,0,0,1,4,,,,,,,0,,
B2,SA,2969,,,UMBCAL,0,0,,,,,,,,,,0,,BF
B2,SA,6849,,,AMOCAL,0,0,,,,,,,,,,0,,BF
B3,SA,6148,321,48,AMOCAL,1,1,,,,69.3,0.46,4,,,,0,,
B3,SA,2968,,,QUEAGR,0,0,,,,,,,,,,0,,
B2,TR,2971,,,UMBCAL,0,0,,,,,,,,,,0,,BF
B2,SA,2973,,,UMBCAL,0,0,,,,,,,,,,0,,no survival info noted
B2,SA,6851,,,AMOCAL,0,1,,,,56.3,0.36,1,,,,0,,
B3,SA,2966,,,UMBCAL,0,1,,,,68.4,0.33,3,,,,0,,
B3,SA,2965,,,UMBCAL,1,0,,,,40.1,0.63,0,,,,0,,
B3,SA,6846,,,UMBCAL,0,1,,,,41.9,0.24,4,,,,0,,
B3,SA,2961,,,UMBCAL,0,1,,,,47.1,0.47,1,,,,0,,
B3,SA,2962,,,UMBCAL,0,1,,,,45.9,0.37,1,,,,0,,
B3,TR,2963,,,UMBCAL,0,1,0,0,0,,1.17,,,194.9,51,0,,
B3,TR,2963.1,,,UMBCAL,0,0,0,0,0,,,,,,,0,,
B3,TR,2963.2,,,UMBCAL,0,0,0,0,0,,,,,,,0,,
B3,TR,2963.3,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
B3,TR,2963.4,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
B3,TR,2963.5,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
B3,TR,2963.6,,,UMBCAL,0,0,0,0,0,,,,,,,1,,
B3,TR,2960,,,UMBCAL,0,1,0,0,0,,0.46,,,79.3,2,0,,
