Plot ID,1350,,Sampler(s),"MO, MK, MF, CM",,,,,Date ,20210113,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
A1,TR,4194,,,QUEAGRI,1,1,1,1,3,,,,,96.4,3,,,
A1,SA,4117,,,AMOCAL,0,1,,,,153.8,0.82,8,,,,,,
A1,TR,4196,,,HETARB,0,1,0,0,0,,1.14,,,128.6,4,,,NEW TAG
A1,TR,4196.1,,,HETARB,0,1,0,0,0,,1,,,155.8,3,,,
A1,TS,4196.3,,,HETARB,0,1,,,,,1.22,,,173.7,24,,,
A1,SA,4116,,,HETARB,0,1,,,,100,0.56,8,,,,,,IF TR 5 BSPROUTS >50 CM
A1,SA,4118,,,AMOCAL,0,1,,,,128.5,0.72,35,,,,,,
A1,TR,4120,,,UMBCAL,0,1,0,0,0,,1.07,,,113.4,7,,,
A1,SA,4119,,,AMOCAL,0,1,,,,175.9,1.04,4,,,,,,
A1,SA,6930,,,AMOCAL,0,1,,,,172.2,1.08,14,,,,,,
A1,SA,4067,,,AMOCAL,0,1,,,,211.9,1.1,17,,,,,,
A1,SA,4300,,,AMOCAL,0,1,,,,178.1,1.11,11,,,,,,
A1,SA,4160,,,AMOCAL,0,1,,,,101.6,0.52,13,,,,,,
A1,SA,4159,,,AMOCAL,0,1,,,,143.5,0.84,24,,,,,,
B1,SA,6932,,,AMOCAL,0,1,,,,72.2,0.48,3,,,,,,
B1,SA,6933,,,AMOCAL,0,1,,,,80,0.57,16,,,,,,
B1,SA,6027,,,AMOCAL,0,1,,,,81.5,0.57,7,,,,,,
B1,SA,6028,,,AMOCAL,0,1,,,,132.7,0.69,8,,,,,,
B1,SA,6931,,,AMOCAL,0,1,,,,70.2,0.52,5,,,,,,
B1,SA,4211,,,UMBCAL,0,0,,,,,,,,,,1,,
B1,TR,4261,,,QUEAGRI,1,1,1,0,1,,,,,67.4,2,,,SNAG
B1,TS,4208,,,QUEAGRI,1,0,,,,71.2,0.88,10,,,,,,
B1,TS,4207,,,QUEAGRI,1,0,,,,45.9,0.89,5,,,,,,
B1,SA,6026,,,AMOCAL,0,1,,,,92.2,0.67,6,,,,,,
B1,SA,6927,,,AMOCAL,0,1,,,,47.1,0.24,5,,,,,,
B1,SA,6025,,,AMOCAL,0,1,,,,86.6,0.52,8,,,,,,
B1,SA,6926,,,AMOCAL,0,1,,,,70.7,0.45,5,,,,,,
B1,TR,4215,,,PSEMEN,1,0,0,1,3,,,,,,,,,
C2,SA,4268,,,UMBCAL,0,1,,,,128.1,0.82,0,,,,,1,
D1,TR,4343,,,QUEAGRI,1,0,1,1,2,,,,,,,,,
D1,TR,4344,,,HETARB,0,0,0,0,0,,,,,,,,,DEAD IN '19; BLUE FLAGGED
D1,TR,4344.1,,,HETARB,0,1,0,0,0,,0.61,,,82.3,16,,,
D1,TR,4344.2,,,HETARB,0,1,0,0,0,,0.75,,,93.5,5,,,
D1,TR,4340,,,HETARB,0,1,0,0,0,,1.3,,,222.4,20,,,
D1,TR,4340.2,,,HETARB,0,1,0,0,0,,1.02,,,249.1,10,,,
D1,TR,4340.5,,,HETARB,0,1,0,0,0,,1.19,,,188.4,4,,,
D1,TR,4340.6,,,HETARB,0,1,0,0,0,,0.77,,,120.3,13,,,
D1,TR,4340.8,,,HETARB,0,1,0,0,0,,0.33,,,59.5,1,,,
D1,TR,4336,,,HETARB,0,1,0,0,0,,1.45,,,216.5,14,,,
D1,TR,4336.1,,,HETARB,0,1,0,0,0,,1.21,,,199.4,12,,,
D1,SA,4263,,,AMOCAL,0,1,,,,142.5,0.85,11,,,,,,
D1,SA,6059,,,AMOCAL,0,1,,,,167.6,0.79,3,,,,,,MISLABELED AS 6095 IN '19 DB
D2,TR,4328,,,UMBCAL,0,1,0,0,0,,1.52,,,194,3,,,
D2,TR,4321,,,UMBCAL,0,1,0,0,0,,1.37,,,90.7,2,,,
D2,SA,4327,,,AMOCAL,0,1,,,,185.8,1,18,,,,,,
D2,SA,6916,,,AMOCAL,0,1,,,,151.9,0.91,2,,,,,,
D2,SA,4329,,,AMOCAL,0,1,,,,96.6,0.63,14,,,,,,
D2,SA,6058,,,AMOCAL,0,1,,,,78.6,0.53,1,,,,,,
D2,SA,6914,,,AMOCAL,0,1,,,,73.4,0.48,4,,,,,,
D2,SA,4316,,,AMOCAL,0,1,,,,129.4,0.85,11,,,,,,
D2,TR,4315,,,HETARB,0,1,0,0,0,,0.63,,,88.5,4,,,
D2,TS,4315.1,,,HETARB,0,1,,,,152.5,0.91,9,,,,,,
D3,SA,4309,,,AMOCAL,0,1,,,,120.7,0.67,4,,,,,,
D2,TR,4333,,,HETARB,0,1,0,0,0,,0.8,,,153.5,20,,,
D2,TR,4333.3,,,HETARB,0,1,0,0,0,,0.61,,,155.6,5,,,
D2,TR,4333.5,,,HETARB,0,1,0,0,0,,1.25,,,217.4,19,,,
B1,TR,4204,,,QUEAGRI,1,0,1,1,4,,,,,,,,,
C1,SA,6029,,,AMOCAL,0,1,,,,84.8,0.62,3,,,,,,
C1,SA,6925,,,AMOCAL,0,1,,,,98.2,0.66,0,,,,,,
C2,SA,4247,,,AMOCAL,0,1,,,,159.2,0.98,8,,,,,,
C1,SA,4225,,,AMOCAL,0,1,,,,94.1,0.8,13,,,,,,
C1,SA,4224,,,UMBCAL,0,1,,,,66.4,0.63,5,,,,,,
C1,TR,4226,,,UMBCAL,0,0,0,0,0,,,,,,,,,
C1,SA,4230,,,AMOCAL,0,1,,,,155,0.76,5,,,,,,
A2,TR,4170,,,PSEMEN,1,0,0,1,3,,,,,,,,,
A2,TR,4177,,,PSEMEN,1,0,0,1,4,,,,,,,,,TYPO IN '19 DB; 1477
A2,TR,4166,,,PSEMEN,1,0,0,1,4,,,,,,,,,
A2,SA,4188,,,UMBCAL,0,1,,,,75.3,0.74,3,,,,,,
A2,SA,4182,,,AMOCAL,0,1,,,,137.1,0.92,8,,,,,,
A2,SA,4169,,,AMOCAL,0,1,,,,175.6,0.91,15,,,,,,
A2,SA,4176,,,UMBCAL,0,1,,,,21.6,0.22,1,,,,,,
