"","Plot","Quad","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y"
"1","PPW1301","A1",526264.974547508,4270350.56712872,-234777.971296341,66134.1789760576,-122.698450139475,38.5812351116177
"2","PPW1301","A2",526266.078635007,4270354.92603497,-234776.730280348,66138.5082957917,-122.698437299277,38.5812743608982
"3","PPW1301","A3",526267.182722507,4270359.28494122,-234775.489264309,66142.8376154532,-122.698424459064,38.5813136101771
"4","PPW1301","A4",526268.286810008,4270363.64384747,-234774.248248228,66147.1669350313,-122.698411618838,38.5813528594542
"5","PPW1301","B1",526269.819185007,4270349.34228497,-234773.172708318,66132.7989474465,-122.698394564759,38.5812239301621
"6","PPW1301","B2",526270.922897507,4270353.70100372,-234771.932072671,66137.1280913241,-122.698381728845,38.5812631777579
"7","PPW1301","B3",526272.026610007,4270358.05972247,-234770.69143698,66141.4572351282,-122.698368892917,38.581302425352
"8","PPW1301","B4",526273.130322508,4270362.41844122,-234769.450801245,66145.786378846,-122.698356056975,38.5813416729443
"9","PPW1301","C1",526274.663822508,4270348.11744122,-234768.374120352,66131.4189187395,-122.69833899006,38.5812127486801
"10","PPW1301","C2",526275.767160007,4270352.47597247,-234767.133865053,66135.7478867676,-122.698326158431,38.5812519945912
"11","PPW1301","C3",526276.870497507,4270356.83450372,-234765.893609709,66140.0768547086,-122.698313326787,38.5812912405005
"12","PPW1301","C4",526277.973835007,4270361.19303497,-234764.653354321,66144.40582257,-122.698300495129,38.5813304864081
"13","PPW1301","D1",526279.508460007,4270346.89259747,-234763.575532449,66130.0388899469,-122.698283415379,38.5812015671718
"14","PPW1301","D2",526280.611422507,4270351.25094122,-234762.335657496,66134.3676821096,-122.698270588034,38.5812408113981
"15","PPW1301","D3",526281.714385006,4270355.60928497,-234761.095782497,66138.6964741983,-122.698257760674,38.5812800556227
"16","PPW1301","D4",526282.817347507,4270359.96762872,-234759.855907457,66143.0252662017,-122.6982449333,38.5813192998455
"17","PPW1302","A1",525449.933154858,4269577.83511644,-235616.374979351,65386.33190409,-122.707835777447,38.574295067415
"18","PPW1302","A2",525451.159673608,4269582.67799144,-235614.996347174,65391.1419336032,-122.707821520453,38.5743386757656
"19","PPW1302","A3",525452.386192357,4269587.52086644,-235613.617714945,65395.9519630186,-122.707807263443,38.5743822841142
"20","PPW1302","A4",525453.612711108,4269592.36374143,-235612.239082662,65400.7619923339,-122.707793006415,38.5744258924605
"21","PPW1302","B1",525454.572573609,4269576.66224144,-235611.779662492,65385.0104324631,-122.707782560564,38.5742843646363
"22","PPW1302","B2",525455.798729859,4269581.50486644,-235610.401400164,65389.8202231391,-122.707768307712,38.5743279707378
"23","PPW1302","B3",525457.024886108,4269586.34749144,-235609.023137781,65394.6300137145,-122.707754054842,38.5743715768373
"24","PPW1302","B4",525458.251042358,4269591.19011643,-235607.644875344,65399.4398041978,-122.707739801954,38.5744151829345
"25","PPW1302","C1",525459.21199236,4269575.48936644,-235607.18434569,65383.6889607417,-122.707729343698,38.5742736618334
"26","PPW1302","C2",525460.437786109,4269580.33174144,-235605.806453206,65388.4985125875,-122.707715094986,38.5743172656859
"27","PPW1302","C3",525461.663579859,4269585.17411644,-235604.42856067,65393.3080643294,-122.707700846257,38.5743608695362
"28","PPW1302","C4",525462.889373609,4269590.01649143,-235603.050668079,65398.117615975,-122.70768659751,38.5744044733844
"29","PPW1302","D1",525463.85141111,4269574.31649144,-235602.589028941,65382.3674889426,-122.707676126848,38.5742629590065
"30","PPW1302","D2",525465.076842359,4269579.15861644,-235601.211506304,65387.1768019507,-122.707661882276,38.5743065606098
"31","PPW1302","D3",525466.30227361,4269584.00074143,-235599.833983612,65391.9861148535,-122.707647637687,38.574350162211
"32","PPW1302","D4",525467.527704859,4269588.84286643,-235598.456460869,65396.7954276693,-122.707633393081,38.5743937638101
"33","PPW1303","A1",526145.974982955,4269066.70698715,-234937.603308709,64852.4901405261,-122.699864509742,38.569668617374
"34","PPW1303","A2",526147.145595454,4269071.32886215,-234936.287517256,64857.0806698934,-122.699850898908,38.5697102347884
"35","PPW1303","A3",526148.316207954,4269075.95073714,-234934.971725751,64861.6711991699,-122.699837288057,38.569751852201
"36","PPW1303","A4",526149.486820453,4269080.57261214,-234933.655934198,64866.2617283617,-122.699823677191,38.5697934696116
"37","PPW1303","B1",526150.753945456,4269065.49886215,-234932.869787398,64851.1289358856,-122.699809696963,38.569657589204
"38","PPW1303","B2",526151.924182956,4269070.12048715,-234931.554378272,64855.7192268176,-122.699796090413,38.5696992043701
"39","PPW1303","B3",526153.094420455,4269074.74211214,-234930.238969097,64860.3095176546,-122.699782483847,38.5697408195343
"40","PPW1303","B4",526154.264657955,4269079.36373714,-234928.923559873,64864.8998084026,-122.699768877265,38.5697824346965
"41","PPW1303","C1",526155.532907957,4269064.29073715,-234928.136266144,64849.7677311585,-122.699754884201,38.5696465610084
"42","PPW1303","C2",526156.702770457,4269068.91211214,-234926.821239346,64854.357783644,-122.699741281935,38.5696881739262
"43","PPW1303","C3",526157.872632957,4269073.53348714,-234925.506212501,64858.9478360447,-122.699727679654,38.569729786842
"44","PPW1303","C4",526159.042495456,4269078.15486214,-234924.191185607,64863.5378883532,-122.699714077357,38.5697713997559
"45","PPW1303","D1",526160.311870459,4269063.08261215,-234923.402744945,64848.4065263341,-122.699700071455,38.5696355327872
"46","PPW1303","D2",526161.481357958,4269067.70373715,-234922.088100478,64852.9963403828,-122.699686473475,38.5696771434566
"47","PPW1303","D3",526162.650845458,4269072.32486214,-234920.773455963,64857.5861543482,-122.699672875478,38.5697187541241
"48","PPW1303","D4",526163.820332958,4269076.94598714,-234919.458811397,64862.1759682186,-122.699659277465,38.5697603647897
"49","PPW1304","A1",525946.922781985,4269219.67763391,-235131.500242398,65011.9651209782,-122.702143754254,38.5710530097883
"50","PPW1304","A2",525948.073172611,4269224.21954016,-235130.207186747,65016.4762219554,-122.702130379575,38.5710939073827
"51","PPW1304","A3",525949.223563236,4269228.76144641,-235128.91413105,65020.9873228515,-122.70211700488,38.5711348049752
"52","PPW1304","A4",525950.373953861,4269233.30335267,-235127.621075307,65025.4984236602,-122.70210363017,38.5711757025658
"53","PPW1304","B1",525951.617597609,4269218.49079016,-235126.850063613,65010.6278967992,-122.702089905224,38.5710421769255
"54","PPW1304","B2",525952.767619484,4269223.03250891,-235125.557382069,65015.138821722,-122.702076534757,38.5710830728347
"55","PPW1304","B3",525953.91764136,4269227.57422766,-235124.264700474,65019.6497465596,-122.702063164273,38.571123968742
"56","PPW1304","B4",525955.067663236,4269232.11594641,-235122.972018835,65024.1606713124,-122.702049793775,38.5711648646475
"57","PPW1304","C1",525956.312413234,4269217.30394641,-235122.199884882,65009.2906725323,-122.702036056211,38.5710313440379
"58","PPW1304","C2",525957.462066358,4269221.84547766,-235120.907577442,65013.8014213964,-122.702022689955,38.5710722382619
"59","PPW1304","C3",525958.611719484,4269226.38700891,-235119.615269954,65018.3121701782,-122.702009323683,38.5711131324841
"60","PPW1304","C4",525959.761372609,4269230.92854017,-235118.322962418,65022.8229188691,-122.701995957396,38.5711540267045
"61","PPW1304","D1",525961.007228858,4269216.11710266,-235117.549706208,65007.9534481792,-122.701982207214,38.5710205111256
"62","PPW1304","D2",525962.156513233,4269220.65844641,-235116.25777287,65012.4640209829,-122.701968845169,38.5710614036645
"63","PPW1304","D3",525963.305797609,4269225.19979016,-235114.965839487,65016.9745937116,-122.701955483109,38.5711022962015
"64","PPW1304","D4",525964.455081982,4269229.74113392,-235113.673906058,65021.4851663415,-122.701942121034,38.5711431887367
"65","PPW1305","A1",526060.78925872,4269631.62838121,-235004.707878317,65420.8193531903,-122.700821250616,38.5747621331569
"66","PPW1305","A2",526061.900108721,4269636.01428746,-235003.459259085,65425.1755055035,-122.70080833424,38.5748016258736
"67","PPW1305","A3",526063.010958721,4269640.40019371,-235002.210639809,65429.53165774,-122.700795417849,38.5748411185885
