Plot,Subplot,Num,UTM.E,UTM.N,Species,Survival,Basal,Epicormic,Apical,PercLivingCanopy,DBH_cm,BasalResproutHeight,BasalResproutCount,Notes
2152,C2,11001,527371,4269668,QUEAGRI,1,0,1,0,1,24,,,
2152,C2,11001.1,527371,4269668,QUEAGRI,0,0,0,0,0,16,,,
2152,C2,11001.2,527371,4269668,QUEAGRI,0,0,0,0,0,11.2,,,
2152,C2,99137,527371,4269668,PSEMEN,0,0,0,0,0,38.3,,,
2152,C2,11002,527365,4269675,ARBMEN,0,1,0,0,0,22.4,320,8,5.07 DBH/ BD 12.5
2152,C2,11002.1,527365,4269675,ARBMEN,0,1,0,0,0,10.1,,,
2152,C2,11003,527360,4269673,QUEAGRI,1,0,1,0,2,26.5,,,
2152,C2,11004,527361,4269672,QUEAGRI,1,1,1,0,1,23.4,172.8,1,"HAS .1 WITH 7.5 AND .2 W 4.9, BOTH DEAD WITH BASAL"
2152,C2,99138,527361,4269672,PSEMEN,0,0,0,0,0,22.8,,,
2152,C2,11005,527354,4269677,ARBMEN,0,1,0,0,0,24.9,600,13,
2152,C2,11005.1,527354,4269677,ARBMEN,0,1,0,0,0,19,,,
2152,C2,11005.2,527354,4269677,ARBMEN,0,1,0,0,0,15.2,,,
2152,C2,11005.3,527354,4269677,ARBMEN,0,1,0,0,0,12.8,,,
2152,C2,99139,527354,4269677,PSEMEN,0,0,0,0,0,30.7,,,
2152,C2,11006,527356,4269694,QUEAGRI,1,1,1,0,2,26.6,,,
2152,C2,11006.1,527356,4269694,QUEAGRI,0,1,0,0,0,12,,,
2152,C2,99140,527356,4269694,PSEMEN,0,0,0,0,0,34.5,,,
2152,B3,11007,527364,4269700,ARBMEN,0,1,0,0,0,23.8,,,
2152,B3,11007.1,527364,4269700,ARBMEN,0,1,0,0,0,14,,,
2152,B3,11007.2,527364,4269700,ARBMEN,0,1,0,0,0,16.5,,,
2152,B3,11007.3,527364,4269700,ARBMEN,0,1,0,0,0,11.6,,,
2152,B3,11007.4,527364,4269700,ARBMEN,0,1,0,0,0,13.2,,,
2152,B3,99141,527364,4269700,PSEMEN,0,0,0,0,0,27.5,,,
2152,B3,99142,527364,4269700,PSEMEN,0,0,0,0,0,22.9,,,
2152,B3,99143,527364,4269700,PSEMEN,0,0,0,0,0,29.6,,,
2152,B3,99144,527364,4269700,PSEMEN,0,0,0,0,0,21.7,,,
2152,B3,99145,527364,4269700,PSEMEN,0,0,0,0,0,20.5,,,
2152,B3,99146,527364,4269700,PSEMEN,0,0,0,0,0,38.5,,,
2152,B3,99147,,,PSEMEN,0,0,0,0,0,21.8,,,
2152,B3,11008,527376,4269713,ARBMEN,0,1,0,0,0,43.3,350,10,
2152,B3,11008.1,527376,4269713,ARBMEN,0,1,0,0,0,33.8,,,
2152,B3,11008.2,527376,4269713,ARBMEN,0,1,0,0,0,29.8,,,
2152,B3,11008.3,527376,4269713,ARBMEN,0,1,0,0,0,21.4,,,
2152,E1,11009,527432,4269646,QUEAGRI,1,1,1,1,3,47.8,106,12,
2152,E1,99148,,,PSEMEN,0,0,0,0,0,20.1,,,
2152,E1,11010,527407,4269694,QUEAGRI,1,1,1,0,1,33.3,141.4,1,
2152,E1,11010.1,527407,4269694,QUEAGRI,1,0,1,0,1,11.1,,,
2152,E1,99149,527406,4269647,QUEAGRI,0,0,0,0,0,22.9,,,
2152,D1,11011,527400,4269649,QUEAGRI,1,1,1,0,1,35,127.2,1,
2152,D1,11012,527393,4269647,QUEAGRI,1,1,1,0,2,29.5,87.1,1,
2152,D1,11012.1,527393,4269647,QUEAGRI,1,0,1,0,2,29.3,,,
2152,C1,11013,527384,4269651,QUEAGRI,1,0,1,0,2,25.8,,,
2152,C1,11013.1,527384,4269651,QUEAGRI,1,0,1,0,2,25.2,,,
2152,C1,11013.2,527384,4269651,QUEAGRI,1,0,1,0,2,21,,,
2152,C1,99150,527384,4269651,PSEMEN,0,0,0,0,0,62,,,
2152,C1,11014,527372,4269647,QUEAGRI,1,0,1,0,2,26.7,,,
2152,C1,11014.1,527372,4269647,QUEAGRI,1,0,1,0,1,32,,,
2152,C1,99151,527367,4269649,PSEMEN,0,0,0,0,0,29.3,,,
2152,C1,11015,527367,4269648,QUEAGRI,1,1,1,0,1,31.5,159.2,3,
2152,B1,11016,527360,4269647,QUEAGRI,0,1,0,0,0,28.2,265,5,
2152,B1,11016.1,527360,4269647,QUEAGRI,0,1,0,0,0,26,,,
2152,B1,99152,527352,4269649,PSEMEN,0,0,0,0,0,60.2,,,
2152,B1,11017,527349,4269653,QUEKEL,0,1,0,0,0,30.2,300,6,
2152,B1,11017.1,527349,4269653,QUEKEL,0,1,0,0,0,35,,,
2152,A1,11018,527343,4269658,QUEAGRI,1,0,1,0,1,31,,,
2152,A1,11018.1,527343,4269658,QUEAGRI,0,1,0,0,0,25.6,67.4,1,
2152,A1,99153,527340,4269656,PSEMEN,0,0,0,0,0,79,,,
2152,A1,11019,527331,4269653,QUEKEL,0,1,0,0,0,35.2,220,1,
2152,A1,99154,527324,4269646,PSEMEN,0,0,0,0,0,76,,,ATTACHED AT BASE WITH 99155
2152,A1,99155,527324,4269646,PSEMEN,0,0,0,0,0,32.2,,,ATTACHED AT BASE WITH 99154
2152,A1,99156,527322,4269655,PSEMEN,0,0,0,0,0,77.2,,,
2152,A1,99157,527323,4269661,PSEMEN,0,0,0,0,0,77.3,,,
2152,A1,99158,527323,4269661,PSEMEN,0,0,0,0,0,30.7,,,
2152,A2,11020,527324,4269673,ARBMEN,0,1,0,0,0,34.9,400,18,
2152,A2,11020.1,527324,4269673,ARBMEN,0,1,0,0,0,19,,,
2152,A2,11020.2,527324,4269673,ARBMEN,0,1,0,0,0,28,,,
