DATE,PLOT,INITALS,SPECIES,A2_cover,A2_pheno,A3_cover,A3_pheno,A4_cover,A4_pheno,B4_cover,B4_pheno,C4_cover,C4_pheno,D4_cover,D4_pheno,D3_cover,D3_pheno,D2_cover,D2_pheno,D1_cover,D1_pheno,C1_cover,C1_pheno,B1_cover,B1_pheno,A1_cover,A1_pheno,NOTES
20210423,1321,"MK,MF,ALN",ROSSPI,,,,,,,,,,,,,,,,,,,,,2,V,,,
20210423,1321,"MK,MF,ALN",TOXDIV,,,4,V,10,V,,,5,V,20,V,3,V,4,V,3,V,,,1,V,,,
20210423,1321,"MK,MF,ALN",ANIMAD,,,,,1,V,3,V,1,V,,,,,1,V,1,V,,,,,,,
20210423,1321,"MK,MF,ALN",PROHOO,,,,,8,FL,,,,,,,,,,,,,,,,,,,
20210423,1321,"MK,MF,ALN",TAUKEL,3,V,,,,,,,3,V,2,V,,,,,,,,,,,1,V,
20210423,1321,"MK,MF,ALN",GALAPA,2,FR,1,FR,,,,,1,FR,1,FR,1,FR,1,V,1,FR,2,FR,1,FR,1,FR,
20210423,1321,"MK,MF,ALN",TORARV,2,V,2,V,1,V,1,V,1,V,4,V,1,V,2,V,1,V,3,V,1,V,1,V,
20210423,1321,"MK,MF,ALN",LATVES,,,10,V,2,V,2,V,1,V,4,V,,,10,V,3,V,15,V,2,V,,,
20210423,1321,"MK,MF,ALN",VICSAT,,,,,,,,,,,3,FR,1,V,,,1,FL,1,V,,,,,
20210423,1321,"MK,MF,ALN",NEMHET,2,FR,,,,,,,1,FR,2,FR,1,FL,2,FR,1,FR,1,FR,,,1,FR,
20210423,1321,"MK,MF,ALN",DRYARG,,,,,,,,,,,1,V,,,,,,,,,,,,,
20210423,1321,"MK,MF,ALN",ADIJOR,,,,,,,,,,,,,,,,,,,,,,,,,
20210423,1321,"MK,MF,ALN",GALCAL,,,2,V,1,V,,,,,,,,,,,,,,,,,,,
20210423,1321,"MK,MF,ALN",STARIG,,,,,,,,,2,V,1,V,1,V,,,,,3,V,1,V,2,V,
20210423,1321,"MK,MF,ALN",TOXFRE,,,,,,,,,,,,,,,,,,,,,,,,,
20210423,1321,"MK,MF,ALN",FRIAFF,,,,,,,,,,,,,,,,,,,,,,,,,
20210423,1321,"MK,MF,ALN",OSMBER,,,,,,,1,V,,,1,V,1,V,,,,,1,V,1,V,2,FL,
20210423,1321,"MK,MF,ALN",SANCRA,,,3,V,,,1,V,2,V,4,V,,,3,V,,,3,V,2,V,1,V,
20210423,1321,"MK,MF,ALN",PENTRI,,,,,,,,,,,,,,,,,,,,,,,,,
20210423,1321,"MK,MF,ALN",MELGEY,,,,,,,2,V,,,,,,,3,V,,,2,FL,2,FL,,,
20210423,1321,"MK,MF,ALN",FESCAL,,,,,4,V,,,,,,,,,,,,,,,,,,,
20210423,1321,"MK,MF,ALN",SANLAC,,,,,,,,,,,,,,,,,1,V,2,V,,,,,
20210423,1321,"MK,MF,ALN",LONHIS,,,,,,,,,,,,,,,,,,,3,V,,,,,
20210423,1321,"MK,MF,ALN",BRIMAX,,,,,,,,,,,,,,,,,,,,,,,,,
20210423,1321,"MK,MF,ALN",TRILAT,,,,,,,,,,,,,,,,,,,,,,,,,
20210423,1321,"MK,MF,ALN",CYNGRA,,,,,,,,,,,,,,,,,,,,,,,,,
