plot,date,device,quad,reading,notes
PPW1301,20210514,4500,A1,3.6,
PPW1301,20210514,4500,A2,3.4,
PPW1301,20210514,1799,A3,4.8,
PPW1301,20210514,1799,A4,5.2,
PPW1301,20210514,1799,B4,3.3,
PPW1301,20210514,1799,B3,5,
PPW1301,20210514,4500,B2,2.1,
PPW1301,20210514,4500,B1,2,
PPW1301,20210514,4500,C1,2.8,
PPW1301,20210514,4500,C2,3.7,
PPW1301,20210514,1799,C3,3.7,
PPW1301,20210514,1799,C4,2.5,
PPW1301,20210514,1799,D4,3.5,
PPW1301,20210514,1799,D3,2.5,
PPW1301,20210514,4500,D2,2.9,
PPW1301,20210514,4500,D1,4.3,
PPW1302,20210514,1591,A1,5.8,
PPW1302,20210514,1591,A2,4.5,
PPW1302,20210514,1591,A3,11.8,
PPW1302,20210514,1591,A4,11.3,
PPW1302,20210514,1591,B4,9.9,
PPW1302,20210514,1591,B3,10.5,
PPW1302,20210514,1591,B2,3.7,
PPW1302,20210514,1591,B1,10.2,
PPW1302,20210514,1591,C1,8.2,
PPW1302,20210514,1591,C2,6.6,
PPW1302,20210514,1591,C3,5.9,
PPW1302,20210514,1591,C4,10.6,
PPW1302,20210514,1591,D4,4.3,
PPW1302,20210514,1591,D3,5.2,
PPW1302,20210514,1591,D2,6.9,
PPW1302,20210514,1591,D1,8.2,
PPW1303,20210515,4500,A1,7.1,
PPW1303,20210515,4500,A2,7.9,
PPW1303,20210515,1799,A3,3.8,
PPW1303,20210515,1799,A4,3.4,
PPW1303,20210515,1799,B4,12.9,
PPW1303,20210515,1799,B3,5.2,
PPW1303,20210515,4500,B2,9.9,
PPW1303,20210515,4500,B1,4.8,
PPW1303,20210515,4500,C1,3.4,
PPW1303,20210515,4500,C2,2.3,
PPW1303,20210515,1799,C3,7.9,
PPW1303,20210515,1799,C4,1.9,
PPW1303,20210515,1799,D4,3.3,
PPW1303,20210515,1799,D3,8.9,
PPW1303,20210515,4500,D2,6.9,
PPW1303,20210515,4500,D1,6.1,
PPW1304,20210515,1799,A1,3.8,
PPW1304,20210515,1799,A2,4.3,
PPW1304,20210515,1799,A3,3.9,
PPW1304,20210515,1799,A4,5.3,
PPW1304,20210515,1799,B4,3.8,
PPW1304,20210515,1799,B3,3.9,
PPW1304,20210515,1799,B2,2.6,
PPW1304,20210515,1799,B1,3.6,
PPW1304,20210515,4500,C1,5.2,
PPW1304,20210515,4500,C2,4.7,
PPW1304,20210515,4500,C3,9.2,
PPW1304,20210515,4500,C4,10.2,
PPW1304,20210515,4500,D4,10.8,
PPW1304,20210515,4500,D3,6.7,
PPW1304,20210515,4500,D2,5.1,
PPW1304,20210515,4500,D1,4.8,
PPW1305,20210514,1591,A1,NA,
PPW1305,20210514,1591,A2,1.1,
PPW1305,20210514,1591,A3,5.7,
PPW1305,20210514,1591,A4,7.8,
PPW1305,20210514,1591,B4,2.6,
PPW1305,20210514,1591,B3,3.8,
PPW1305,20210514,1591,B2,1.9,
PPW1305,20210514,1591,B1,NA,
PPW1305,20210514,1591,C1,NA,
PPW1305,20210514,1591,C2,2.6,
PPW1305,20210514,1591,C3,1,
PPW1305,20210514,1591,C4,1.1,
PPW1305,20210514,1591,D4,1.5,
PPW1305,20210514,1591,D3,NA,
PPW1305,20210514,1591,D2,2.2,
PPW1305,20210514,1591,D1,2.1,
PPW1306,20210515,4500,A1,8.6,
PPW1306,20210515,4500,A2,7.1,
PPW1306,20210515,4500,A3,11.9,
