Site,Species,Sample.number,E,N
RPH,QUEGAR,10704,526284,4270406
ST,QUEDUR,10713,527182,4268919
ST,HETARB,10714,527172,4268921
ST,ADEFAS,10715,527170,4268925
ST,HETARB,10716,527168,4268924
ST,ADEFAS,10717,527161,4268927
ST,HETARB,10718,527154,4268932
ST,HETARB,10719,527131,4268927
ST,ADEFAS,10720,527129,4268928
ST,ADEFAS,10721,527125,4268929
RPH,QUEAGRI,10722,526282,4270399
GH,CEACUN,10723,,
GH,CEAPAR,10724,,
GH,CEACUN,10725,,
GH,CEACUN,10726,,
GH,CEACUN,10727,,
GH,CEACUN,10728,,
GH,ADEFAS,10729,,
GH,ADEFAS,10730,,
GH,CEAPAR,10731,,
GH,CEAPAR,10732,,
GH,CEACUN,10733,,
GH,CEAPAR,10734,,
GH,CEAPAR,10735,,
GH,CEAPAR,10736,,
WTH,QUEAGRI,10800,526888,4269543
WTH,QUEDOU,10801,526879,4269570
WTH,QUEKEL,10803,526855,4269598
WTH,QUEAGRI,10805,526871,4269601
WTH,QUEKEL,10806,526861,4269664
WTH,QUEGAR,10864,526860,4269667
WTH,QUEGAR,10865,526877,4269647
BOH,QUEKEL,10894,526483,4270568
WTH,QUEKEL,10896,526840,4269579
WTH,QUEDOU,10898,526821,4269599
WTH,QUEKEL,10899,526820,4269604
WTH,UMBCAL,10956,526774,4269567
OSM,QUEAGRI,10959,526815,4269163
OSM,QUEAGRI,10960,526810,4269168
OSM,UMBCAL,10961,526819,4269162
OSM,UMBCAL,10962,526819,4269164
OSM,UMBCAL,10963,526817,4269174
OSM,UMBCAL,10964,526819,4269177
OSM,PSEMEN,10965,526839,4269159
RPH,QUEDOU,10966,526324,4270419
RPH,QUEDOU,10967,526270,4270420
RPH,QUEDOU,10968,526222,4270440
RPH,QUEAGRI,10969,526240,4270428
RPH,QUEGAR,10970,526313,4270403
RPH,QUEDOU,10971,526377,4270399
BOH,PSEMEN,10972,526507,4270563
BOH,QUEKEL,10973,526534,4270590
BOH,ARBMEN,10974,526524,4270606
BOH,ARBMEN,10975,526510,4270628
BOH,ARBMEN,10976,526511,4270638
BOH,ARBMEN,10977,526551,4270597
BOH,PSEMEN,10978,526550,4270575
BOH,PSEMEN,10979,526539,4270555
BOH,QUEGAR,10980,526663,4270723
BOH,QUEGAR,10981,526673,4270738
DCP,PSEMEN,10982,527182,4269198
DCP,PSEMEN,10983,527195,4269173
DCP,UMBCAL,10984,527141,4269258
DCP,ARBMEN,10985,527152,4269228
WTH,ARBMEN,10986,526870,4269682
ST,QUEDUR,10987,527160,4268963
ST,QUEDUR,10988,527191,4268939
ST,HETARB,10989,527192,4268939
ST,QUEDUR,10990,527215,4268940
ST,QUEDUR,10991,527204,4268918
ST,HETARB,10992,527202,4268917
ST,ADEFAS,10993,527200,4268919
ST,QUEDUR,10995,527193,4268917
ST,ADEFAS,10996,527190,4268916
RPH,BACPIL,12001,,
BG,BACPIL,12002,,
GH,BACPIL,12003,,
DCP,BACPIL,12004,,
