Site,Species,Sample.number,Alternate.number,DBH,Height,Date,Time ,Predawn.mean,Midday.mean,Leaf.weight.change,Stem.weight.change,Bulk.weight.change
BG,BACPIL,12002,,,120,20201010,PreDawn,1.38,2.30,NA,NA,11.0555
BOH,QUEKEL,10894,,68.7,,20211010,PreDawn,2.90,3.28,12.813,1.5125,NA
BOH,PSEMEN,10972,,31.3,,20211010,PreDawn,1.61,2.23,16.2421,3.48227,NA
BOH,QUEKEL,10973,,68.5,,20211010,PreDawn,1.86,2.63,12.2247,1.7647,NA
BOH,ARBMEN,10974,,38,,20211009,PreDawn,0.65,2.00,14.7521,1.84412,NA
BOH,ARBMEN,10975,,58.1,,20211010,PreDawn,1.64,2.88,12.8017,1.44889,NA
BOH,ARBMEN,10976,,53.9,,20211010,PreDawn,2.05,2.83,17.4094,1.3938,NA
BOH,ARBMEN,10977,,63,,20211010,PreDawn,0.68,1.98,21.9297,3.6364,NA
BOH,PSEMEN,10978,,63.2,,20211010,PreDawn,1.12,2.40,15.3884,2.7287,NA
BOH,PSEMEN,10979,,23.7,,20211010,PreDawn,0.75,2.30,15.3336,3.4425,NA
BOH,QUEGAR,10980,,27,,20211009,PreDawn,4.23,4.63,9.3594,1.578,NA
BOH,QUEGAR,10981,,66.5,,20211009,PreDawn,3.87,4.60,14.868,1.5908,NA
DCP,BACPIL,12004,,,,,,,,NA,NA,5.9112
DCP,PSEMEN,10982,,45.2,,20211009,PreDawn,1.20,2.75,11.2322,2.2317,NA
DCP,PSEMEN,10983,,35.3,,20211009,PreDawn,1.65,2.48,15.9577,3.73031,NA
DCP,UMBCAL,10984,,84.3,,20211009,PreDawn,1.93,2.93,7.39214,1.27088,NA
DCP,ARBMEN,10985,,17,,20211009,PreDawn,1.18,2.63,18.8359,4.7613,NA
GH,CEACUN,10723,,,,20211010,PreDawn,6.85,7.00,6.29351,3.1934,NA
GH,CEAPAR,10724,,,,20211010,PreDawn,2.95,4.23,NA,NA,8.3137
GH,CEACUN,10725,,,,20211010,PreDawn,3.63,6.10,NA,NA,14.2594
GH,CEACUN,10726,,,,20211010,PreDawn,3.58,NA,5.1259,3.0059,NA
GH,CEACUN,10727,,,,20211010,PreDawn,3.23,NA,NA,NA,7.4135
GH,CEACUN,10728,,,,20211010,PreDawn,4.23,NA,NA,NA,6.0639
GH,ADEFAS,10729,,,,20211010,PreDawn,1.80,5.43,NA,NA,9.4012
