plot,date,device,quad,reading,notes
PPW1301,20220514,4397,A1,6.4,
PPW1301,20220514,4397,A2,6,
PPW1301,20220514,4080,A3,8.9,
PPW1301,20220514,4080,A4,9.8,
PPW1301,20220514,4080,B4,8.2,
PPW1301,20220514,4080,B3,10.5,
PPW1301,20220514,4397,B2,7.4,
PPW1301,20220514,4397,B1,3.8,
PPW1301,20220514,4397,C1,2.6,
PPW1301,20220514,4397,C2,5.6,
PPW1301,20220514,4080,C3,8.6,
PPW1301,20220514,4080,C4,9.6,
PPW1301,20220514,4080,D4,9.4,
PPW1301,20220514,4080,D3,7.6,
PPW1301,20220514,4397,D2,4.3,
PPW1301,20220514,4397,D1,7.4,
PPW1302,20220514,4397,A1,6.2,
PPW1302,20220514,4397,A2,16.3,
PPW1302,20220514,4080,A3,16.2,
PPW1302,20220514,4080,A4,13.9,
PPW1302,20220514,4080,B4,25.8,
PPW1302,20220514,4080,B3,14.9,
PPW1302,20220514,4397,B2,7.9,
PPW1302,20220514,4397,B1,10.6,
PPW1302,20220514,4397,C1,9.7,
PPW1302,20220514,4397,C2,6.2,
PPW1302,20220514,4080,C3,10.7,
PPW1302,20220514,4080,C4,10.9,
PPW1302,20220514,4080,D4,12.7,
PPW1302,20220514,4080,D3,11.3,
PPW1302,20220514,4080,D2,10.8,"gap on probe, 3/4 in - too rocky"
PPW1302,20220514,4397,D1,12.2,
PPW1303,20220516,1591,A1,8.1,
PPW1303,20220516,1591,A2,6.9,
PPW1303,20220516,1591,A3,8.5,
PPW1303,20220516,1591,A4,8.3,
PPW1303,20220516,1591,B4,13.8,
PPW1303,20220516,1591,B3,10.4,
PPW1303,20220516,1591,B2,6.4,
PPW1303,20220516,1591,B1,5.5,
PPW1303,20220516,1591,C1,11.5,
PPW1303,20220516,1591,C2,12.4,
PPW1303,20220516,1591,C3,12.1,
PPW1303,20220516,1591,C4,13.5,
PPW1303,20220516,1591,D4,11.4,
PPW1303,20220516,1591,D3,13.4,
PPW1303,20220516,1591,D2,11,
PPW1303,20220516,1591,D1,8,
PPW1304,20220516,1591,A1,10.5,
PPW1304,20220516,1591,A2,14.5,
PPW1304,20220516,1591,A3,14.1,
PPW1304,20220516,1591,A4,14.6,
PPW1304,20220516,1591,B4,14.6,
PPW1304,20220516,1591,B3,13.5,
PPW1304,20220516,1591,B2,10.8,
PPW1304,20220516,1591,B1,12.6,
