"","Plot","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y"
"1","PPW1501",526272,4270359,-234770.688120584,66142.3995284038,-122.698369162983,38.5813108998071
"2","PPW1507",525898,4270673,-235134.158454508,66468.6526975487,-122.70265136365,38.5841516170499
"3","PPW1509",522842,4273349,-238100.648663751,69244.8824056196,-122.737650789987,38.60835130607
"4","PPW1510",522793,4273554,-238143.063476729,69451.68962945,-122.738206855398,38.6101999991884
"5","PPW1512",522516,4272850,-238442.029181174,68755.5997349154,-122.741411130044,38.6038627149071
"6","PPW1515",524742,4271573,-236259.859788396,67406.433609853,-122.715891897377,38.592295277902
"7","PPW1521",524748,4269600,-236316.57129021,65430.7840457689,-122.715893062294,38.5745146508653
"8","PPW1522",525096,4269561,-235970.322538618,65380.6998538249,-122.711899473982,38.5741534219908
"9","PPW1524",523811,4272009,-237175.642444622,67872.4972679336,-122.726567389873,38.5962499213256
"10","PPW1525",526475,4270816,-234553.459933513,66593.5298996731,-122.696021174359,38.5854232971247
"11","PPW1532",524972,4271287,-236039.285977646,67112.7842190494,-122.713261129363,38.5897114402469
"12","PPW1535",525105,4271056,-235913.822431563,66877.2790274569,-122.711742309327,38.5876259447964
"13","PPW1538",524957,4269712,-236104.319214251,65536.2964536245,-122.713489761835,38.575518135741
"14","PPW1539",524913,4269874,-236143.10607288,65699.8941139234,-122.713989093923,38.5769792988478
"15","PPW1540",527214,4269298,-233863.800030156,65050.1965974164,-122.68759555169,38.5717209271493
"16","PPW1544",522877,4272890,-238080.284356173,68784.2041884959,-122.737263889298,38.6042139553024
"17","PPW1549",526510,4270454,-234530.018056603,66229.9690581691,-122.6956330891,38.5821599545684
"18","PPW2152",527374.999999999,4269696,-233690.385258128,65443.5864251014,-122.685731744524,38.5753027085881
