Plot,DEM,March.Rad,MaxJulT,MinJanT,TOPOID,TPI500,TPI100,PLP500,PLP100,AET,CWD,PET,UTM.E,UTM.N
PPW1301,378.8652954,548.0999756,30.77000046,4.489999771,5.319519997,-20.1793499,-5.562926769,32.24983978,38.48580551,311.2066667,794.1566,1105.363223,526265,4270350
PPW1302,379.6202087,712.7000122,30.62000084,4.590000153,6.05928421,17.80768013,4.528229237,63.09751511,52.68138885,355.8033267,1072.7866,1428.589873,525447,4269576
PPW1303,308.6712036,777,30.44000053,4.25,5.103748798,8.15234375,-1.228057981,51.21733475,51.41955948,455.2533133,988.1799,1443.43321,526143,4269065
PPW1304,346.699707,733.2000122,30.5,4.429999828,5.090052128,24.11141968,-0.155548096,62.2179718,54.25867462,436.4133133,1003.1732,1439.586543,525944,4269218
PPW1305,392.6185913,654.0999756,30.62999916,4.619999886,6.567770004,-1.749663949,0.346954286,45.21351242,49.52681351,376.2799967,913.3433,1289.623213,526058,4269630
PPW1306,382.114502,551.0999756,30.73999977,4.550000191,5.522512913,2.572235107,-0.02587891,50.82217789,60.88328171,312.1766667,803.2999,1115.47655,526022,4270886
PPW1307,404.7103882,512,30.62000084,4.710000038,5.014289856,-1.423491955,-2.719604015,54.64627075,53.62776184,298.7766667,714.4832,1013.25993,525888,4270668
PPW1308,128.1773071,545,30.29000092,3.309999943,6.616293907,-10.31847,-4.104476929,41.24920273,33.7539444,237.4066667,863.3766,1100.783203,522747,4273140
PPW1309,146.5948944,671.5,30.38999939,3.359999895,5.81812191,14.81441021,-0.02331543,66.19503021,50.1577301,293.7866667,1067.4332,1361.21987,522830,4273334
PPW1310,122.8123016,429.6000061,30.36000061,3.269999981,4.253316879,3.558166981,8.93195343,60.96876907,76.34069061,174.45,723.4066,897.8566133,522783,4273545
PPW1311,152.1024017,590.9000244,30.38999939,3.390000105,3.512634039,33.10314178,9.523788452,91.95665741,76.97161102,328.8566667,1046.8699,1375.726547,522491,4273327
PPW1312,121.8985977,630.0999756,30.19000053,3.299999952,7.054851055,-10.97533035,-4.892899036,37.85850906,50.47318649,280.6066667,972.7499,1253.356553,522503,4272837
PPW1313,144.5722046,499.7000122,30.26000023,3.380000114,5.688460827,-3.026245117,-2.428634882,55.76800537,49.52681351,211.9433333,782.2133,994.1565967,522844,4272670
PPW1314,153.5834961,650.7000122,30.29999924,3.400000095,5.992180824,-17.65810013,2.645232916,27.27852058,59.62145233,309.2833333,1016.3832,1325.666547,523238,4272549
PPW1315,256.3998108,522,30.80999947,3.920000076,6.982511997,-31.00655937,-5.67086792,18.77629089,39.74763489,294.29,777.2632,1071.55322,524734,4271564
PPW1316,272.1878967,809,30.86000061,3.980000019,3.659740925,-13.27035999,8.909454346,24.21924782,63.72239685,368.1099933,1147.6732,1515.783217,524769,4271725
PPW1317,254.8468018,636.7999878,30.82999992,3.900000095,4.538939953,-33.55899048,-1.530243039,11.47227573,39.11671829,367.32333,924.5699,1291.89321,524778,4271596
PPW1318,243.9013977,732.5,30.84000015,3.829999924,5.128850937,-28.55771065,-3.413512945,8.527724266,27.760252,333.09333,1115.7366,1448.829887,524608,4271846
PPW1319,248.2982025,588.0999756,30.78000069,3.880000114,7.912650108,-19.33406067,-1.864745975,24.4231987,43.53312302,244.1633333,931.3632,1175.526557,524509,4271779
PPW1320,283.7383118,560.4000244,30.10000038,4.329999924,5.181242943,18.37093925,2.939116955,70.89865875,50.78864288,273.6,905.4766,1179.076553,524372,4269329
PPW1321,290.3416138,441.6000061,30.19000053,4.309999943,5.099276066,-9.719787598,2.140625,48.75717163,58.67507935,183.78,731.6832,915.4632867,524739,4269591
PPW1322,306.1577148,600.5,30.29000092,4.329999924,9.451130867,-20.96100044,-4.418488026,33.35882568,38.8012619,278.48,943.3932,1221.87322,525084,4269552
