"Plot Title: PPW1350_10319261"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10319261, SEN S/N: 10319261)","RH, % (LGR S/N: 10319261, SEN S/N: 10319261)","Coupler Detached (LGR S/N: 10319261)","Bad Battery (LGR S/N: 10319261)","Good Battery (LGR S/N: 10319261)","End Of File (LGR S/N: 10319261)"
1,06/26/13 02:00:00 PM,21.032,88.125,Logged,,,
2,06/26/13 02:30:00 PM,21.437,86.655,,,,
3,06/26/13 03:00:00 PM,22.034,80.217,,,,
4,06/26/13 03:30:00 PM,22.034,87.015,,,,
5,06/26/13 04:00:00 PM,23.472,79.754,,,,
6,06/26/13 04:30:00 PM,23.400,79.481,,,,
7,06/26/13 05:00:00 PM,23.400,69.103,,,,
8,06/26/13 05:30:00 PM,23.112,79.135,,,,
9,06/26/13 06:00:00 PM,22.800,83.150,,,,
10,06/26/13 06:30:00 PM,22.058,83.603,,,,
11,06/26/13 07:00:00 PM,21.652,84.154,,,,
12,06/26/13 07:30:00 PM,20.889,88.447,,,,
13,06/26/13 08:00:00 PM,20.269,91.788,,,,
14,06/26/13 08:30:00 PM,19.603,91.194,,,,
15,06/26/13 09:00:00 PM,18.794,92.648,,,,
16,06/26/13 09:30:00 PM,17.819,93.697,,,,
17,06/26/13 10:00:00 PM,17.344,94.886,,,,
18,06/26/13 10:30:00 PM,16.820,96.492,,,,
19,06/26/13 11:00:00 PM,16.415,96.952,,,,
20,06/26/13 11:30:00 PM,15.986,97.147,,,,
21,06/27/13 12:00:00 AM,15.629,97.487,,,,
22,06/27/13 12:30:00 AM,15.270,98.055,,,,
23,06/27/13 01:00:00 AM,14.984,98.258,,,,
24,06/27/13 01:30:00 AM,14.745,98.650,,,,
25,06/27/13 02:00:00 AM,14.457,99.128,,,,
26,06/27/13 02:30:00 AM,14.194,99.207,,,,
27,06/27/13 03:00:00 AM,13.882,99.575,,,,
28,06/27/13 03:30:00 AM,13.594,99.244,,,,
29,06/27/13 04:00:00 AM,13.642,100.000,,,,
30,06/27/13 04:30:00 AM,13.377,100.000,,,,
31,06/27/13 05:00:00 AM,13.185,100.000,,,,
32,06/27/13 05:30:00 AM,12.871,100.000,,,,
33,06/27/13 06:00:00 AM,12.992,100.000,,,,
34,06/27/13 06:30:00 AM,12.920,100.000,,,,
35,06/27/13 07:00:00 AM,13.425,100.000,,,,
36,06/27/13 07:30:00 AM,15.079,100.000,,,,
37,06/27/13 08:00:00 AM,15.342,100.000,,,,
38,06/27/13 08:30:00 AM,15.724,100.000,,,,
39,06/27/13 09:00:00 AM,16.082,99.778,,,,
40,06/27/13 09:30:00 AM,16.892,99.288,,,,
41,06/27/13 10:00:00 AM,18.200,94.505,,,,
42,06/27/13 10:30:00 AM,18.985,93.862,,,,
43,06/27/13 11:00:00 AM,20.698,86.236,,,,
44,06/27/13 11:30:00 AM,22.393,75.826,,,,
45,06/27/13 12:00:00 PM,23.352,73.428,,,,
46,06/27/13 12:30:00 PM,24.412,67.223,,,,
47,06/27/13 01:00:00 PM,25.525,61.333,,,,
48,06/27/13 01:30:00 PM,26.134,52.840,,,,
49,06/27/13 02:00:00 PM,27.628,49.047,,,,
50,06/27/13 02:30:00 PM,28.245,46.797,,,,
51,06/27/13 03:00:00 PM,29.290,44.671,,,,
52,06/27/13 03:30:00 PM,30.268,43.171,,,,
53,06/27/13 04:00:00 PM,30.950,45.916,,,,
54,06/27/13 04:30:00 PM,30.748,45.958,,,,
55,06/27/13 05:00:00 PM,30.444,52.153,,,,
56,06/27/13 05:30:00 PM,29.389,57.037,,,,
57,06/27/13 06:00:00 PM,28.394,55.565,,,,
58,06/27/13 06:30:00 PM,27.924,61.532,,,,
59,06/27/13 07:00:00 PM,27.235,64.221,,,,
60,06/27/13 07:30:00 PM,26.280,61.022,,,,
61,06/27/13 08:00:00 PM,24.847,66.698,,,,
62,06/27/13 08:30:00 PM,23.569,70.675,,,,
63,06/27/13 09:00:00 PM,22.537,74.028,,,,
64,06/27/13 09:30:00 PM,21.915,78.199,,,,
65,06/27/13 10:00:00 PM,21.223,76.683,,,,
66,06/27/13 10:30:00 PM,20.579,78.973,,,,
67,06/27/13 11:00:00 PM,20.007,81.303,,,,
68,06/27/13 11:30:00 PM,19.532,84.480,,,,
69,06/28/13 12:00:00 AM,18.937,87.630,,,,
70,06/28/13 12:30:00 AM,18.580,88.629,,,,
71,06/28/13 01:00:00 AM,18.533,87.181,,,,
72,06/28/13 01:30:00 AM,18.818,84.236,,,,
73,06/28/13 02:00:00 AM,19.413,78.869,,,,
74,06/28/13 02:30:00 AM,19.841,76.001,,,,
75,06/28/13 03:00:00 AM,19.936,71.954,,,,
76,06/28/13 03:30:00 AM,19.627,73.372,,,,
77,06/28/13 04:00:00 AM,19.960,72.655,,,,
78,06/28/13 04:30:00 AM,19.746,73.280,,,,
79,06/28/13 05:00:00 AM,19.793,73.404,,,,
80,06/28/13 05:30:00 AM,19.698,74.855,,,,
81,06/28/13 06:00:00 AM,19.603,75.094,,,,
82,06/28/13 06:30:00 AM,19.746,75.381,,,,
83,06/28/13 07:00:00 AM,19.936,74.787,,,,
84,06/28/13 07:30:00 AM,20.269,75.342,,,,
85,06/28/13 08:00:00 AM,20.555,76.518,,,,
86,06/28/13 08:30:00 AM,21.294,73.785,,,,
87,06/28/13 09:00:00 AM,22.034,74.452,,,,
88,06/28/13 09:30:00 AM,23.208,71.257,,,,
89,06/28/13 10:00:00 AM,24.508,68.139,,,,
90,06/28/13 10:30:00 AM,25.647,63.772,,,,
91,06/28/13 11:00:00 AM,26.744,60.601,,,,
92,06/28/13 11:30:00 AM,27.949,56.667,,,,
93,06/28/13 12:00:00 PM,29.365,54.466,,,,
94,06/28/13 12:30:00 PM,30.343,49.849,,,,
95,06/28/13 01:00:00 PM,31.612,45.831,,,,
96,06/28/13 01:30:00 PM,32.510,44.187,,,,
97,06/28/13 02:00:00 PM,33.574,40.470,,,,
98,06/28/13 02:30:00 PM,34.281,38.927,,,,
99,06/28/13 03:00:00 PM,34.651,34.851,,,,
100,06/28/13 03:30:00 PM,35.582,33.219,,,,
101,06/28/13 04:00:00 PM,36.065,29.903,,,,
102,06/28/13 04:30:00 PM,36.254,24.875,,,,
103,06/28/13 05:00:00 PM,36.200,23.105,,,,
104,06/28/13 05:30:00 PM,35.609,19.693,,,,
105,06/28/13 06:00:00 PM,35.022,23.099,,,,
106,06/28/13 06:30:00 PM,34.202,26.065,,,,
107,06/28/13 07:00:00 PM,32.742,29.291,,,,
108,06/28/13 07:30:00 PM,30.950,28.046,,,,
109,06/28/13 08:00:00 PM,28.394,40.784,,,,
110,06/28/13 08:30:00 PM,26.891,40.951,,,,
111,06/28/13 09:00:00 PM,25.647,46.543,,,,
112,06/28/13 09:30:00 PM,25.210,47.198,,,,
113,06/28/13 10:00:00 PM,25.647,44.115,,,,
114,06/28/13 10:30:00 PM,26.426,39.517,,,,
115,06/28/13 11:00:00 PM,24.508,48.424,,,,
116,06/28/13 11:30:00 PM,23.954,49.850,,,,
117,06/29/13 12:00:00 AM,22.800,52.882,,,,
118,06/29/13 12:30:00 AM,22.058,55.458,,,,
119,06/29/13 01:00:00 AM,20.865,61.011,,,,
120,06/29/13 01:30:00 AM,20.365,61.566,,,,
121,06/29/13 02:00:00 AM,19.246,66.194,,,,
122,06/29/13 02:30:00 AM,18.771,67.821,,,,
123,06/29/13 03:00:00 AM,18.224,70.002,,,,
124,06/29/13 03:30:00 AM,17.891,70.201,,,,
125,06/29/13 04:00:00 AM,17.439,74.433,,,,
126,06/29/13 04:30:00 AM,16.868,76.503,,,,
127,06/29/13 05:00:00 AM,17.106,78.971,,,,
128,06/29/13 05:30:00 AM,18.461,72.972,,,,
129,06/29/13 06:00:00 AM,18.461,71.643,,,,
130,06/29/13 06:30:00 AM,19.698,66.184,,,,
131,06/29/13 07:00:00 AM,20.674,60.373,,,,
132,06/29/13 07:30:00 AM,21.199,58.901,,,,
133,06/29/13 08:00:00 AM,21.604,59.515,,,,
