"","Plot","Max14","Min14","Mean14","FebMin14","MayMax14","FebMean14","MayMean14"
"1",1,37.206,1.044,15.2803764560932,1.044,32.613,9.96172544642857,17.4292157258065
"2",2,32.355,0.852,12.9113930875576,0.852,32.355,9.77690550595238,16.920792
"3",3,33.443,0.687,13.242870743448,0.687,33.443,10.2368645833333,17.3154585987261
"4",4,32.587,1.099,13.5477503121099,1.099,32.587,10.4894285714286,17.586190293742
"5",5,30.192,2.021,13.140018830703,2.021,30.192,9.88955654761905,17.5469348404255
"6",6,31.306,1.208,12.7434121135873,1.208,31.306,9.73935788690476,16.8633310810811
"7",7,30.394,1.153,12.7393562185478,1.153,30.394,9.59183482142857,16.9830527027027
"8",8,32.381,-1.814,12.2325161898774,-1.814,32.381,10.3398504464286,16.2504186046512
"9",9,33.157,0.301,12.7923361106744,0.301,31.765,10.6690803571429,16.4333361064892
"10",10,32.975,-2.8,11.9634010064476,-2.8,32.898,10.00390625,16.4445175292154
"11",11,34.466,0.66,13.0075459688826,0.66,33.574,10.8143735119048,16.7102819237148
"12",12,32.047,-2.392,11.0698820109976,-2.363,32.047,9.50824107142857,15.361320661157
"13",13,32.073,-1.613,11.3430100518297,-1.613,32.073,9.60951934523809,15.4423887973641
"14",14,35.475,-1.756,12.3993886945314,-1.756,35.475,9.98773511904762,15.9090313014827
"15",15,32.381,-1.327,11.4335087058824,-1.327,32.381,9.25886607142857,15.6077788617886
"16",16,32.124,0.522,12.6664589078875,0.522,32.124,10.1068839285714,15.9695951219512
"17",17,33.209,-1.071,11.8297837202008,-1.071,33.209,9.63184375,15.7346233766234
"18",18,34.995,-0.902,12.257917264203,-0.902,34.995,9.75891741071429,15.8249495934959
"19",19,34.598,-0.873,12.0622167279412,-0.873,34.598,9.56016443452381,15.7187662337662
"20",20,34.229,1.289,12.9855678708686,1.289,34.229,10.056572172619,17.4140255033557
"21",21,31.204,1.071,12.9109332718327,1.071,31.204,10.0248385416667,17.2847580645161
"22",22,33.73,0.163,12.8795332514207,0.163,33.73,10.0400200892857,17.3508468708389
"23",23,34.677,-0.704,12.7807022647763,-0.704,34.677,10.315240327381,16.2615090609555
"24",24,33.365,0.989,13.0064034216336,0.989,33.365,10.2696711309524,16.5542745098039
"25",25,36.987,1.235,15.3144013334568,4.454,32.794,14.4796235119048,15.969662505381
"26",26,30.672,1.262,12.5552471726393,3.749,28.766,13.6207380952381,13.6831955645161
"27",27,32.433,-2.102,10.9385562541806,0.632,31.052,9.59559449404762,13.1578158602151
"28",28,32.794,-2.218,11.3576227894818,-2.218,32.794,9.34793898809524,15.9580269179004
"29",29,32.562,1.588,12.9868403237675,1.588,32.562,10.2871681547619,16.2697205882353
"30",30,30.672,1.208,12.5046661783556,1.208,30.672,9.83343675595238,16.1091318681319
"31",31,32.665,1.588,13.0432142068458,1.588,32.665,10.3606770833333,16.4036524590164
"32",32,31.052,0.273,11.9245660688141,0.273,31.052,9.33329241071429,15.5114976599064
"33",33,32.484,0.962,12.8772398473699,3.354,30.9,13.7724449404762,14.0444677419355
"34",34,31.714,0.66,12.3981055809698,0.66,31.714,9.70282514880952,16.0246599063963
"35",35,31.816,1.371,12.8242648387599,1.371,31.816,9.74721875,16.5594673748103
"36",36,32.381,1.262,12.5634400326353,3.88,32.381,13.3783139880952,13.7592573924731
"37",37,33.417,1.208,12.7346553411253,3.985,31.153,13.8280200892857,13.8590967741935
"38",38,32.691,1.208,12.9527824216349,1.208,32.691,10.1002485119048,17.2244772727273
"39",39,34.969,1.153,13.0863037332924,1.153,34.969,10.1894955357143,17.4429959946595
"40",40,32.124,0.605,12.4665173420957,0.605,32.124,9.66504538690476,16.0193593272171
"41",41,34.73,1.643,16.2723399444359,1.643,31.842,9.81789880952381,17.1540900537634
"42",42,31.612,1.588,12.8053092506275,1.588,31.612,9.69333333333333,16.9192334217507
"43",43,30.091,-0.004,12.1112558176101,-0.004,29.515,10.0361941964286,15.8521133333333
"44",44,34.889,-0.563,12.6993831291235,-0.563,34.045,10.6800401785714,16.3511320132013
"45",45,33.027,-1.071,11.7562520797363,-1.071,33.027,9.80847023809524,15.9404484451718
"46",46,33.521,0.079,11.3735388389207,2.93,31.74,10.6052470238095,13.4550268817204
"47",47,30.142,-2.771,11.4238138913624,-2.771,30.142,8.92088318452381,15.4323034134008
"48",48,38.532,5.514,18.6008358270989,1.344,33.574,NA,17.55543490701
"49",49,31.97,1.344,12.9114503287071,0,31.97,0,16.5703220858896
"50",50,35.958,6,18.0441723492723,0,32.458,NA,17.1732893982808
