"Plot Title: PPW1341_10008135"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10008135, SEN S/N: 10008135)","RH, % (LGR S/N: 10008135, SEN S/N: 10008135)","Coupler Detached (LGR S/N: 10008135)","Coupler Attached (LGR S/N: 10008135)","Stopped (LGR S/N: 10008135)","End Of File (LGR S/N: 10008135)"
1,10/15/14 09:30:00 AM,14.768,1.000,Logged,,,
2,10/15/14 10:00:00 AM,13.858,1.000,,,,
3,10/15/14 10:30:00 AM,14.529,1.000,,,,
4,10/15/14 11:00:00 AM,14.673,1.000,,,,
5,10/15/14 11:30:00 AM,15.438,1.000,,,,
6,10/15/14 12:00:00 PM,16.129,1.000,,,,
7,10/15/14 12:30:00 PM,15.986,1.000,,,,
8,10/15/14 01:00:00 PM,15.939,1.000,,,,
9,10/15/14 01:30:00 PM,15.867,1.000,,,,
10,10/15/14 02:00:00 PM,16.630,1.000,,,,
11,10/15/14 02:30:00 PM,16.558,1.000,,,,
12,10/15/14 03:00:00 PM,16.773,1.000,,,,
13,10/15/14 03:30:00 PM,16.844,1.000,,,,
14,10/15/14 04:00:00 PM,16.630,1.000,,,,
15,10/15/14 04:30:00 PM,16.582,1.000,,,,
16,10/15/14 05:00:00 PM,16.010,1.000,,,,
17,10/15/14 05:30:00 PM,15.557,1.000,,,,
18,10/15/14 06:00:00 PM,15.461,1.000,,,,
19,10/15/14 06:30:00 PM,15.079,1.000,,,,
20,10/15/14 07:00:00 PM,14.840,1.000,,,,
21,10/15/14 07:30:00 PM,14.146,1.000,,,,
22,10/15/14 08:00:00 PM,13.618,1.000,,,,
23,10/15/14 08:30:00 PM,13.257,1.000,,,,
24,10/15/14 09:00:00 PM,13.762,1.000,,,,
25,10/15/14 09:30:00 PM,13.906,1.000,,,,
26,10/15/14 10:00:00 PM,13.449,1.000,,,,
27,10/15/14 10:30:00 PM,13.329,1.000,,,,
28,10/15/14 11:00:00 PM,12.968,1.000,,,,
29,10/15/14 11:30:00 PM,13.088,1.000,,,,
30,10/16/14 12:00:00 AM,12.727,1.000,,,,
31,10/16/14 12:30:00 AM,12.437,1.000,,,,
32,10/16/14 01:00:00 AM,12.171,1.000,,,,
33,10/16/14 01:30:00 AM,12.147,1.000,,,,
34,10/16/14 02:00:00 AM,11.904,1.000,,,,
35,10/16/14 02:30:00 AM,11.492,1.000,,,,
36,10/16/14 03:00:00 AM,11.419,1.000,,,,
37,10/16/14 03:30:00 AM,11.224,1.000,,,,
38,10/16/14 04:00:00 AM,11.224,1.000,,,,
39,10/16/14 04:30:00 AM,11.127,1.000,,,,
40,10/16/14 05:00:00 AM,11.297,1.000,,,,
41,10/16/14 05:30:00 AM,11.102,1.000,,,,
42,10/16/14 06:00:00 AM,10.883,1.000,,,,
43,10/16/14 06:30:00 AM,11.273,1.000,,,,
44,10/16/14 07:00:00 AM,11.321,1.000,,,,
45,10/16/14 07:30:00 AM,11.394,1.000,,,,
