"Plot Title: PPW1302_9850212"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9850212, SEN S/N: 9850212)","RH, % (LGR S/N: 9850212, SEN S/N: 9850212)","Coupler Detached (LGR S/N: 9850212)","Coupler Attached (LGR S/N: 9850212)","Host Connected (LGR S/N: 9850212)","End Of File (LGR S/N: 9850212)"
1,06/14/13 04:00:00 PM,85.127,22.602,Logged,,,
2,06/14/13 04:30:00 PM,83.869,22.905,,,,
3,06/14/13 05:00:00 PM,82.042,24.362,,,,
4,06/14/13 05:30:00 PM,80.537,23.475,,,,
5,06/14/13 06:00:00 PM,80.051,24.699,,,,
6,06/14/13 06:30:00 PM,79.524,25.847,,,,
7,06/14/13 07:00:00 PM,77.990,26.128,,,,
8,06/14/13 07:30:00 PM,76.507,29.025,,,,
9,06/14/13 08:00:00 PM,73.731,31.423,,,,
10,06/14/13 08:30:00 PM,70.716,29.337,,,,
11,06/14/13 09:00:00 PM,68.013,30.016,,,,
12,06/14/13 09:30:00 PM,66.600,28.883,,,,
13,06/14/13 10:00:00 PM,65.145,29.583,,,,
14,06/14/13 10:30:00 PM,64.717,35.168,,,,
15,06/14/13 11:00:00 PM,64.503,34.142,,,,
16,06/14/13 11:30:00 PM,64.459,41.115,,,,
17,06/15/13 12:00:00 AM,63.990,45.641,,,,
18,06/15/13 12:30:00 AM,63.176,47.003,,,,
19,06/15/13 01:00:00 AM,61.590,49.609,,,,
20,06/15/13 01:30:00 AM,59.142,54.741,,,,
21,06/15/13 02:00:00 AM,57.160,61.237,,,,
22,06/15/13 02:30:00 AM,55.992,65.007,,,,
23,06/15/13 03:00:00 AM,55.125,68.452,,,,
24,06/15/13 03:30:00 AM,54.169,70.582,,,,
25,06/15/13 04:00:00 AM,54.126,71.089,,,,
26,06/15/13 04:30:00 AM,53.733,72.828,,,,
27,06/15/13 05:00:00 AM,53.341,73.684,,,,
28,06/15/13 05:30:00 AM,52.335,75.607,,,,
29,06/15/13 06:00:00 AM,51.148,79.811,,,,
30,06/15/13 06:30:00 AM,52.203,78.353,,,,
31,06/15/13 07:00:00 AM,52.947,78.304,,,,
32,06/15/13 07:30:00 AM,54.387,77.065,,,,
33,06/15/13 08:00:00 AM,55.256,74.936,,,,
34,06/15/13 08:30:00 AM,55.733,74.541,,,,
35,06/15/13 09:00:00 AM,57.420,72.183,,,,
36,06/15/13 09:30:00 AM,60.647,64.077,,,,
37,06/15/13 10:00:00 AM,62.962,59.216,,,,
38,06/15/13 10:30:00 AM,65.102,55.657,,,,
39,06/15/13 11:00:00 AM,68.527,51.752,,,,
40,06/15/13 11:30:00 AM,72.221,47.160,,,,
41,06/15/13 12:00:00 PM,76.246,41.191,,,,
42,06/15/13 12:30:00 PM,77.553,39.037,,,,
43,06/15/13 01:00:00 PM,79.304,37.383,,,,
44,06/15/13 01:30:00 PM,80.184,36.699,,,,
45,06/15/13 02:00:00 PM,80.449,38.310,,,,
46,06/15/13 02:30:00 PM,79.435,38.617,,,,
47,06/15/13 03:00:00 PM,78.427,37.400,,,,
48,06/15/13 03:30:00 PM,79.173,38.138,,,,
49,06/15/13 04:00:00 PM,79.920,36.218,,,,
50,06/15/13 04:30:00 PM,79.567,35.932,,,,
51,06/15/13 05:00:00 PM,79.788,35.477,,,,
52,06/15/13 05:30:00 PM,76.899,41.623,,,,
53,06/15/13 06:00:00 PM,74.683,44.148,,,,
54,06/15/13 06:30:00 PM,73.731,44.956,,,,
55,06/15/13 07:00:00 PM,73.083,41.941,,,,
56,06/15/13 07:30:00 PM,71.834,40.857,,,,
57,06/15/13 08:00:00 PM,69.600,43.303,,,,
58,06/15/13 08:30:00 PM,67.329,44.531,,,,
59,06/15/13 09:00:00 PM,66.043,44.319,,,,
60,06/15/13 09:30:00 PM,64.674,45.940,,,,
61,06/15/13 10:00:00 PM,63.732,48.016,,,,
62,06/15/13 10:30:00 PM,62.362,51.281,,,,
63,06/15/13 11:00:00 PM,61.162,52.423,,,,
64,06/15/13 11:30:00 PM,61.333,51.388,,,,
65,06/16/13 12:00:00 AM,60.561,52.898,,,,
66,06/16/13 12:30:00 AM,59.745,54.668,,,,
67,06/16/13 01:00:00 AM,58.928,56.875,,,,
68,06/16/13 01:30:00 AM,55.081,64.160,,,,
69,06/16/13 02:00:00 AM,55.125,65.388,,,,
70,06/16/13 02:30:00 AM,55.992,64.774,,,,
71,06/16/13 03:00:00 AM,56.599,63.103,,,,
72,06/16/13 03:30:00 AM,56.469,64.878,,,,
73,06/16/13 04:00:00 AM,55.429,67.908,,,,
74,06/16/13 04:30:00 AM,54.995,69.299,,,,
75,06/16/13 05:00:00 AM,55.342,68.762,,,,
76,06/16/13 05:30:00 AM,54.430,70.894,,,,
77,06/16/13 06:00:00 AM,54.387,70.719,,,,
78,06/16/13 06:30:00 AM,54.169,71.887,,,,
79,06/16/13 07:00:00 AM,53.865,72.419,,,,
80,06/16/13 07:30:00 AM,55.386,67.442,,,,
81,06/16/13 08:00:00 AM,56.122,65.661,,,,
82,06/16/13 08:30:00 AM,57.549,63.164,,,,
83,06/16/13 09:00:00 AM,59.486,60.884,,,,
84,06/16/13 09:30:00 AM,61.633,57.196,,,,
85,06/16/13 10:00:00 AM,64.931,52.841,,,,
86,06/16/13 10:30:00 AM,68.227,48.496,,,,
87,06/16/13 11:00:00 AM,70.372,44.669,,,,
88,06/16/13 11:30:00 AM,73.342,40.264,,,,
89,06/16/13 12:00:00 PM,76.768,35.782,,,,
90,06/16/13 12:30:00 PM,79.216,31.754,,,,
91,06/16/13 01:00:00 PM,81.909,22.694,,,,
92,06/16/13 01:30:00 PM,81.597,25.104,,,,
93,06/16/13 02:00:00 PM,82.665,25.077,,,,
94,06/16/13 02:30:00 PM,84.182,22.637,,,,
95,06/16/13 03:00:00 PM,83.691,26.119,,,,
96,06/16/13 03:30:00 PM,85.035,25.240,,,,
97,06/16/13 04:00:00 PM,85.217,26.008,,,,
98,06/16/13 04:30:00 PM,85.172,27.455,,,,
99,06/16/13 05:00:00 PM,84.945,28.855,,,,
100,06/16/13 05:30:00 PM,83.021,31.734,,,,
101,06/16/13 06:00:00 PM,81.819,31.541,,,,
102,06/16/13 06:30:00 PM,80.537,30.701,,,,
103,06/16/13 07:00:00 PM,78.251,29.273,,,,
104,06/16/13 07:30:00 PM,76.071,28.430,,,,
105,06/16/13 08:00:00 PM,73.861,34.000,,,,
106,06/16/13 08:30:00 PM,71.490,39.175,,,,
107,06/16/13 09:00:00 PM,69.213,43.342,,,,
108,06/16/13 09:30:00 PM,68.013,45.947,,,,
109,06/16/13 10:00:00 PM,66.772,48.171,,,,
110,06/16/13 10:30:00 PM,65.359,50.138,,,,
111,06/16/13 11:00:00 PM,63.946,52.826,,,,
112,06/16/13 11:30:00 PM,62.919,54.682,,,,
113,06/17/13 12:00:00 AM,61.720,56.809,,,,
114,06/17/13 12:30:00 AM,60.517,58.911,,,,
115,06/17/13 01:00:00 AM,59.659,60.661,,,,
116,06/17/13 01:30:00 AM,58.411,63.422,,,,
117,06/17/13 02:00:00 AM,57.420,65.643,,,,
118,06/17/13 02:30:00 AM,56.728,66.912,,,,
119,06/17/13 03:00:00 AM,55.949,68.451,,,,
120,06/17/13 03:30:00 AM,55.256,69.841,,,,
121,06/17/13 04:00:00 AM,54.561,71.249,,,,
122,06/17/13 04:30:00 AM,53.951,72.880,,,,
123,06/17/13 05:00:00 AM,53.733,73.362,,,,
124,06/17/13 05:30:00 AM,53.515,73.226,,,,
125,06/17/13 06:00:00 AM,53.298,74.043,,,,
126,06/17/13 06:30:00 AM,53.472,73.867,,,,
127,06/17/13 07:00:00 AM,53.602,73.516,,,,
128,06/17/13 07:30:00 AM,54.037,73.087,,,,
129,06/17/13 08:00:00 AM,54.909,71.570,,,,
130,06/17/13 08:30:00 AM,56.251,70.061,,,,
131,06/17/13 09:00:00 AM,58.109,66.381,,,,
132,06/17/13 09:30:00 AM,60.904,62.532,,,,
133,06/17/13 10:00:00 AM,63.005,57.919,,,,
134,06/17/13 10:30:00 AM,66.173,53.867,,,,
135,06/17/13 11:00:00 AM,69.129,48.339,,,,
136,06/17/13 11:30:00 AM,72.480,43.650,,,,
137,06/17/13 12:00:00 PM,76.464,38.414,,,,
138,06/17/13 12:30:00 PM,77.117,38.649,,,,
139,06/17/13 01:00:00 PM,78.910,37.228,,,,
140,06/17/13 01:30:00 PM,78.076,37.778,,,,
141,06/17/13 02:00:00 PM,79.128,37.572,,,,
142,06/17/13 02:30:00 PM,80.625,34.348,,,,
143,06/17/13 03:00:00 PM,80.802,35.932,,,,
144,06/17/13 03:30:00 PM,79.700,36.140,,,,
145,06/17/13 04:00:00 PM,78.165,38.445,,,,
146,06/17/13 04:30:00 PM,77.859,38.460,,,,
147,06/17/13 05:00:00 PM,76.507,38.416,,,,
148,06/17/13 05:30:00 PM,75.508,38.787,,,,
149,06/17/13 06:00:00 PM,74.770,38.317,,,,
150,06/17/13 06:30:00 PM,72.653,49.385,,,,
151,06/17/13 07:00:00 PM,69.771,55.610,,,,
